Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2017/2018,Premier League,1,Manchester City,38,32,4,2,106,27,100,91.43
2017/2018,Premier League,2,Manchester United,38,25,6,7,68,28,81,59.04
2017/2018,Premier League,3,Tottenham,38,23,8,7,74,36,77,68.91
2017/2018,Premier League,4,Liverpool,38,21,12,5,84,38,75,77.49
2017/2018,Premier League,5,Chelsea,38,21,7,10,62,38,70,59.16
2017/2018,Premier League,6,Arsenal,38,19,6,13,74,51,63,72.27
2017/2018,Premier League,7,Burnley,38,14,12,12,36,39,54,32.77
2017/2018,Premier League,8,Everton,38,13,10,15,44,58,49,43.71
2017/2018,Premier League,9,Leicester,38,12,11,15,56,60,47,50.29
2017/2018,Premier League,10,Newcastle United,38,12,8,18,39,47,44,44.63
2017/2018,Premier League,11,Crystal Palace,38,11,11,16,45,55,44,56.75
2017/2018,Premier League,12,Bournemouth,38,11,11,16,45,61,44,39.99
2017/2018,Premier League,13,West Ham,38,10,12,16,48,68,42,36.8
2017/2018,Premier League,14,Watford,38,11,8,19,44,64,41,45.85
2017/2018,Premier League,15,Brighton,38,9,13,16,34,54,40,37.21
2017/2018,Premier League,16,Huddersfield,38,9,10,19,28,58,37,32.13
2017/2018,Premier League,17,Southampton,38,7,15,16,37,56,36,41.88
2017/2018,Premier League,18,Swansea,38,8,9,21,28,56,33,29.71
2017/2018,Premier League,19,Stoke,38,7,12,19,35,68,33,36.75
2017/2018,Premier League,20,West Bromwich Albion,38,6,13,19,31,56,31,35.18
2017/2018,La Liga,1,Barcelona,38,28,9,1,99,29,93,90.49
2017/2018,La Liga,2,Atletico Madrid,38,23,10,5,58,22,79,50.29
2017/2018,La Liga,3,Real Madrid,38,22,10,6,94,44,76,91.29
2017/2018,La Liga,4,Valencia,38,22,7,9,65,38,73,57.76
2017/2018,La Liga,5,Villarreal,38,18,7,13,57,50,61,55.67
2017/2018,La Liga,6,Real Betis,38,18,6,14,60,61,60,46.72
2017/2018,La Liga,7,Sevilla,38,17,7,14,49,58,58,61.49
2017/2018,La Liga,8,Getafe,38,15,10,13,42,33,55,49.03
2017/2018,La Liga,9,Eibar,38,14,9,15,44,50,51,41.42
2017/2018,La Liga,10,Girona,38,14,9,15,50,59,51,52.1
2017/2018,La Liga,11,Espanyol,38,12,13,13,36,42,49,41.58
2017/2018,La Liga,12,Real Sociedad,38,14,7,17,66,59,49,56.35
2017/2018,La Liga,13,Celta Vigo,38,13,10,15,59,60,49,54.59
2017/2018,La Liga,14,Alaves,38,15,2,21,40,50,47,37.88
2017/2018,La Liga,15,Levante,38,11,13,14,44,58,46,44.2
2017/2018,La Liga,16,Athletic Club,38,10,13,15,41,49,43,51.79
2017/2018,La Liga,17,Leganes,38,12,7,19,34,51,43,39.26
2017/2018,La Liga,18,Deportivo La Coruna,38,6,11,21,38,76,29,49.78
2017/2018,La Liga,19,Las Palmas,38,5,7,26,24,74,22,37.88
2017/2018,La Liga,20,Malaga,38,5,5,28,24,61,20,35.88
2017/2018,Serie A,1,Juventus,38,30,5,3,86,24,95,59.23
2017/2018,Serie A,2,Napoli,38,28,7,3,77,29,91,70.45
2017/2018,Serie A,3,Roma,38,23,8,7,61,28,77,65.63
2017/2018,Serie A,4,Inter,38,20,12,6,66,30,72,60.83
2017/2018,Serie A,5,Lazio,38,21,9,8,89,49,72,66.51
2017/2018,Serie A,6,AC Milan,38,18,10,10,56,42,64,50.88
2017/2018,Serie A,7,Atalanta,38,16,12,10,57,39,60,64.29
2017/2018,Serie A,8,Fiorentina,38,16,9,13,54,46,57,54.12
2017/2018,Serie A,9,Torino,38,13,15,10,54,46,54,46.59
2017/2018,Serie A,10,Sampdoria,38,16,6,16,56,60,54,53.14
2017/2018,Serie A,11,Sassuolo,38,11,10,17,29,59,43,47.15
2017/2018,Serie A,12,Genoa,38,11,8,19,33,43,41,42.21
2017/2018,Serie A,13,Chievo,38,10,10,18,36,59,40,34.34
2017/2018,Serie A,14,Udinese,38,12,4,22,48,63,40,45.17
2017/2018,Serie A,15,Bologna,38,11,6,21,40,52,39,36.11
2017/2018,Serie A,16,Cagliari,38,11,6,21,33,61,39,38.27
2017/2018,Serie A,17,SPAL 2013,38,8,14,16,39,59,38,34.61
2017/2018,Serie A,18,Crotone,38,9,8,21,40,66,35,33.24
2017/2018,Serie A,19,Verona,38,7,4,27,30,78,25,33.76
2017/2018,Serie A,20,Benevento,38,6,3,29,33,84,21,38.21
2017/2018,Bundesliga,1,Bayern Munich,34,27,3,4,92,28,84,76.55
2017/2018,Bundesliga,2,Schalke 04,34,18,9,7,53,37,63,46.83
2017/2018,Bundesliga,3,Hoffenheim,34,15,10,9,66,48,55,50.72
2017/2018,Bundesliga,4,Borussia Dortmund,34,15,10,9,64,47,55,66.1
2017/2018,Bundesliga,5,Bayer Leverkusen,34,15,10,9,58,44,55,56.98
2017/2018,Bundesliga,6,RasenBallsport Leipzig,34,15,8,11,57,53,53,51.42
2017/2018,Bundesliga,7,VfB Stuttgart,34,15,6,13,36,36,51,37.91
2017/2018,Bundesliga,8,Eintracht Frankfurt,34,14,7,13,45,45,49,41.06
2017/2018,Bundesliga,9,Borussia M.Gladbach,34,13,8,13,47,52,47,51.25
2017/2018,Bundesliga,10,Hertha Berlin,34,10,13,11,43,46,43,38.58
2017/2018,Bundesliga,11,Werder Bremen,34,10,12,12,37,40,42,38.51
