Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2017/2018,Bundesliga,12,Augsburg,34,10,11,13,43,46,41,42.26
2017/2018,Bundesliga,13,Hannover 96,34,10,9,15,44,54,39,41.22
2017/2018,Bundesliga,14,Mainz 05,34,9,9,16,38,52,36,31.65
2017/2018,Bundesliga,15,Freiburg,34,8,12,14,32,56,36,36.98
2017/2018,Bundesliga,16,Wolfsburg,34,6,15,13,36,48,33,32.11
2017/2018,Bundesliga,17,Hamburger SV,34,8,7,19,29,53,31,36.04
2017/2018,Bundesliga,18,FC Cologne,34,5,7,22,35,70,22,41.5
2017/2018,Ligue 1,1,Paris Saint Germain,38,29,6,3,108,29,93,89.92
2017/2018,Ligue 1,2,Monaco,38,24,8,6,85,45,80,62.41
2017/2018,Ligue 1,3,Lyon,38,23,9,6,87,43,78,65.27
2017/2018,Ligue 1,4,Marseille,38,22,11,5,80,47,77,82.2
2017/2018,Ligue 1,5,Rennes,38,16,10,12,50,44,58,46.97
2017/2018,Ligue 1,6,Bordeaux,38,16,7,15,53,48,55,52.56
2017/2018,Ligue 1,7,Saint-Etienne,38,15,10,13,47,50,55,51.03
2017/2018,Ligue 1,8,Nice,38,15,9,14,53,52,54,47.36
2017/2018,Ligue 1,9,Nantes,38,14,10,14,36,41,52,39.8
2017/2018,Ligue 1,10,Montpellier,38,11,18,9,36,33,51,39.81
2017/2018,Ligue 1,11,Dijon,38,13,9,16,55,73,48,40.03
2017/2018,Ligue 1,12,Guingamp,38,12,11,15,48,59,47,41.86
2017/2018,Ligue 1,13,Amiens,38,12,9,17,37,42,45,31.47
2017/2018,Ligue 1,14,Angers,38,9,14,15,42,52,41,46.15
2017/2018,Ligue 1,15,Strasbourg,38,9,11,18,44,67,38,43.27
2017/2018,Ligue 1,16,Caen,38,10,8,20,27,52,38,41.17
2017/2018,Ligue 1,17,Lille,38,10,8,20,41,67,38,36.13
2017/2018,Ligue 1,18,Toulouse,38,9,10,19,38,54,37,43.29
2017/2018,Ligue 1,19,Troyes,38,9,6,23,32,59,33,37.13
2017/2018,Ligue 1,20,Metz,38,6,8,24,34,76,26,36.4
