Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2022/2023,Premier League,1,Manchester City,38,28,5,5,94,33,89,84.32
2022/2023,Premier League,2,Arsenal,38,26,6,6,88,43,84,76.51
2022/2023,Premier League,3,Manchester United,38,23,6,9,58,43,75,71.9
2022/2023,Premier League,4,Newcastle United,38,19,14,5,68,33,71,76.98
2022/2023,Premier League,5,Liverpool,38,19,10,9,75,47,67,80.77
2022/2023,Premier League,6,Brighton,38,18,8,12,72,53,62,77.72
2022/2023,Premier League,7,Aston Villa,38,18,7,13,51,46,61,50.0
2022/2023,Premier League,8,Tottenham,38,18,6,14,70,63,60,57.83
2022/2023,Premier League,9,Brentford,38,15,14,9,58,46,59,59.23
2022/2023,Premier League,10,Fulham,38,15,7,16,55,53,52,47.98
2022/2023,Premier League,11,Crystal Palace,38,11,12,15,40,49,45,40.72
2022/2023,Premier League,12,Chelsea,38,11,11,16,38,47,44,51.89
2022/2023,Premier League,13,Wolverhampton Wanderers,38,11,8,19,31,58,41,35.13
2022/2023,Premier League,14,West Ham,38,11,7,20,42,55,40,51.21
2022/2023,Premier League,15,Bournemouth,38,11,6,21,37,71,39,40.08
2022/2023,Premier League,16,Nottingham Forest,38,9,11,18,38,68,38,39.57
2022/2023,Premier League,17,Everton,38,8,12,18,34,57,36,48.65
2022/2023,Premier League,18,Leicester,38,9,7,22,51,68,34,48.99
2022/2023,Premier League,19,Leeds,38,7,10,21,48,78,31,47.8
2022/2023,Premier League,20,Southampton,38,6,7,25,36,73,25,39.27
2022/2023,La Liga,1,Barcelona,38,28,4,6,70,20,88,82.79
2022/2023,La Liga,2,Real Madrid,38,24,6,8,75,36,78,79.39
2022/2023,La Liga,3,Atletico Madrid,38,23,8,7,70,33,77,68.68
2022/2023,La Liga,4,Real Sociedad,38,21,8,9,51,35,71,62.57
2022/2023,La Liga,5,Villarreal,38,19,7,12,59,40,64,65.56
2022/2023,La Liga,6,Real Betis,38,17,9,12,46,41,60,55.1
2022/2023,La Liga,7,Osasuna,38,15,8,15,37,42,53,41.42
2022/2023,La Liga,8,Athletic Club,38,14,9,15,47,43,51,56.22
2022/2023,La Liga,9,Mallorca,38,14,8,16,37,43,50,39.56
2022/2023,La Liga,10,Girona,38,13,10,15,58,55,49,54.8
2022/2023,La Liga,11,Rayo Vallecano,38,13,10,15,45,53,49,42.54
2022/2023,La Liga,12,Sevilla,38,13,10,15,47,54,49,50.7
2022/2023,La Liga,13,Celta Vigo,38,11,10,17,43,53,43,42.25
2022/2023,La Liga,14,Cadiz,38,10,12,16,30,53,42,42.68
2022/2023,La Liga,15,Getafe,38,10,12,16,34,45,42,38.91
2022/2023,La Liga,16,Valencia,38,11,9,18,42,45,42,53.64
2022/2023,La Liga,17,Almeria,38,11,8,19,49,65,41,46.09
2022/2023,La Liga,18,Real Valladolid,38,11,7,20,33,63,40,39.86
2022/2023,La Liga,19,Espanyol,38,8,13,17,52,69,37,51.04
2022/2023,La Liga,20,Elche,38,5,10,23,30,67,25,40.29
2022/2023,Serie A,1,Napoli,38,28,6,4,77,28,90,71.73
2022/2023,Serie A,2,Lazio,38,22,8,8,60,30,74,54.31
2022/2023,Serie A,3,Inter,38,23,3,12,71,42,72,71.97
2022/2023,Serie A,4,AC Milan,38,20,10,8,64,43,70,69.9
2022/2023,Serie A,5,Atalanta,38,19,7,12,66,48,64,60.49
2022/2023,Serie A,6,Roma,38,18,9,11,50,38,63,64.02
2022/2023,Serie A,7,Juventus,38,22,6,10,56,33,62,59.74
2022/2023,Serie A,8,Fiorentina,38,15,11,12,53,43,56,56.9
2022/2023,Serie A,9,Bologna,38,14,12,12,53,49,54,45.29
2022/2023,Serie A,10,Torino,38,14,11,13,42,41,53,47.32
2022/2023,Serie A,11,Monza,38,14,10,14,48,52,52,44.81
2022/2023,Serie A,12,Udinese,38,11,13,14,47,48,46,47.56
2022/2023,Serie A,13,Sassuolo,38,12,9,17,47,61,45,51.5
2022/2023,Serie A,14,Empoli,38,10,13,15,37,49,43,41.25
2022/2023,Serie A,15,Salernitana,38,9,15,14,48,62,42,35.44
2022/2023,Serie A,16,Lecce,38,8,12,18,33,46,36,36.93
2022/2023,Serie A,17,Spezia,38,6,13,19,31,62,31,40.64
2022/2023,Serie A,18,Verona,38,7,10,21,31,59,31,37.27
2022/2023,Serie A,19,Cremonese,38,5,12,21,36,69,27,36.59
2022/2023,Serie A,20,Sampdoria,38,3,10,25,24,71,19,35.1
2022/2023,Bundesliga,1,Bayern Munich,34,21,8,5,92,38,71,85.12
2022/2023,Bundesliga,2,Borussia Dortmund,34,22,5,7,83,44,71,76.97
2022/2023,Bundesliga,3,RasenBallsport Leipzig,34,20,6,8,64,41,66,68.84
2022/2023,Bundesliga,4,Union Berlin,34,18,8,8,51,38,62,35.07
2022/2023,Bundesliga,5,Freiburg,34,17,8,9,51,44,59,50.24
2022/2023,Bundesliga,6,Bayer Leverkusen,34,14,8,12,57,49,50,53.68
2022/2023,Bundesliga,7,Eintracht Frankfurt,34,13,11,10,58,52,50,53.2
2022/2023,Bundesliga,8,Wolfsburg,34,13,10,11,57,48,49,51.21
2022/2023,Bundesliga,9,Mainz 05,34,12,10,12,54,55,46,50.49
2022/2023,Bundesliga,10,Borussia M.Gladbach,34,11,10,13,52,55,43,52.84
2022/2023,Bundesliga,11,FC Cologne,34,10,12,12,49,54,42,51.04
2022/2023,Bundesliga,12,Hoffenheim,34,10,6,18,48,57,36,47.31
2022/2023,Bundesliga,13,Werder Bremen,34,10,6,18,51,64,36,42.91
2022/2023,Bundesliga,14,Bochum,34,10,5,19,40,72,35,40.08
2022/2023,Bundesliga,15,Augsburg,34,9,7,18,42,63,34,36.03
2022/2023,Bundesliga,16,VfB Stuttgart,34,7,12,15,45,57,33,49.15
2022/2023,Bundesliga,17,Schalke 04,34,7,10,17,35,71,31,40.54
2022/2023,Bundesliga,18,Hertha Berlin,34,7,8,19,42,69,29,41.44
2022/2023,Ligue 1,1,Paris Saint Germain,38,27,4,7,89,40,85,86.15
