Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2022/2023,Ligue 1,2,Lens,38,25,9,4,68,29,84,69.93
2022/2023,Ligue 1,3,Marseille,38,22,7,9,67,40,73,72.94
2022/2023,Ligue 1,4,Rennes,38,21,5,12,69,39,68,64.24
2022/2023,Ligue 1,5,Lille,38,19,10,9,65,44,67,74.23
2022/2023,Ligue 1,6,Monaco,38,19,8,11,70,58,65,65.36
2022/2023,Ligue 1,7,Lyon,38,18,8,12,65,47,62,69.79
2022/2023,Ligue 1,8,Clermont Foot,38,17,8,13,45,49,59,49.65
2022/2023,Ligue 1,9,Nice,38,15,13,10,48,37,58,59.22
2022/2023,Ligue 1,10,Lorient,38,15,10,13,52,53,55,47.35
2022/2023,Ligue 1,11,Reims,38,12,15,11,45,45,51,59.52
2022/2023,Ligue 1,12,Montpellier,38,15,5,18,65,62,50,52.56
2022/2023,Ligue 1,13,Toulouse,38,13,9,16,51,57,48,59.77
2022/2023,Ligue 1,14,Brest,38,11,11,16,44,54,44,41.4
2022/2023,Ligue 1,15,Strasbourg,38,9,13,16,51,59,40,52.79
2022/2023,Ligue 1,16,Nantes,38,7,15,16,37,55,36,44.62
2022/2023,Ligue 1,17,Auxerre,38,8,11,19,35,63,35,40.21
2022/2023,Ligue 1,18,Ajaccio,38,7,5,26,23,74,26,31.06
2022/2023,Ligue 1,19,Troyes,38,4,12,22,45,81,24,36.71
2022/2023,Ligue 1,20,Angers,38,4,6,28,33,81,18,41.04
