Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2019/2020,Premier League,1,Liverpool,38,32,3,3,85,33,99,75.19
2019/2020,Premier League,2,Manchester City,38,26,3,9,102,35,81,102.21
2019/2020,Premier League,3,Manchester United,38,18,12,8,66,36,66,66.19
2019/2020,Premier League,4,Chelsea,38,20,6,12,69,54,66,76.23
2019/2020,Premier League,5,Leicester,38,18,8,12,67,41,62,61.02
2019/2020,Premier League,6,Tottenham,38,16,11,11,61,47,59,49.02
2019/2020,Premier League,7,Wolverhampton Wanderers,38,15,14,9,51,40,59,54.22
2019/2020,Premier League,8,Arsenal,38,14,14,10,56,48,56,50.82
2019/2020,Premier League,9,Sheffield United,38,14,12,12,39,39,54,45.81
2019/2020,Premier League,10,Burnley,38,15,9,14,43,50,54,49.35
2019/2020,Premier League,11,Southampton,38,15,7,16,51,60,52,56.5
2019/2020,Premier League,12,Everton,38,13,10,15,44,56,49,53.71
2019/2020,Premier League,13,Newcastle United,38,11,11,16,38,58,44,36.49
2019/2020,Premier League,14,Crystal Palace,38,11,10,17,31,50,43,34.45
2019/2020,Premier League,15,Brighton,38,9,14,15,39,54,41,47.42
2019/2020,Premier League,16,West Ham,38,10,9,19,49,62,39,49.07
2019/2020,Premier League,17,Aston Villa,38,9,8,21,41,67,35,45.09
2019/2020,Premier League,18,Bournemouth,38,9,7,22,40,65,34,44.67
2019/2020,Premier League,19,Watford,38,8,10,20,36,64,34,48.56
2019/2020,Premier League,20,Norwich,38,5,6,27,26,75,21,37.23
2019/2020,La Liga,1,Real Madrid,38,26,9,3,70,25,87,72.16
2019/2020,La Liga,2,Barcelona,38,25,7,6,86,38,82,72.01
2019/2020,La Liga,3,Atletico Madrid,38,18,16,4,51,27,70,58.7
2019/2020,La Liga,4,Sevilla,38,19,13,6,54,34,70,55.16
2019/2020,La Liga,5,Villarreal,38,18,6,14,63,49,60,65.61
2019/2020,La Liga,6,Real Sociedad,38,16,8,14,56,48,56,50.92
2019/2020,La Liga,7,Granada,38,16,8,14,52,45,56,45.02
2019/2020,La Liga,8,Getafe,38,14,12,12,43,37,54,45.19
2019/2020,La Liga,9,Valencia,38,14,11,13,46,53,53,45.58
2019/2020,La Liga,10,Osasuna,38,13,13,12,46,54,52,49.04
2019/2020,La Liga,11,Athletic Club,38,13,12,13,41,38,51,42.1
2019/2020,La Liga,12,Levante,38,14,7,17,47,53,49,49.43
2019/2020,La Liga,13,Real Valladolid,38,9,15,14,32,43,42,35.66
2019/2020,La Liga,14,Eibar,38,11,9,18,39,56,42,42.35
2019/2020,La Liga,15,Real Betis,38,10,11,17,48,60,41,48.9
2019/2020,La Liga,16,Alaves,38,10,9,19,34,59,39,38.15
2019/2020,La Liga,17,Celta Vigo,38,7,16,15,37,49,37,40.44
2019/2020,La Liga,18,Leganes,38,8,12,18,30,51,36,38.92
2019/2020,La Liga,19,Mallorca,38,9,6,23,40,65,33,40.46
2019/2020,La Liga,20,Espanyol,38,5,10,23,27,58,25,37.0
2019/2020,Serie A,1,Juventus,38,26,5,7,76,43,83,73.77
2019/2020,Serie A,2,Inter,38,24,10,4,81,36,82,73.95
2019/2020,Serie A,3,Atalanta,38,23,9,6,98,48,78,86.17
2019/2020,Serie A,4,Lazio,38,24,6,8,79,42,78,67.55
2019/2020,Serie A,5,Roma,38,21,7,10,77,51,70,78.32
2019/2020,Serie A,6,AC Milan,38,19,9,10,63,46,66,65.27
2019/2020,Serie A,7,Napoli,38,18,8,12,61,50,62,63.88
2019/2020,Serie A,8,Sassuolo,38,14,9,15,69,63,51,53.42
2019/2020,Serie A,9,Fiorentina,38,12,13,13,51,48,49,53.49
2019/2020,Serie A,10,Parma Calcio 1913,38,14,7,17,56,57,49,47.12
2019/2020,Serie A,11,Verona,38,12,13,13,47,51,49,52.49
2019/2020,Serie A,12,Bologna,38,12,11,15,52,65,47,57.41
2019/2020,Serie A,13,Cagliari,38,11,12,15,52,56,45,41.92
2019/2020,Serie A,14,Udinese,38,12,9,17,37,51,45,43.69
2019/2020,Serie A,15,Sampdoria,38,12,6,20,48,65,42,48.92
2019/2020,Serie A,16,Torino,38,11,7,20,46,68,40,43.49
2019/2020,Serie A,17,Genoa,38,10,9,19,47,73,39,49.89
2019/2020,Serie A,18,Lecce,38,9,8,21,52,85,35,53.47
2019/2020,Serie A,19,Brescia,38,6,7,25,35,79,25,43.25
2019/2020,Serie A,20,SPAL 2013,38,5,5,28,27,77,20,39.07
2019/2020,Bundesliga,1,Bayern Munich,34,26,4,4,100,32,82,92.85
2019/2020,Bundesliga,2,Borussia Dortmund,34,21,6,7,84,41,69,64.26
2019/2020,Bundesliga,3,RasenBallsport Leipzig,34,18,12,4,81,37,66,76.13
2019/2020,Bundesliga,4,Borussia M.Gladbach,34,20,5,9,66,40,65,73.58
2019/2020,Bundesliga,5,Bayer Leverkusen,34,19,6,9,61,44,63,61.88
2019/2020,Bundesliga,6,Hoffenheim,34,15,7,12,53,53,52,56.66
2019/2020,Bundesliga,7,Wolfsburg,34,13,10,11,48,46,49,54.43
2019/2020,Bundesliga,8,Freiburg,34,13,9,12,48,47,48,46.14
2019/2020,Bundesliga,9,Eintracht Frankfurt,34,13,6,15,59,60,45,58.33
2019/2020,Bundesliga,10,Hertha Berlin,34,11,8,15,48,59,41,44.3
2019/2020,Bundesliga,11,Union Berlin,34,12,5,17,41,58,41,41.58
2019/2020,Bundesliga,12,Schalke 04,34,9,12,13,38,58,39,35.93
2019/2020,Bundesliga,13,Mainz 05,34,11,4,19,44,65,37,46.19
2019/2020,Bundesliga,14,Augsburg,34,9,9,16,45,63,36,43.86
2019/2020,Bundesliga,15,FC Cologne,34,10,6,18,51,69,36,49.28
2019/2020,Bundesliga,16,Werder Bremen,34,8,7,19,42,69,31,37.74
2019/2020,Bundesliga,17,Fortuna Duesseldorf,34,6,12,16,36,67,30,35.69
2019/2020,Bundesliga,18,Paderborn,34,4,8,22,37,74,20,38.47
2019/2020,Ligue 1,1,Paris Saint Germain,27,22,2,3,75,24,68,76.42
2019/2020,Ligue 1,2,Marseille,28,16,8,4,41,29,56,36.42
2019/2020,Ligue 1,3,Rennes,28,15,5,8,38,24,50,34.37
2019/2020,Ligue 1,4,Lille,28,15,4,9,35,27,49,40.81
2019/2020,Ligue 1,5,Reims,28,10,11,7,26,21,41,28.93
2019/2020,Ligue 1,6,Nice,28,11,8,9,41,38,41,36.45
2019/2020,Ligue 1,7,Lyon,28,11,7,10,42,27,40,36.24
2019/2020,Ligue 1,8,Montpellier,28,11,7,10,35,34,40,34.95
2019/2020,Ligue 1,9,Monaco,28,11,7,10,44,44,40,48.55
2019/2020,Ligue 1,10,Angers,28,11,6,11,28,33,39,27.1
2019/2020,Ligue 1,11,Strasbourg,27,11,5,11,32,32,38,34.56
2019/2020,Ligue 1,12,Bordeaux,28,9,10,9,40,34,37,30.47
2019/2020,Ligue 1,13,Nantes,28,11,4,13,28,31,37,27.81
2019/2020,Ligue 1,14,Brest,28,8,10,10,34,37,34,30.05
2019/2020,Ligue 1,15,Metz,28,8,10,10,27,35,34,24.65
2019/2020,Ligue 1,16,Dijon,28,7,9,12,27,37,30,27.38
2019/2020,Ligue 1,17,Saint-Etienne,28,8,6,14,29,45,30,29.65
2019/2020,Ligue 1,18,Nimes,28,7,6,15,29,44,27,30.19
2019/2020,Ligue 1,19,Amiens,28,4,11,13,31,50,23,25.62
2019/2020,Ligue 1,20,Toulouse,28,3,4,21,22,58,13,31.29
