Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2025/2026,Premier League,1,Arsenal,37,25,7,5,69,26,82,73.58
2025/2026,Premier League,2,Manchester City,37,23,9,5,76,33,78,77.98
2025/2026,Premier League,3,Manchester United,37,19,11,7,66,50,68,69.86
2025/2026,Premier League,4,Aston Villa,37,18,8,11,54,48,62,53.76
2025/2026,Premier League,5,Liverpool,37,17,8,12,62,52,59,64.26
2025/2026,Premier League,6,Bournemouth,37,13,17,7,57,53,56,65.5
2025/2026,Premier League,7,Brighton,37,14,11,12,52,43,53,57.72
2025/2026,Premier League,8,Chelsea,37,14,10,13,57,50,52,71.29
2025/2026,Premier League,9,Brentford,37,14,10,13,54,51,52,64.8
2025/2026,Premier League,10,Sunderland,37,13,12,12,40,47,51,40.81
2025/2026,Premier League,11,Newcastle United,37,14,7,16,53,53,49,60.37
2025/2026,Premier League,12,Everton,37,13,10,14,47,49,49,49.6
2025/2026,Premier League,13,Fulham,37,14,7,16,45,51,49,47.85
2025/2026,Premier League,14,Leeds,37,11,14,12,49,53,47,57.82
2025/2026,Premier League,15,Crystal Palace,37,11,12,14,40,49,45,61.45
2025/2026,Premier League,16,Nottingham Forest,37,11,10,16,47,50,43,46.88
2025/2026,Premier League,17,Tottenham,37,9,11,17,47,57,38,45.39
2025/2026,Premier League,18,West Ham,37,9,9,19,43,65,36,46.91
2025/2026,Premier League,19,Burnley,37,4,9,24,37,74,21,35.66
2025/2026,Premier League,20,Wolverhampton Wanderers,37,3,10,24,26,67,19,35.6
2025/2026,La Liga,1,Barcelona,38,31,1,6,95,36,94,99.67
2025/2026,La Liga,2,Real Madrid,38,27,5,6,77,35,86,81.49
2025/2026,La Liga,3,Atletico Madrid,37,21,6,10,61,39,69,66.52
2025/2026,La Liga,4,Villarreal,37,21,6,10,67,45,69,66.04
2025/2026,La Liga,5,Real Betis,38,15,15,8,59,48,60,61.3
2025/2026,La Liga,6,Celta Vigo,38,14,12,12,53,48,54,51.99
2025/2026,La Liga,7,Getafe,38,15,6,17,32,38,51,33.96
2025/2026,La Liga,8,Rayo Vallecano,38,12,14,12,41,44,50,59.98
2025/2026,La Liga,9,Valencia,38,13,10,15,46,55,49,53.95
2025/2026,La Liga,10,Real Sociedad,38,11,13,14,59,61,46,59.7
2025/2026,La Liga,11,Espanyol,38,12,10,16,43,55,46,52.38
2025/2026,La Liga,12,Athletic Club,38,13,6,19,43,58,45,55.65
2025/2026,La Liga,13,Elche,38,10,13,15,49,57,43,48.17
2025/2026,La Liga,14,Alaves,38,11,10,17,44,56,43,53.58
2025/2026,La Liga,15,Sevilla,38,12,7,19,46,60,43,39.65
2025/2026,La Liga,16,Osasuna,38,11,9,18,44,50,42,51.46
2025/2026,La Liga,17,Mallorca,38,11,9,18,47,57,42,47.51
2025/2026,La Liga,18,Levante,38,11,9,18,47,61,42,59.6
2025/2026,La Liga,19,Girona,38,9,14,15,39,55,41,52.13
2025/2026,La Liga,20,Real Oviedo,38,6,11,21,26,60,29,41.5
2025/2026,Serie A,1,Inter,38,27,6,5,89,35,87,87.05
2025/2026,Serie A,2,Napoli,37,22,7,8,57,36,73,56.2
2025/2026,Serie A,3,Roma,37,22,4,11,57,31,70,59.07
2025/2026,Serie A,4,AC Milan,37,20,10,7,52,33,70,63.05
2025/2026,Serie A,5,Como,37,19,11,7,61,28,68,65.28
2025/2026,Serie A,6,Juventus,37,19,11,7,59,32,68,71.62
2025/2026,Serie A,7,Atalanta,38,15,14,9,51,36,59,68.65
2025/2026,Serie A,8,Bologna,38,16,8,14,49,46,56,50.04
2025/2026,Serie A,9,Lazio,38,14,12,12,41,40,54,46.18
2025/2026,Serie A,10,Udinese,37,14,8,15,45,47,50,46.77
2025/2026,Serie A,11,Sassuolo,37,14,7,16,46,49,49,46.96
2025/2026,Serie A,12,Torino,37,12,8,17,42,61,44,50.6
2025/2026,Serie A,13,Fiorentina,38,9,15,14,41,50,42,52.17
2025/2026,Serie A,14,Parma Calcio 1913,37,10,12,15,27,46,42,34.64
2025/2026,Serie A,15,Genoa,37,10,11,16,41,50,41,47.35
2025/2026,Serie A,16,Cagliari,37,10,10,17,38,52,40,40.29
2025/2026,Serie A,17,Lecce,37,9,8,20,27,50,35,35.02
2025/2026,Serie A,18,Cremonese,37,8,10,19,31,53,34,36.51
2025/2026,Serie A,19,Verona,37,3,12,22,25,59,21,36.8
2025/2026,Serie A,20,Pisa,38,2,12,24,26,71,18,42.16
2025/2026,Bundesliga,1,Bayern Munich,34,28,5,1,122,36,89,104.81
2025/2026,Bundesliga,2,Borussia Dortmund,34,22,7,5,70,34,73,67.8
2025/2026,Bundesliga,3,RasenBallsport Leipzig,34,20,5,9,66,47,65,75.18
2025/2026,Bundesliga,4,VfB Stuttgart,34,18,8,8,71,49,62,68.33
2025/2026,Bundesliga,5,Hoffenheim,34,18,7,9,65,52,61,63.15
2025/2026,Bundesliga,6,Bayer Leverkusen,34,17,8,9,68,47,59,75.25
2025/2026,Bundesliga,7,Freiburg,34,13,8,13,51,57,47,50.13
2025/2026,Bundesliga,8,Eintracht Frankfurt,34,11,11,12,61,65,44,51.02
2025/2026,Bundesliga,9,Augsburg,34,12,7,15,45,61,43,51.27
2025/2026,Bundesliga,10,Mainz 05,34,10,10,14,44,53,40,63.26
2025/2026,Bundesliga,11,Union Berlin,34,10,9,15,44,58,39,48.41
2025/2026,Bundesliga,12,Borussia M.Gladbach,34,9,11,14,42,53,38,46.69
2025/2026,Bundesliga,13,Hamburger SV,34,9,11,14,40,54,38,43.83
2025/2026,Bundesliga,14,FC Cologne,34,7,11,16,49,63,32,53.83
2025/2026,Bundesliga,15,Werder Bremen,34,8,8,18,37,60,32,42.35
2025/2026,Bundesliga,16,Wolfsburg,34,7,8,19,45,69,29,52.58
2025/2026,Bundesliga,17,FC Heidenheim,34,6,8,20,41,72,26,49.97
2025/2026,Bundesliga,18,St. Pauli,34,6,8,20,29,60,26,34.03
2025/2026,Ligue 1,1,Paris Saint Germain,34,24,4,6,74,29,76,75.64
2025/2026,Ligue 1,2,Lens,34,22,4,8,66,35,70,74.36
2025/2026,Ligue 1,3,Lille,34,18,7,9,52,37,61,57.19
2025/2026,Ligue 1,4,Lyon,34,18,6,10,53,40,60,55.16
2025/2026,Ligue 1,5,Marseille,34,18,5,11,63,45,59,69.45
2025/2026,Ligue 1,6,Rennes,34,17,8,9,59,50,59,54.47
2025/2026,Ligue 1,7,Monaco,34,16,6,12,60,54,54,61.41
2025/2026,Ligue 1,8,Strasbourg,34,15,8,11,58,47,53,56.77
2025/2026,Ligue 1,9,Lorient,34,11,12,11,48,51,45,49.11
2025/2026,Ligue 1,10,Toulouse,33,12,8,13,47,46,44,46.29
2025/2026,Ligue 1,11,Paris FC,34,11,11,12,47,50,44,49.71
2025/2026,Ligue 1,12,Brest,34,10,9,15,43,55,39,46.38
2025/2026,Ligue 1,13,Angers,34,9,9,16,29,48,36,33.46
2025/2026,Ligue 1,14,Le Havre,34,7,14,13,32,44,35,38.69
2025/2026,Ligue 1,15,Auxerre,34,8,10,16,34,44,34,40.34
2025/2026,Ligue 1,16,Nice,34,7,11,16,37,60,32,46.79
2025/2026,Ligue 1,17,Nantes,33,5,8,20,29,52,23,37.82
2025/2026,Ligue 1,18,Metz,34,3,8,23,32,76,17,33.58
