Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2021/2022,Premier League,1,Manchester City,38,29,6,3,99,26,93,93.4
2021/2022,Premier League,2,Liverpool,38,28,8,2,94,26,92,93.02
2021/2022,Premier League,3,Chelsea,38,21,11,6,76,33,74,69.3
2021/2022,Premier League,4,Tottenham,38,22,5,11,69,40,71,67.95
2021/2022,Premier League,5,Arsenal,38,22,3,13,61,48,69,63.39
2021/2022,Premier League,6,Manchester United,38,16,10,12,57,57,58,57.21
2021/2022,Premier League,7,West Ham,38,16,8,14,60,51,56,54.98
2021/2022,Premier League,8,Leicester,38,14,10,14,62,59,52,49.49
2021/2022,Premier League,9,Brighton,38,12,15,11,42,44,51,49.57
2021/2022,Premier League,10,Wolverhampton Wanderers,38,15,6,17,38,43,51,39.04
2021/2022,Premier League,11,Newcastle United,38,13,10,15,44,62,49,41.53
2021/2022,Premier League,12,Crystal Palace,38,11,15,12,50,46,48,48.84
2021/2022,Premier League,13,Brentford,38,13,7,18,48,56,46,52.89
2021/2022,Premier League,14,Aston Villa,38,13,6,19,52,54,45,43.13
2021/2022,Premier League,15,Southampton,38,9,13,16,43,67,40,47.35
2021/2022,Premier League,16,Everton,38,11,6,21,43,66,39,44.47
2021/2022,Premier League,17,Leeds,38,9,11,18,42,79,38,51.19
2021/2022,Premier League,18,Burnley,38,7,14,17,34,53,35,41.11
2021/2022,Premier League,19,Watford,38,6,5,27,34,77,23,39.34
2021/2022,Premier League,20,Norwich,38,5,7,26,23,84,22,31.51
2021/2022,La Liga,1,Real Madrid,38,26,8,4,80,31,86,80.22
2021/2022,La Liga,2,Barcelona,38,21,10,7,68,38,73,70.54
2021/2022,La Liga,3,Atletico Madrid,38,21,8,9,65,43,71,59.45
2021/2022,La Liga,4,Sevilla,38,18,16,4,53,30,70,46.85
2021/2022,La Liga,5,Real Betis,38,19,8,11,62,40,65,55.9
2021/2022,La Liga,6,Real Sociedad,38,17,11,10,40,37,62,56.09
2021/2022,La Liga,7,Villarreal,38,16,11,11,63,37,59,70.33
2021/2022,La Liga,8,Athletic Club,38,14,13,11,43,36,55,57.01
2021/2022,La Liga,9,Valencia,38,11,15,12,48,53,48,42.28
2021/2022,La Liga,10,Osasuna,38,12,11,15,37,51,47,42.03
2021/2022,La Liga,11,Celta Vigo,38,12,10,16,43,43,46,44.94
2021/2022,La Liga,12,Rayo Vallecano,38,11,9,18,39,50,42,47.03
2021/2022,La Liga,13,Elche,38,11,9,18,40,52,42,36.81
2021/2022,La Liga,14,Espanyol,38,10,12,16,40,53,42,38.9
2021/2022,La Liga,15,Getafe,38,8,15,15,33,41,39,31.55
2021/2022,La Liga,16,Mallorca,38,10,9,19,36,63,39,40.58
2021/2022,La Liga,17,Cadiz,38,8,15,15,35,51,39,41.8
2021/2022,La Liga,18,Granada,38,8,14,16,44,61,38,41.3
2021/2022,La Liga,19,Levante,38,8,11,19,51,76,35,57.56
2021/2022,La Liga,20,Alaves,38,8,7,23,31,65,31,38.46
2021/2022,Serie A,1,AC Milan,38,26,8,4,69,31,86,67.34
2021/2022,Serie A,2,Inter,38,25,9,4,84,32,84,90.38
2021/2022,Serie A,3,Napoli,38,24,7,7,74,31,79,63.64
2021/2022,Serie A,4,Juventus,38,20,10,8,57,37,70,60.83
2021/2022,Serie A,5,Lazio,38,18,10,10,77,58,64,59.29
2021/2022,Serie A,6,Roma,38,18,9,11,59,43,63,66.8
2021/2022,Serie A,7,Fiorentina,38,19,5,14,59,51,62,62.04
2021/2022,Serie A,8,Atalanta,38,16,11,11,65,48,59,68.72
2021/2022,Serie A,9,Verona,38,14,11,13,65,59,53,56.39
2021/2022,Serie A,10,Torino,38,13,11,14,46,41,50,53.75
2021/2022,Serie A,11,Sassuolo,38,13,11,14,64,66,50,59.36
2021/2022,Serie A,12,Udinese,38,11,14,13,61,58,47,57.17
2021/2022,Serie A,13,Bologna,38,12,10,16,44,55,46,45.55
2021/2022,Serie A,14,Empoli,38,10,11,17,50,70,41,45.52
2021/2022,Serie A,15,Sampdoria,38,10,6,22,46,63,36,39.09
2021/2022,Serie A,16,Spezia,38,10,6,22,41,71,36,41.65
2021/2022,Serie A,17,Salernitana,38,7,10,21,33,78,31,39.49
2021/2022,Serie A,18,Cagliari,38,6,12,20,34,68,30,40.74
2021/2022,Serie A,19,Genoa,38,4,16,18,27,60,28,38.53
2021/2022,Serie A,20,Venezia,38,6,9,23,34,69,27,36.16
2021/2022,Bundesliga,1,Bayern Munich,34,24,5,5,97,37,77,99.91
2021/2022,Bundesliga,2,Borussia Dortmund,34,22,3,9,85,52,69,65.65
2021/2022,Bundesliga,3,Bayer Leverkusen,34,19,7,8,80,47,64,66.31
2021/2022,Bundesliga,4,RasenBallsport Leipzig,34,17,7,10,72,37,58,67.4
2021/2022,Bundesliga,5,Union Berlin,34,16,9,9,50,44,57,55.2
2021/2022,Bundesliga,6,Freiburg,34,15,10,9,58,46,55,57.73
2021/2022,Bundesliga,7,FC Cologne,34,14,10,10,52,49,52,52.3
2021/2022,Bundesliga,8,Mainz 05,34,13,7,14,50,45,46,52.08
2021/2022,Bundesliga,9,Hoffenheim,34,13,7,14,58,60,46,59.77
2021/2022,Bundesliga,10,Borussia M.Gladbach,34,12,9,13,54,61,45,59.92
2021/2022,Bundesliga,11,Eintracht Frankfurt,34,10,12,12,45,49,42,41.65
2021/2022,Bundesliga,12,Wolfsburg,34,12,6,16,43,54,42,49.27
2021/2022,Bundesliga,13,Bochum,34,12,6,16,38,52,42,44.78
2021/2022,Bundesliga,14,Augsburg,34,10,8,16,39,56,38,38.95
