Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2023/2024,Premier League,1,Manchester City,38,28,7,3,96,34,91,89.55
2023/2024,Premier League,2,Arsenal,38,28,5,5,91,29,89,84.39
2023/2024,Premier League,3,Liverpool,38,24,10,4,86,41,82,94.79
2023/2024,Premier League,4,Aston Villa,38,20,8,10,76,61,68,67.42
2023/2024,Premier League,5,Tottenham,38,20,6,12,74,61,66,73.35
2023/2024,Premier League,6,Chelsea,38,18,9,11,77,63,63,80.88
2023/2024,Premier League,7,Newcastle United,38,18,6,14,85,62,60,84.48
2023/2024,Premier League,8,Manchester United,38,18,6,14,57,58,60,60.33
2023/2024,Premier League,9,West Ham,38,14,10,14,60,74,52,54.53
2023/2024,Premier League,10,Crystal Palace,38,13,10,15,57,58,49,53.94
2023/2024,Premier League,11,Brighton,38,12,12,14,55,62,48,61.91
2023/2024,Premier League,12,Bournemouth,38,13,9,16,54,67,48,63.76
2023/2024,Premier League,13,Fulham,38,13,8,17,55,61,47,52.81
2023/2024,Premier League,14,Wolverhampton Wanderers,38,13,7,18,50,65,46,50.65
2023/2024,Premier League,15,Everton,38,13,9,16,40,51,40,60.75
2023/2024,Premier League,16,Brentford,38,10,9,19,56,65,39,64.29
2023/2024,Premier League,17,Nottingham Forest,38,9,9,20,49,67,36,52.16
2023/2024,Premier League,18,Luton,38,6,8,24,52,85,26,49.87
2023/2024,Premier League,19,Burnley,38,5,9,24,41,78,24,43.44
2023/2024,Premier League,20,Sheffield United,38,3,7,28,35,104,16,41.31
2023/2024,La Liga,1,Real Madrid,38,29,8,1,87,26,95,80.88
2023/2024,La Liga,2,Barcelona,38,26,7,5,79,44,85,81.76
2023/2024,La Liga,3,Girona,38,25,6,7,85,46,81,78.05
2023/2024,La Liga,4,Atletico Madrid,38,24,4,10,70,43,76,69.83
2023/2024,La Liga,5,Athletic Club,38,19,11,8,61,37,68,61.64
2023/2024,La Liga,6,Real Sociedad,38,16,12,10,51,39,60,49.16
2023/2024,La Liga,7,Real Betis,38,14,15,9,48,45,57,52.92
2023/2024,La Liga,8,Villarreal,38,14,11,13,65,65,53,59.81
2023/2024,La Liga,9,Valencia,38,13,10,15,40,45,49,45.13
2023/2024,La Liga,10,Alaves,38,12,10,16,36,46,46,51.97
2023/2024,La Liga,11,Osasuna,38,12,9,17,45,56,45,45.79
2023/2024,La Liga,12,Getafe,38,10,13,15,42,54,43,50.28
2023/2024,La Liga,13,Celta Vigo,38,10,11,17,46,57,41,56.39
2023/2024,La Liga,14,Sevilla,38,10,11,17,48,54,41,53.53
2023/2024,La Liga,15,Mallorca,38,8,16,14,33,44,40,41.73
2023/2024,La Liga,16,Las Palmas,38,10,10,18,33,47,40,35.82
2023/2024,La Liga,17,Rayo Vallecano,38,8,14,16,29,48,38,46.4
2023/2024,La Liga,18,Cadiz,38,6,15,17,26,55,33,37.98
2023/2024,La Liga,19,Almeria,38,3,12,23,43,75,21,49.9
2023/2024,La Liga,20,Granada,38,4,9,25,38,79,21,43.58
2023/2024,Serie A,1,Inter,38,29,7,2,89,22,94,85.83
2023/2024,Serie A,2,AC Milan,38,22,9,7,76,49,75,71.86
2023/2024,Serie A,3,Juventus,38,19,14,5,54,31,71,63.48
2023/2024,Serie A,4,Atalanta,38,21,6,11,72,42,69,68.47
2023/2024,Serie A,5,Bologna,38,18,14,6,54,32,68,54.03
2023/2024,Serie A,6,Roma,38,18,9,11,65,46,63,56.92
2023/2024,Serie A,7,Lazio,38,18,7,13,49,39,61,51.39
2023/2024,Serie A,8,Fiorentina,38,17,9,12,61,46,60,58.11
2023/2024,Serie A,9,Torino,38,13,14,11,36,36,53,43.29
2023/2024,Serie A,10,Napoli,38,13,14,11,55,48,53,68.49
2023/2024,Serie A,11,Genoa,38,12,13,13,45,45,49,38.69
2023/2024,Serie A,12,Monza,38,11,12,15,39,51,45,45.55
2023/2024,Serie A,13,Verona,38,9,11,18,38,51,38,38.46
2023/2024,Serie A,14,Lecce,38,8,14,16,32,54,38,47.62
2023/2024,Serie A,15,Udinese,38,6,19,13,37,53,37,44.88
2023/2024,Serie A,16,Cagliari,38,8,12,18,42,68,36,45.44
2023/2024,Serie A,17,Empoli,38,9,9,20,29,54,36,38.06
2023/2024,Serie A,18,Frosinone,38,8,11,19,44,69,35,50.2
2023/2024,Serie A,19,Sassuolo,38,7,9,22,43,75,30,43.53
2023/2024,Serie A,20,Salernitana,38,2,11,25,32,81,17,31.45
2023/2024,Bundesliga,1,Bayer Leverkusen,34,28,6,0,89,24,90,82.01
2023/2024,Bundesliga,2,VfB Stuttgart,34,23,4,7,78,39,73,78.99
2023/2024,Bundesliga,3,Bayern Munich,34,23,3,8,94,45,72,94.4
2023/2024,Bundesliga,4,RasenBallsport Leipzig,34,19,8,7,77,39,65,72.63
