Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2023/2024,Bundesliga,5,Borussia Dortmund,34,18,9,7,68,43,63,71.16
2023/2024,Bundesliga,6,Eintracht Frankfurt,34,11,14,9,51,50,47,51.64
2023/2024,Bundesliga,7,Hoffenheim,34,13,7,14,66,66,46,56.25
2023/2024,Bundesliga,8,FC Heidenheim,34,10,12,12,50,55,42,42.58
2023/2024,Bundesliga,9,Werder Bremen,34,11,9,14,48,54,42,47.1
2023/2024,Bundesliga,10,Freiburg,34,11,9,14,45,58,42,52.5
2023/2024,Bundesliga,11,Augsburg,34,10,9,15,50,60,39,49.12
2023/2024,Bundesliga,12,Wolfsburg,34,10,7,17,41,56,37,44.0
2023/2024,Bundesliga,13,Mainz 05,34,7,14,13,39,51,35,51.68
2023/2024,Bundesliga,14,Borussia M.Gladbach,34,7,13,14,56,67,34,51.81
2023/2024,Bundesliga,15,Union Berlin,34,9,6,19,33,58,33,44.74
2023/2024,Bundesliga,16,Bochum,34,7,12,15,42,74,33,51.44
2023/2024,Bundesliga,17,FC Cologne,34,5,12,17,28,60,27,44.34
2023/2024,Bundesliga,18,Darmstadt,34,3,8,23,30,86,17,34.56
2023/2024,Ligue 1,1,Paris Saint Germain,34,22,10,2,81,33,76,72.88
2023/2024,Ligue 1,2,Monaco,34,20,7,7,68,42,67,65.06
2023/2024,Ligue 1,3,Brest,34,17,10,7,53,34,61,51.95
2023/2024,Ligue 1,4,Lille,34,16,11,7,52,34,59,55.32
2023/2024,Ligue 1,5,Nice,34,15,10,9,40,29,55,54.81
2023/2024,Ligue 1,6,Lyon,34,16,5,13,49,55,53,55.28
2023/2024,Ligue 1,7,Lens,34,14,9,11,45,37,51,62.08
2023/2024,Ligue 1,8,Marseille,34,13,11,10,52,41,50,60.03
2023/2024,Ligue 1,9,Reims,34,13,8,13,42,47,47,47.98
2023/2024,Ligue 1,10,Rennes,34,12,10,12,53,46,46,56.0
2023/2024,Ligue 1,11,Toulouse,34,11,10,13,42,46,43,44.85
2023/2024,Ligue 1,12,Montpellier,34,10,12,12,43,48,42,50.62
2023/2024,Ligue 1,13,Strasbourg,34,10,9,15,38,50,39,42.69
2023/2024,Ligue 1,14,Nantes,34,9,6,19,30,55,33,39.44
2023/2024,Ligue 1,15,Le Havre,34,7,11,16,34,45,32,39.05
2023/2024,Ligue 1,16,Lorient,34,7,8,19,43,66,29,38.96
2023/2024,Ligue 1,17,Metz,34,8,5,21,35,58,29,34.37
2023/2024,Ligue 1,18,Clermont Foot,34,5,10,19,26,60,25,35.69
