Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2014/2015,Premier League,1,Chelsea,38,26,9,3,73,32,87,68.64
2014/2015,Premier League,2,Manchester City,38,24,7,7,83,38,79,75.82
2014/2015,Premier League,3,Arsenal,38,22,9,7,71,36,75,69.8
2014/2015,Premier League,4,Manchester United,38,20,10,8,62,37,70,54.21
2014/2015,Premier League,5,Tottenham,38,19,7,12,58,53,64,52.39
2014/2015,Premier League,6,Liverpool,38,18,8,12,52,48,62,51.7
2014/2015,Premier League,7,Southampton,38,18,6,14,54,33,60,54.97
2014/2015,Premier League,8,Swansea,38,16,8,14,46,49,56,40.9
2014/2015,Premier League,9,Stoke,38,15,9,14,48,45,54,46.26
2014/2015,Premier League,10,Crystal Palace,38,13,9,16,47,51,48,44.76
2014/2015,Premier League,11,Everton,38,12,11,15,48,50,47,44.89
2014/2015,Premier League,12,West Ham,38,12,11,15,44,47,47,46.69
2014/2015,Premier League,13,West Bromwich Albion,38,11,11,16,38,51,44,38.63
2014/2015,Premier League,14,Leicester,38,11,8,19,46,55,41,48.21
2014/2015,Premier League,15,Newcastle United,38,10,9,19,40,63,39,40.22
2014/2015,Premier League,16,Sunderland,38,7,17,14,31,53,38,37.45
2014/2015,Premier League,17,Aston Villa,38,10,8,20,31,57,38,33.1
2014/2015,Premier League,18,Hull,38,8,11,19,33,51,35,32.79
2014/2015,Premier League,19,Burnley,38,7,12,19,28,53,33,39.37
2014/2015,Premier League,20,Queens Park Rangers,38,8,6,24,42,73,30,45.73
2014/2015,La Liga,1,Barcelona,38,30,4,4,110,21,94,102.98
2014/2015,La Liga,2,Real Madrid,38,30,2,6,118,38,92,95.77
2014/2015,La Liga,3,Atletico Madrid,38,23,9,6,67,29,78,57.05
2014/2015,La Liga,4,Valencia,38,22,11,5,70,32,77,55.06
2014/2015,La Liga,5,Sevilla,38,23,7,8,71,45,76,69.53
2014/2015,La Liga,6,Villarreal,38,16,12,10,48,37,60,56.77
2014/2015,La Liga,7,Athletic Club,38,15,10,13,42,41,55,45.54
2014/2015,La Liga,8,Celta Vigo,38,13,12,13,47,44,51,58.89
2014/2015,La Liga,9,Malaga,38,14,8,16,42,48,50,46.22
2014/2015,La Liga,10,Espanyol,38,13,10,15,47,51,49,43.98
2014/2015,La Liga,11,Rayo Vallecano,38,15,4,19,46,68,49,47.79
2014/2015,La Liga,12,Real Sociedad,38,11,13,14,44,51,46,33.49
2014/2015,La Liga,13,Elche,38,11,8,19,35,62,41,39.61
2014/2015,La Liga,14,Getafe,38,10,7,21,33,64,37,33.97
2014/2015,La Liga,15,Levante,38,9,10,19,34,67,37,35.3
2014/2015,La Liga,16,Eibar,38,9,8,21,34,55,35,29.56
2014/2015,La Liga,17,Deportivo La Coruna,38,7,14,17,35,60,35,37.87
2014/2015,La Liga,18,Granada,38,7,14,17,29,64,35,37.39
2014/2015,La Liga,19,Almeria,38,8,8,22,35,64,32,38.67
2014/2015,La Liga,20,Cordoba,38,3,11,24,22,68,20,29.76
2014/2015,Serie A,1,Juventus,38,26,9,3,72,24,87,59.08
2014/2015,Serie A,2,Roma,38,19,13,6,54,31,70,50.85
2014/2015,Serie A,3,Lazio,38,21,6,11,71,38,69,62.0
2014/2015,Serie A,4,Fiorentina,38,18,10,10,61,46,64,60.67
2014/2015,Serie A,5,Napoli,38,18,9,11,70,54,63,64.5
2014/2015,Serie A,6,Genoa,38,16,11,11,62,47,59,57.32
2014/2015,Serie A,7,Sampdoria,38,13,17,8,48,42,56,47.59
2014/2015,Serie A,8,Inter,38,14,13,11,59,48,55,57.17
2014/2015,Serie A,9,Torino,38,14,12,12,48,45,54,51.78
2014/2015,Serie A,10,AC Milan,38,13,13,12,56,50,52,47.07
2014/2015,Serie A,11,Palermo,38,12,13,13,53,55,49,54.97
2014/2015,Serie A,12,Sassuolo,38,12,13,13,49,57,49,42.91
2014/2015,Serie A,13,Verona,38,11,13,14,49,65,46,46.88
2014/2015,Serie A,14,Chievo,38,10,13,15,28,41,43,33.01
2014/2015,Serie A,15,Empoli,38,8,18,12,46,52,42,49.66
2014/2015,Serie A,16,Udinese,38,10,11,17,43,56,41,34.86
2014/2015,Serie A,17,Atalanta,38,7,16,15,38,57,37,40.94
2014/2015,Serie A,18,Cagliari,38,8,10,20,48,68,34,53.92
2014/2015,Serie A,19,Parma,38,6,8,24,33,75,26,31.77
2014/2015,Serie A,20,Cesena,38,4,12,22,36,73,24,34.62
2014/2015,Bundesliga,1,Bayern Munich,34,25,4,5,80,18,79,66.21
2014/2015,Bundesliga,2,Wolfsburg,34,20,9,5,72,38,69,58.35
2014/2015,Bundesliga,3,Borussia M.Gladbach,34,19,9,6,53,26,66,51.74
2014/2015,Bundesliga,4,Bayer Leverkusen,34,17,10,7,62,37,61,49.16
2014/2015,Bundesliga,5,Augsburg,34,15,4,15,43,43,49,43.91
2014/2015,Bundesliga,6,Schalke 04,34,13,9,12,42,40,48,41.26
2014/2015,Bundesliga,7,Borussia Dortmund,34,13,7,14,47,42,46,53.86
2014/2015,Bundesliga,8,Hoffenheim,34,12,8,14,49,55,44,49.96
2014/2015,Bundesliga,9,Eintracht Frankfurt,34,11,10,13,56,62,43,47.37
2014/2015,Bundesliga,10,Werder Bremen,34,11,10,13,50,65,43,42.67
2014/2015,Bundesliga,11,Mainz 05,34,9,13,12,45,47,40,43.91
2014/2015,Bundesliga,12,FC Cologne,34,9,13,12,34,40,40,32.22
2014/2015,Bundesliga,13,Hannover 96,34,9,10,15,40,56,37,36.43
2014/2015,Bundesliga,14,VfB Stuttgart,34,9,9,16,42,60,36,45.64
2014/2015,Bundesliga,15,Hertha Berlin,34,9,8,17,36,52,35,32.66
2014/2015,Bundesliga,16,Hamburger SV,34,9,8,17,25,50,35,32.86
2014/2015,Bundesliga,17,Freiburg,34,7,13,14,36,47,34,38.69
2014/2015,Bundesliga,18,Paderborn,34,7,10,17,31,65,31,36.08
2014/2015,Ligue 1,1,Paris Saint Germain,38,24,11,3,83,36,83,78.42
2014/2015,Ligue 1,2,Lyon,38,22,9,7,72,33,75,62.85
2014/2015,Ligue 1,3,Monaco,38,20,11,7,51,26,71,56.61
2014/2015,Ligue 1,4,Marseille,38,21,6,11,76,42,69,60.63
2014/2015,Ligue 1,5,Saint-Etienne,38,19,12,7,51,30,69,46.49
2014/2015,Ligue 1,6,Bordeaux,38,17,12,9,47,44,63,48.21
2014/2015,Ligue 1,7,Montpellier,38,16,8,14,46,39,56,45.39
2014/2015,Ligue 1,8,Lille,38,16,8,14,43,42,56,40.92
2014/2015,Ligue 1,9,Rennes,38,13,11,14,35,42,50,37.44
2014/2015,Ligue 1,10,Guingamp,38,15,4,19,41,55,49,37.85
2014/2015,Ligue 1,11,Nice,38,13,9,16,44,53,48,45.19
2014/2015,Ligue 1,12,SC Bastia,38,12,11,15,37,46,47,30.25
2014/2015,Ligue 1,13,Caen,38,12,10,16,54,55,46,41.4
2014/2015,Ligue 1,14,Nantes,38,11,12,15,29,40,45,36.08
2014/2015,Ligue 1,15,Reims,38,12,8,18,47,66,44,43.45
2014/2015,Ligue 1,16,Lorient,38,12,7,19,44,50,43,41.04
2014/2015,Ligue 1,17,Toulouse,38,12,6,20,43,64,42,40.67
2014/2015,Ligue 1,18,Evian Thonon Gaillard,38,11,4,23,41,62,37,33.9
2014/2015,Ligue 1,19,Metz,38,7,9,22,31,61,30,37.52
2014/2015,Ligue 1,20,Lens,38,7,8,23,32,61,29,38.41
