Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2018/2019,Premier League,1,Manchester City,38,32,2,4,95,23,98,93.72
2018/2019,Premier League,2,Liverpool,38,30,7,1,89,22,97,79.46
2018/2019,Premier League,3,Chelsea,38,21,9,8,63,39,72,63.97
2018/2019,Premier League,4,Tottenham,38,23,2,13,67,39,71,61.75
2018/2019,Premier League,5,Arsenal,38,21,7,10,73,51,70,64.8
2018/2019,Premier League,6,Manchester United,38,19,9,10,65,54,66,68.62
2018/2019,Premier League,7,Wolverhampton Wanderers,38,16,9,13,47,46,57,53.06
2018/2019,Premier League,8,Everton,38,15,9,14,54,46,54,53.87
2018/2019,Premier League,9,Leicester,38,15,7,16,51,48,52,52.11
2018/2019,Premier League,10,West Ham,38,15,7,16,52,55,52,47.96
2018/2019,Premier League,11,Watford,38,14,8,16,52,59,50,51.73
2018/2019,Premier League,12,Crystal Palace,38,14,7,17,51,53,49,50.64
2018/2019,Premier League,13,Newcastle United,38,12,9,17,42,48,45,39.91
2018/2019,Premier League,14,Bournemouth,38,13,6,19,56,70,45,58.81
2018/2019,Premier League,15,Burnley,38,11,7,20,45,68,40,44.74
2018/2019,Premier League,16,Southampton,38,9,12,17,45,65,39,49.67
2018/2019,Premier League,17,Brighton,38,9,9,20,35,60,36,37.03
2018/2019,Premier League,18,Cardiff,38,10,4,24,34,69,34,41.77
2018/2019,Premier League,19,Fulham,38,7,5,26,34,81,26,42.62
2018/2019,Premier League,20,Huddersfield,38,3,7,28,22,76,16,29.0
2018/2019,La Liga,1,Barcelona,38,26,9,3,90,36,87,83.28
2018/2019,La Liga,2,Atletico Madrid,38,22,10,6,55,29,76,51.87
2018/2019,La Liga,3,Real Madrid,38,21,5,12,63,46,68,68.65
2018/2019,La Liga,4,Valencia,38,15,16,7,51,35,61,61.88
2018/2019,La Liga,5,Sevilla,38,17,8,13,62,47,59,69.16
2018/2019,La Liga,6,Getafe,38,15,14,9,48,35,59,47.03
2018/2019,La Liga,7,Espanyol,38,14,11,13,48,50,53,50.16
2018/2019,La Liga,8,Athletic Club,38,13,14,11,41,45,53,44.44
2018/2019,La Liga,9,Real Sociedad,38,13,11,14,45,46,50,47.99
2018/2019,La Liga,10,Real Betis,38,14,8,16,44,52,50,51.68
