Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2018/2019,La Liga,11,Alaves,38,13,11,14,39,50,50,40.87
2018/2019,La Liga,12,Eibar,38,11,14,13,46,50,47,56.63
2018/2019,La Liga,13,Leganes,38,11,12,15,37,43,45,41.25
2018/2019,La Liga,14,Villarreal,38,10,14,14,49,52,44,54.8
2018/2019,La Liga,15,Levante,38,11,11,16,59,66,44,54.09
2018/2019,La Liga,16,Celta Vigo,38,10,11,17,53,62,41,48.7
2018/2019,La Liga,17,Real Valladolid,38,10,11,17,32,51,41,41.64
2018/2019,La Liga,18,Girona,38,9,10,19,37,53,37,42.99
2018/2019,La Liga,19,SD Huesca,38,7,12,19,43,65,33,51.38
2018/2019,La Liga,20,Rayo Vallecano,38,8,8,22,41,70,32,47.23
2018/2019,Serie A,1,Juventus,38,28,6,4,70,30,90,64.53
2018/2019,Serie A,2,Napoli,38,24,7,7,74,36,79,68.24
2018/2019,Serie A,3,Atalanta,38,20,9,9,77,46,69,74.43
2018/2019,Serie A,4,Inter,38,20,9,9,57,33,69,66.47
2018/2019,Serie A,5,AC Milan,38,19,11,8,55,36,68,52.16
2018/2019,Serie A,6,Roma,38,18,12,8,66,48,66,68.39
2018/2019,Serie A,7,Torino,38,16,15,7,52,37,63,46.47
2018/2019,Serie A,8,Lazio,38,17,8,13,56,46,59,61.27
2018/2019,Serie A,9,Sampdoria,38,15,8,15,60,51,53,53.19
2018/2019,Serie A,10,Bologna,38,11,11,16,48,56,44,48.1
2018/2019,Serie A,11,Sassuolo,38,9,16,13,53,60,43,49.75
2018/2019,Serie A,12,Udinese,38,11,10,17,39,53,43,42.49
2018/2019,Serie A,13,SPAL 2013,38,11,9,18,44,56,42,43.28
2018/2019,Serie A,14,Fiorentina,38,8,17,13,47,45,41,54.12
2018/2019,Serie A,15,Cagliari,38,10,11,17,36,54,41,40.94
2018/2019,Serie A,16,Parma Calcio 1913,38,10,11,17,41,61,41,41.1
2018/2019,Serie A,17,Genoa,38,8,14,16,39,57,38,44.54
2018/2019,Serie A,18,Empoli,38,10,8,20,51,70,38,52.06
2018/2019,Serie A,19,Frosinone,38,5,10,23,29,69,25,36.1
2018/2019,Serie A,20,Chievo,38,2,14,22,25,75,20,36.48
2018/2019,Bundesliga,1,Bayern Munich,34,24,6,4,88,32,78,92.24
2018/2019,Bundesliga,2,Borussia Dortmund,34,23,7,4,81,44,76,64.99
2018/2019,Bundesliga,3,RasenBallsport Leipzig,34,19,9,6,63,29,66,68.25
2018/2019,Bundesliga,4,Bayer Leverkusen,34,18,4,12,69,52,58,61.49
2018/2019,Bundesliga,5,Borussia M.Gladbach,34,16,7,11,55,42,55,54.93
2018/2019,Bundesliga,6,Wolfsburg,34,16,7,11,62,50,55,49.49
2018/2019,Bundesliga,7,Eintracht Frankfurt,34,15,9,10,60,48,54,61.84
2018/2019,Bundesliga,8,Werder Bremen,34,14,11,9,58,49,53,49.36
2018/2019,Bundesliga,9,Hoffenheim,34,13,12,9,70,52,51,79.95
2018/2019,Bundesliga,10,Fortuna Duesseldorf,34,13,5,16,49,65,44,49.47
2018/2019,Bundesliga,11,Hertha Berlin,34,11,10,13,49,57,43,50.52
2018/2019,Bundesliga,12,Mainz 05,34,12,7,15,46,57,43,49.21
2018/2019,Bundesliga,13,Freiburg,34,8,12,14,46,61,36,41.23
2018/2019,Bundesliga,14,Schalke 04,34,8,9,17,37,55,33,46.62
2018/2019,Bundesliga,15,Augsburg,34,8,8,18,51,71,32,47.44
2018/2019,Bundesliga,16,VfB Stuttgart,34,7,7,20,32,70,28,37.38
2018/2019,Bundesliga,17,Hannover 96,34,5,6,23,31,71,21,34.81
2018/2019,Bundesliga,18,Nuernberg,34,3,10,21,26,68,19,35.37
2018/2019,Ligue 1,1,Paris Saint Germain,38,29,4,5,105,35,91,95.34
2018/2019,Ligue 1,2,Lille,38,22,9,7,68,33,75,60.01
2018/2019,Ligue 1,3,Lyon,38,21,9,8,70,47,72,72.71
2018/2019,Ligue 1,4,Saint-Etienne,38,19,9,10,59,41,66,57.85
2018/2019,Ligue 1,5,Marseille,38,18,7,13,60,52,61,52.08
2018/2019,Ligue 1,6,Montpellier,38,15,14,9,53,42,59,46.62
2018/2019,Ligue 1,7,Nice,38,15,11,12,30,35,56,43.45
2018/2019,Ligue 1,8,Reims,38,13,16,9,39,42,55,37.12
2018/2019,Ligue 1,9,Nimes,38,15,8,15,57,58,53,48.5
2018/2019,Ligue 1,10,Rennes,38,13,13,12,55,52,52,56.05
2018/2019,Ligue 1,11,Strasbourg,38,11,16,11,58,48,49,40.59
2018/2019,Ligue 1,12,Nantes,38,13,9,16,48,48,48,48.04
2018/2019,Ligue 1,13,Angers,38,10,16,12,44,49,46,47.5
2018/2019,Ligue 1,14,Bordeaux,38,10,11,17,34,42,41,37.27
2018/2019,Ligue 1,15,Amiens,38,9,11,18,31,52,38,34.63
2018/2019,Ligue 1,16,Toulouse,38,8,14,16,35,57,38,42.73
2018/2019,Ligue 1,17,Monaco,38,8,12,18,38,57,36,46.49
2018/2019,Ligue 1,18,Dijon,38,9,7,22,31,60,34,36.13
2018/2019,Ligue 1,19,Caen,38,7,12,19,29,54,33,26.97
2018/2019,Ligue 1,20,Guingamp,38,5,12,21,28,68,27,39.46
