league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
GER-Bundesliga,2122,2021-08-13 Gladbach-Bayern Munich,2021-08-13,20:30,Gladbach,1–1,Bayern Munich,22925,Stadion im Borussia-Park,Marco Fritz,/en/matches/82c5d82c/Monchengladbach-Bayern-Munich-August-13-2021-Bundesliga
GER-Bundesliga,2122,2021-08-14 Arminia-Freiburg,2021-08-14,15:30,Arminia,0–0,Freiburg,13750,SchücoArena,Sven Jablonski,/en/matches/e4331e7c/Arminia-Bielefeld-Freiburg-August-14-2021-Bundesliga
GER-Bundesliga,2122,2021-08-14 Augsburg-Hoffenheim,2021-08-14,15:30,Augsburg,0–4,Hoffenheim,9124,WWK Arena,Felix Brych,/en/matches/eee6b64c/Augsburg-Hoffenheim-August-14-2021-Bundesliga
GER-Bundesliga,2122,2021-08-14 Dortmund-Eintracht Frankfurt,2021-08-14,18:30,Dortmund,5–2,Eintracht Frankfurt,25000,Signal Iduna Park,Tobias Stieler,/en/matches/40d5c11f/Dortmund-Eintracht-Frankfurt-August-14-2021-Bundesliga
GER-Bundesliga,2122,2021-08-14 Stuttgart-Greuther Fürth,2021-08-14,15:30,Stuttgart,5–1,Greuther Fürth,18109,Mercedes-Benz Arena,Felix Zwayer,/en/matches/51fae469/Stuttgart-Greuther-Furth-August-14-2021-Bundesliga
GER-Bundesliga,2122,2021-08-14 Union Berlin-Leverkusen,2021-08-14,15:30,Union Berlin,1–1,Leverkusen,11000,Stadion An der Alten Försterei,Tobias Reichel,/en/matches/5d7bd7fa/Union-Berlin-Leverkusen-August-14-2021-Bundesliga
GER-Bundesliga,2122,2021-08-14 Wolfsburg-Bochum,2021-08-14,15:30,Wolfsburg,1–0,Bochum,8536,Volkswagen Arena,Frank Willenborg,/en/matches/d1f94768/Wolfsburg-Bochum-August-14-2021-Bundesliga
GER-Bundesliga,2122,2021-08-15 Köln-Hertha BSC,2021-08-15,17:30,Köln,3–1,Hertha BSC,16500,RheinEnergieSTADION,Robert Hartmann,/en/matches/a4e198c5/Koln-Hertha-BSC-August-15-2021-Bundesliga
GER-Bundesliga,2122,2021-08-15 Mainz 05-RB Leipzig,2021-08-15,15:30,Mainz 05,1–0,RB Leipzig,10500,Mewa Arena,Daniel Siebert,/en/matches/c1cd7950/Mainz-05-RB-Leipzig-August-15-2021-Bundesliga
GER-Bundesliga,2122,2021-08-20 RB Leipzig-Stuttgart,2021-08-20,20:30,RB Leipzig,4–0,Stuttgart,23100,Red Bull Arena,Florian Badstübner,/en/matches/6350c527/RB-Leipzig-Stuttgart-August-20-2021-Bundesliga
GER-Bundesliga,2122,2021-08-21 Bochum-Mainz 05,2021-08-21,15:30,Bochum,2–0,Mainz 05,12548,Vonovia Ruhrstadion,Patrick Ittrich,/en/matches/4a8a0dcd/Bochum-Mainz-05-August-21-2021-Bundesliga
GER-Bundesliga,2122,2021-08-21 Eintracht Frankfurt-Augsburg,2021-08-21,15:30,Eintracht Frankfurt,0–0,Augsburg,22000,Deutsche Bank Park,Harm Osmers,/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga
GER-Bundesliga,2122,2021-08-21 Freiburg-Dortmund,2021-08-21,15:30,Freiburg,2–1,Dortmund,10100,Schwarzwald-Stadion,Robert Schröder,/en/matches/98aa6a98/Freiburg-Dortmund-August-21-2021-Bundesliga
GER-Bundesliga,2122,2021-08-21 Greuther Fürth-Arminia,2021-08-21,15:30,Greuther Fürth,1–1,Arminia,5890,Sportpark Ronhof Thomas Sommer,Daniel Schlager,/en/matches/976aabba/Greuther-Furth-Arminia-Bielefeld-August-21-2021-Bundesliga
GER-Bundesliga,2122,2021-08-21 Hertha BSC-Wolfsburg,2021-08-21,15:30,Hertha BSC,1–2,Wolfsburg,18241,Olympiastadion Berlin,Matthias Jöllenbeck,/en/matches/2ffc3a67/Hertha-BSC-Wolfsburg-August-21-2021-Bundesliga
GER-Bundesliga,2122,2021-08-21 Leverkusen-Gladbach,2021-08-21,18:30,Leverkusen,4–0,Gladbach,15105,BayArena,Deniz Aytekin,/en/matches/09083a3b/Leverkusen-Monchengladbach-August-21-2021-Bundesliga
GER-Bundesliga,2122,2021-08-22 Bayern Munich-Köln,2021-08-22,17:30,Bayern Munich,3–2,Köln,20000,Allianz Arena,Martin Petersen,/en/matches/80f89105/Bayern-Munich-Koln-August-22-2021-Bundesliga
GER-Bundesliga,2122,2021-08-22 Hoffenheim-Union Berlin,2021-08-22,15:30,Hoffenheim,2–2,Union Berlin,8014,PreZero Arena,Sascha Stegemann,/en/matches/222139d4/Hoffenheim-Union-Berlin-August-22-2021-Bundesliga
GER-Bundesliga,2122,2021-08-27 Dortmund-Hoffenheim,2021-08-27,20:30,Dortmund,3–2,Hoffenheim,25000,Signal Iduna Park,Felix Zwayer,/en/matches/1d990b1a/Dortmund-Hoffenheim-August-27-2021-Bundesliga
GER-Bundesliga,2122,2021-08-28 Arminia-Eintracht Frankfurt,2021-08-28,15:30,Arminia,1–1,Eintracht Frankfurt,13750,SchücoArena,Bastian Dankert,/en/matches/af8e306b/Arminia-Bielefeld-Eintracht-Frankfurt-August-28-2021-Bundesliga
GER-Bundesliga,2122,2021-08-28 Augsburg-Leverkusen,2021-08-28,15:30,Augsburg,1–4,Leverkusen,10582,WWK Arena,Benjamin Brand,/en/matches/c85d1dc1/Augsburg-Leverkusen-August-28-2021-Bundesliga
