league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
GER-Bundesliga,2425,2024-09-14 Wolfsburg-Eintracht Frankfurt,2024-09-14,15:30,Wolfsburg,1–2,Eintracht Frankfurt,26281,Volkswagen Arena,Harm Osmers,/en/matches/c0bc9354/Wolfsburg-Eintracht-Frankfurt-September-14-2024-Bundesliga
GER-Bundesliga,2425,2024-09-15 Augsburg-St Pauli,2024-09-15,15:30,Augsburg,3–1,St Pauli,30660,WWK Arena,Felix Zwayer,/en/matches/d0ee2c59/Augsburg-St-Pauli-September-15-2024-Bundesliga
GER-Bundesliga,2425,2024-09-15 Mainz 05-Werder Bremen,2024-09-15,17:30,Mainz 05,1–2,Werder Bremen,32000,Mewa Arena,Benjamin Brand,/en/matches/253ece9e/Mainz-05-Werder-Bremen-September-15-2024-Bundesliga
GER-Bundesliga,2425,2024-09-20 Augsburg-Mainz 05,2024-09-20,20:30,Augsburg,2–3,Mainz 05,28913,WWK Arena,Sören Storks,/en/matches/72461171/Augsburg-Mainz-05-September-20-2024-Bundesliga
GER-Bundesliga,2425,2024-09-21 Bochum-Holstein Kiel,2024-09-21,15:30,Bochum,2–2,Holstein Kiel,26000,Vonovia Ruhrstadion,Martin Petersen,/en/matches/b8e02820/Bochum-Holstein-Kiel-September-21-2024-Bundesliga
GER-Bundesliga,2425,2024-09-21 Eintracht Frankfurt-Gladbach,2024-09-21,18:30,Eintracht Frankfurt,2–0,Gladbach,58000,Deutsche Bank Park,Tobias Welz,/en/matches/71024b44/Eintracht-Frankfurt-Monchengladbach-September-21-2024-Bundesliga
GER-Bundesliga,2425,2024-09-21 Heidenheim-Freiburg,2024-09-21,15:30,Heidenheim,0–3,Freiburg,15000,Voith-Arena,Benjamin Brand,/en/matches/157d560f/Heidenheim-Freiburg-September-21-2024-Bundesliga
GER-Bundesliga,2425,2024-09-21 Union Berlin-Hoffenheim,2024-09-21,15:30,Union Berlin,2–1,Hoffenheim,21831,Stadion An der Alten Försterei,Matthias Jöllenbeck,/en/matches/204b5cf0/Union-Berlin-Hoffenheim-September-21-2024-Bundesliga
GER-Bundesliga,2425,2024-09-21 Werder Bremen-Bayern Munich,2024-09-21,15:30,Werder Bremen,0–5,Bayern Munich,42100,Weserstadion,Bastian Dankert,/en/matches/f4a4421c/Werder-Bremen-Bayern-Munich-September-21-2024-Bundesliga
GER-Bundesliga,2425,2024-09-22 Leverkusen-Wolfsburg,2024-09-22,15:30,Leverkusen,4–3,Wolfsburg,29250,BayArena,Sascha Stegemann,/en/matches/f247334b/Leverkusen-Wolfsburg-September-22-2024-Bundesliga
