league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
ITA-Serie A,2223,2022-08-13 Lecce-Inter,2022-08-13,20:45,Lecce,1–2,Inter,25353,Stadio Comunale Via Del Mare,Alessandro Prontera,/en/matches/6b610c5c/Lecce-Internazionale-August-13-2022-Serie-A
ITA-Serie A,2223,2022-08-13 Milan-Udinese,2022-08-13,18:30,Milan,4–2,Udinese,70197,Stadio Giuseppe Meazza,Livio Marinelli,/en/matches/bb758ef8/Milan-Udinese-August-13-2022-Serie-A
ITA-Serie A,2223,2022-08-13 Monza-Torino,2022-08-13,20:45,Monza,1–2,Torino,10739,U-Power Stadium,Maurizio Mariani,/en/matches/5f0a8b10/Monza-Torino-August-13-2022-Serie-A
ITA-Serie A,2223,2022-08-13 Sampdoria-Atalanta,2022-08-13,18:30,Sampdoria,0–2,Atalanta,20047,Stadio Comunale Luigi Ferraris,Federico Dionisi,/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A
ITA-Serie A,2223,2022-08-14 Fiorentina-Cremonese,2022-08-14,18:30,Fiorentina,3–2,Cremonese,34461,Stadio Artemio Franchi,Juan Sacchi,/en/matches/3ed8bdff/Fiorentina-Cremonese-August-14-2022-Serie-A
ITA-Serie A,2223,2022-08-14 Lazio-Bologna,2022-08-14,18:30,Lazio,2–1,Bologna,45000,Stadio Olimpico,Luca Massimi,/en/matches/c5003e68/Lazio-Bologna-August-14-2022-Serie-A
ITA-Serie A,2223,2022-08-14 Salernitana-Roma,2022-08-14,20:45,Salernitana,0–1,Roma,26006,Stadio Arechi,Simone Sozza,/en/matches/ff9838f3/Salernitana-Roma-August-14-2022-Serie-A
ITA-Serie A,2223,2022-08-14 Spezia-Empoli,2022-08-14,20:45,Spezia,1–0,Empoli,8360,Stadio Alberto Picco,Daniele Chiffi,/en/matches/26520b87/Spezia-Empoli-August-14-2022-Serie-A
ITA-Serie A,2223,2022-08-15 Hellas Verona-Napoli,2022-08-15,18:30,Hellas Verona,2–5,Napoli,16967,Stadio Marc'Antonio Bentegodi,Michael Fabbri,/en/matches/3e0bda8d/Hellas-Verona-Napoli-August-15-2022-Serie-A
ITA-Serie A,2223,2022-08-15 Juventus-Sassuolo,2022-08-15,20:45,Juventus,3–0,Sassuolo,38725,Allianz Stadium,Antonio Rapuano,/en/matches/59f4c84f/Juventus-Sassuolo-August-15-2022-Serie-A
ITA-Serie A,2223,2022-08-20 Inter-Spezia,2022-08-20,20:45,Inter,3–0,Spezia,71212,Stadio Giuseppe Meazza,Davide Ghersini,/en/matches/33ff40ce/Internazionale-Spezia-August-20-2022-Serie-A
