league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
GER-Bundesliga,2223,2022-08-05 Eintracht Frankfurt-Bayern Munich,2022-08-05,20:30,Eintracht Frankfurt,1–6,Bayern Munich,51500,Deutsche Bank Park,Deniz Aytekin,/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga
GER-Bundesliga,2223,2022-08-06 Augsburg-Freiburg,2022-08-06,15:30,Augsburg,0–4,Freiburg,25310,WWK Arena,Bastian Dankert,/en/matches/3c5c48d7/Augsburg-Freiburg-August-6-2022-Bundesliga
GER-Bundesliga,2223,2022-08-06 Bochum-Mainz 05,2022-08-06,15:30,Bochum,1–2,Mainz 05,24110,Vonovia Ruhrstadion,Felix Zwayer,/en/matches/b9e40750/Bochum-Mainz-05-August-6-2022-Bundesliga
GER-Bundesliga,2223,2022-08-06 Dortmund-Leverkusen,2022-08-06,18:30,Dortmund,1–0,Leverkusen,81365,Signal Iduna Park,Felix Brych,/en/matches/db9b4ee2/Dortmund-Leverkusen-August-6-2022-Bundesliga
GER-Bundesliga,2223,2022-08-06 Gladbach-Hoffenheim,2022-08-06,15:30,Gladbach,3–1,Hoffenheim,49659,Stadion im Borussia-Park,Daniel Siebert,/en/matches/aeed6604/Monchengladbach-Hoffenheim-August-6-2022-Bundesliga
GER-Bundesliga,2223,2022-08-06 Union Berlin-Hertha BSC,2022-08-06,15:30,Union Berlin,3–1,Hertha BSC,22012,Stadion An der Alten Försterei,Marco Fritz,/en/matches/58e704e1/Union-Berlin-Hertha-BSC-August-6-2022-Bundesliga
GER-Bundesliga,2223,2022-08-06 Wolfsburg-Werder Bremen,2022-08-06,15:30,Wolfsburg,2–2,Werder Bremen,28015,Volkswagen Arena,Sascha Stegemann,/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga
GER-Bundesliga,2223,2022-08-07 Köln-Schalke 04,2022-08-07,17:30,Köln,3–1,Schalke 04,50000,RheinEnergieSTADION,Robert Schröder,/en/matches/6ba18904/Koln-Schalke-04-August-7-2022-Bundesliga
GER-Bundesliga,2223,2022-08-07 Stuttgart-RB Leipzig,2022-08-07,15:30,Stuttgart,1–1,RB Leipzig,46000,Mercedes-Benz Arena,Tobias Stieler,/en/matches/d0ce6f1a/Stuttgart-RB-Leipzig-August-7-2022-Bundesliga
GER-Bundesliga,2223,2022-08-12 Freiburg-Dortmund,2022-08-12,20:30,Freiburg,1–3,Dortmund,34700,Europa-Park Stadion,Tobias Welz,/en/matches/ba444a3a/Freiburg-Dortmund-August-12-2022-Bundesliga
