league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
FRA-Ligue 1,2425,2024-08-16 Le Havre-Paris Saint-Germain,2024-08-16,20:45,Le Havre,1–4,Paris Saint-Germain,23167,Stade Océane,Willy Delajod,/en/matches/a6b98e33/Le-Havre-Paris-Saint-Germain-August-16-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-17 Brest-Marseille,2024-08-17,17:00,Brest,1–5,Marseille,14962,Stade Francis-Le Blé,Benoît Bastien,/en/matches/35c1995a/Brest-Marseille-August-17-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-17 Monaco-Saint-Étienne,2024-08-17,21:00,Monaco,1–0,Saint-Étienne,14250,Stade Louis II,Clément Turpin,/en/matches/f84bb85e/Monaco-Saint-Etienne-August-17-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-17 Reims-Lille,2024-08-17,19:00,Reims,0–2,Lille,14755,Stade Auguste-Delaune,Eric Wattellier,/en/matches/06aa495e/Reims-Lille-August-17-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-18 Angers-Lens,2024-08-18,17:00,Angers,0–1,Lens,14811,Stade Raymond Kopa,Thomas Léonard,/en/matches/cabadc94/Angers-Lens-August-18-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-18 Auxerre-Nice,2024-08-18,15:00,Auxerre,2–1,Nice,16354,Stade de l'Abbé Deschamps,Romain Lissorgue,/en/matches/18a24a50/Auxerre-Nice-August-18-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-18 Montpellier-Strasbourg,2024-08-18,17:00,Montpellier,1–1,Strasbourg,15706,Stade de la Mosson-Mondial 98,Mathieu Vernice,/en/matches/652abd24/Montpellier-Strasbourg-August-18-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-18 Rennes-Lyon,2024-08-18,20:45,Rennes,3–0,Lyon,26026,Roazhon Park,Benoît Millot,/en/matches/bc46a367/Rennes-Lyon-August-18-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-18 Toulouse-Nantes,2024-08-18,17:00,Toulouse,0–0,Nantes,25491,Stadium de Toulouse,Jeremy Stinat,/en/matches/67b3b54c/Toulouse-Nantes-August-18-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-23 Paris Saint-Germain-Montpellier,2024-08-23,20:45,Paris Saint-Germain,6–0,Montpellier,46000,Parc des Princes,Marc Bollengier,/en/matches/910be353/Paris-Saint-Germain-Montpellier-August-23-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-24 Lille-Angers,2024-08-24,19:00,Lille,2–0,Angers,36906,Decathlon Arena - Stade Pierre-Mauroy,Abdelatif Kherradji,/en/matches/70fdbb5a/Lille-Angers-August-24-2024-Ligue-1
