league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
ITA-Serie A,2324,2023-09-03 Empoli-Juventus,2023-09-03,20:45,Empoli,0–2,Juventus,15702,Stadio Carlo Castellani,Giovanni Ayroldi,/en/matches/b14694a6/Empoli-Juventus-September-3-2023-Serie-A
ITA-Serie A,2324,2023-09-03 Inter-Fiorentina,2023-09-03,18:30,Inter,4–0,Fiorentina,72739,Stadio Giuseppe Meazza,Matteo Marchetti,/en/matches/c59bb445/Internazionale-Fiorentina-September-3-2023-Serie-A
ITA-Serie A,2324,2023-09-03 Lecce-Salernitana,2023-09-03,20:45,Lecce,2–0,Salernitana,28052,Stadio Comunale Via Del Mare,Luca Massimi,/en/matches/79dc2417/Lecce-Salernitana-September-3-2023-Serie-A
ITA-Serie A,2324,2023-09-03 Torino-Genoa,2023-09-03,18:30,Torino,1–0,Genoa,24433,Stadio Olimpico di Torino,Daniele Chiffi,/en/matches/83d4ffcd/Torino-Genoa-September-3-2023-Serie-A
ITA-Serie A,2324,2023-09-16 Genoa-Napoli,2023-09-16,20:45,Genoa,2–2,Napoli,33275,Stadio Comunale Luigi Ferraris,Michael Fabbri,/en/matches/528f1128/Genoa-Napoli-September-16-2023-Serie-A
ITA-Serie A,2324,2023-09-16 Inter-Milan,2023-09-16,18:00,Inter,5–1,Milan,75571,Stadio Giuseppe Meazza,Simone Sozza,/en/matches/10a39d69/Derby-della-Madonnina-Internazionale-Milan-September-16-2023-Serie-A
ITA-Serie A,2324,2023-09-16 Juventus-Lazio,2023-09-16,15:00,Juventus,3–1,Lazio,40652,Allianz Stadium,Fabio Maresca,/en/matches/b3226234/Juventus-Lazio-September-16-2023-Serie-A
ITA-Serie A,2324,2023-09-17 Cagliari-Udinese,2023-09-17,12:30,Cagliari,0–0,Udinese,15121,Unipol Domus,Daniele Doveri,/en/matches/3ac89aa7/Cagliari-Udinese-September-17-2023-Serie-A
ITA-Serie A,2324,2023-09-17 Fiorentina-Atalanta,2023-09-17,18:00,Fiorentina,3–2,Atalanta,32100,Stadio Artemio Franchi,Luca Pairetto,/en/matches/2a18afe9/Fiorentina-Atalanta-September-17-2023-Serie-A
ITA-Serie A,2324,2023-09-17 Frosinone-Sassuolo,2023-09-17,15:00,Frosinone,4–2,Sassuolo,13133,Stadio Benito Stirpe,Alessandro Prontera,/en/matches/f3fd4b8a/Frosinone-Sassuolo-September-17-2023-Serie-A
ITA-Serie A,2324,2023-09-17 Monza-Lecce,2023-09-17,15:00,Monza,1–1,Lecce,13074,U-Power Stadium,Livio Marinelli,/en/matches/3cf257a0/Monza-Lecce-September-17-2023-Serie-A
ITA-Serie A,2324,2023-09-17 Roma-Empoli,2023-09-17,20:45,Roma,7–0,Empoli,61443,Stadio Olimpico,Juan Sacchi,/en/matches/f164bc78/Roma-Empoli-September-17-2023-Serie-A
ITA-Serie A,2324,2023-09-18 Hellas Verona-Bologna,2023-09-18,20:45,Hellas Verona,0–0,Bologna,18863,Stadio Marc'Antonio Bentegodi,Federico La Penna,/en/matches/2e114c4b/Hellas-Verona-Bologna-September-18-2023-Serie-A
ITA-Serie A,2324,2023-09-18 Salernitana-Torino,2023-09-18,18:30,Salernitana,0–3,Torino,15480,Stadio Arechi,Antonio Giua,/en/matches/a9334418/Salernitana-Torino-September-18-2023-Serie-A
ITA-Serie A,2324,2023-09-22 Lecce-Genoa,2023-09-22,20:45,Lecce,1–0,Genoa,27000,Stadio Comunale Via Del Mare,Antonio Rapuano,/en/matches/c66e200a/Lecce-Genoa-September-22-2023-Serie-A
ITA-Serie A,2324,2023-09-22 Salernitana-Frosinone,2023-09-22,18:30,Salernitana,1–1,Frosinone,16217,Stadio Arechi,Marco Piccinini,/en/matches/da7586b5/Salernitana-Frosinone-September-22-2023-Serie-A
ITA-Serie A,2324,2023-09-23 Lazio-Monza,2023-09-23,20:45,Lazio,1–1,Monza,36000,Stadio Olimpico,Rosario Abisso,/en/matches/5778b5c6/Lazio-Monza-September-23-2023-Serie-A
ITA-Serie A,2324,2023-09-23 Milan-Hellas Verona,2023-09-23,15:00,Milan,1–0,Hellas Verona,71070,Stadio Giuseppe Meazza,Fabio Maresca,/en/matches/bbc5eb68/Milan-Hellas-Verona-September-23-2023-Serie-A
ITA-Serie A,2324,2023-09-23 Sassuolo-Juventus,2023-09-23,18:00,Sassuolo,4–2,Juventus,20141,Mapei Stadium - Città del Tricolore,Andrea Colombo,/en/matches/14cf8fd1/Sassuolo-Juventus-September-23-2023-Serie-A
ITA-Serie A,2324,2023-09-24 Atalanta-Cagliari,2023-09-24,15:00,Atalanta,2–0,Cagliari,14739,Gewiss Stadium,Ermanno Feliciani,/en/matches/915c6bb6/Atalanta-Cagliari-September-24-2023-Serie-A
ITA-Serie A,2324,2023-09-24 Bologna-Napoli,2023-09-24,18:00,Bologna,0–0,Napoli,26621,Stadio Renato Dall'Ara,Giovanni Ayroldi,/en/matches/17137b70/Bologna-Napoli-September-24-2023-Serie-A
ITA-Serie A,2324,2023-09-24 Empoli-Inter,2023-09-24,12:30,Empoli,0–1,Inter,15651,Stadio Carlo Castellani,Matteo Marcenaro,/en/matches/8d6212de/Empoli-Internazionale-September-24-2023-Serie-A
ITA-Serie A,2324,2023-09-24 Torino-Roma,2023-09-24,20:45,Torino,1–1,Roma,23299,Stadio Olimpico di Torino,Marco Guida,/en/matches/fdd625ef/Torino-Roma-September-24-2023-Serie-A
ITA-Serie A,2324,2023-09-24 Udinese-Fiorentina,2023-09-24,15:00,Udinese,0–2,Fiorentina,21229,Bluenergy Stadium,Daniele Chiffi,/en/matches/a7ffc8e0/Udinese-Fiorentina-September-24-2023-Serie-A
ITA-Serie A,2324,2023-09-26 Juventus-Lecce,2023-09-26,20:45,Juventus,1–0,Lecce,37498,Allianz Stadium,Antonio Giua,/en/matches/eb1af48a/Juventus-Lecce-September-26-2023-Serie-A
ITA-Serie A,2324,2023-09-27 Cagliari-Milan,2023-09-27,18:30,Cagliari,1–3,Milan,16348,Unipol Domus,Federico La Penna,/en/matches/520c6833/Cagliari-Milan-September-27-2023-Serie-A
ITA-Serie A,2324,2023-09-27 Empoli-Salernitana,2023-09-27,18:30,Empoli,1–0,Salernitana,7979,Stadio Carlo Castellani,Antonio Rapuano,/en/matches/46a8983c/Empoli-Salernitana-September-27-2023-Serie-A
ITA-Serie A,2324,2023-09-27 Hellas Verona-Atalanta,2023-09-27,18:30,Hellas Verona,0–1,Atalanta,15936,Stadio Marc'Antonio Bentegodi,Federico Dionisi,/en/matches/3e492e66/Hellas-Verona-Atalanta-September-27-2023-Serie-A
ITA-Serie A,2324,2023-09-27 Inter-Sassuolo,2023-09-27,20:45,Inter,1–2,Sassuolo,70864,Stadio Giuseppe Meazza,Luca Massimi,/en/matches/e70ac4b1/Internazionale-Sassuolo-September-27-2023-Serie-A
ITA-Serie A,2324,2023-09-27 Lazio-Torino,2023-09-27,20:45,Lazio,2–0,Torino,35100,Stadio Olimpico,Michael Fabbri,/en/matches/69d105e3/Lazio-Torino-September-27-2023-Serie-A
ITA-Serie A,2324,2023-09-27 Napoli-Udinese,2023-09-27,20:45,Napoli,4–1,Udinese,45305,Stadio Diego Armando Maradona,Gianluca Manganiello,/en/matches/464aa9ae/Napoli-Udinese-September-27-2023-Serie-A
ITA-Serie A,2324,2023-09-28 Frosinone-Fiorentina,2023-09-28,18:30,Frosinone,1–1,Fiorentina,14755,Stadio Benito Stirpe,Francesco Fourneau,/en/matches/c8e4b03a/Frosinone-Fiorentina-September-28-2023-Serie-A
ITA-Serie A,2324,2023-09-28 Genoa-Roma,2023-09-28,20:45,Genoa,4–1,Roma,32961,Stadio Comunale Luigi Ferraris,Daniele Orsato,/en/matches/44c33847/Genoa-Roma-September-28-2023-Serie-A
ITA-Serie A,2324,2023-09-28 Monza-Bologna,2023-09-28,18:30,Monza,0–0,Bologna,8930,U-Power Stadium,Ivan Pezzuto,/en/matches/9a8e6c44/Monza-Bologna-September-28-2023-Serie-A
