league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
GER-Bundesliga,2324,2023-08-18 Werder Bremen-Bayern Munich,2023-08-18,20:30,Werder Bremen,0–4,Bayern Munich,42100,Wohninvest Weserstadion,Felix Zwayer,/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga
GER-Bundesliga,2324,2023-08-19 Augsburg-Gladbach,2023-08-19,15:30,Augsburg,4–4,Gladbach,30660,WWK Arena,Daniel Schlager,/en/matches/aac55b7f/Augsburg-Monchengladbach-August-19-2023-Bundesliga
GER-Bundesliga,2324,2023-08-19 Dortmund-Köln,2023-08-19,18:30,Dortmund,1–0,Köln,81365,Signal Iduna Park,Deniz Aytekin,/en/matches/c05c14ef/Dortmund-Koln-August-19-2023-Bundesliga
GER-Bundesliga,2324,2023-08-19 Hoffenheim-Freiburg,2023-08-19,15:30,Hoffenheim,1–2,Freiburg,25890,PreZero Arena,Sven Jablonski,/en/matches/d1a443e5/Hoffenheim-Freiburg-August-19-2023-Bundesliga
GER-Bundesliga,2324,2023-08-19 Leverkusen-RB Leipzig,2023-08-19,15:30,Leverkusen,3–2,RB Leipzig,29464,BayArena,Felix Brych,/en/matches/063d7b6b/Leverkusen-RB-Leipzig-August-19-2023-Bundesliga
GER-Bundesliga,2324,2023-08-19 Stuttgart-Bochum,2023-08-19,15:30,Stuttgart,5–0,Bochum,53000,MHPArena,Daniel Siebert,/en/matches/8fe3b615/Stuttgart-Bochum-August-19-2023-Bundesliga
GER-Bundesliga,2324,2023-08-19 Wolfsburg-Heidenheim,2023-08-19,15:30,Wolfsburg,2–0,Heidenheim,22620,Volkswagen Arena,Florian Badstübner,/en/matches/3b6337dc/Wolfsburg-Heidenheim-August-19-2023-Bundesliga
GER-Bundesliga,2324,2023-08-20 Eintracht Frankfurt-Darmstadt 98,2023-08-20,17:30,Eintracht Frankfurt,1–0,Darmstadt 98,54000,Deutsche Bank Park,Harm Osmers,/en/matches/60fc3feb/Eintracht-Frankfurt-Darmstadt-98-August-20-2023-Bundesliga
GER-Bundesliga,2324,2023-08-20 Union Berlin-Mainz 05,2023-08-20,15:30,Union Berlin,4–1,Mainz 05,22012,Stadion An der Alten Försterei,Tobias Stieler,/en/matches/d6f1201f/Union-Berlin-Mainz-05-August-20-2023-Bundesliga
GER-Bundesliga,2324,2023-08-25 RB Leipzig-Stuttgart,2023-08-25,20:30,RB Leipzig,5–1,Stuttgart,46084,Red Bull Arena,Frank Willenborg,/en/matches/195113d1/RB-Leipzig-Stuttgart-August-25-2023-Bundesliga
GER-Bundesliga,2324,2023-08-26 Bochum-Dortmund,2023-08-26,15:30,Bochum,1–1,Dortmund,26000,Vonovia Ruhrstadion,Robert Schröder,/en/matches/02deea82/Bochum-Dortmund-August-26-2023-Bundesliga
GER-Bundesliga,2324,2023-08-26 Darmstadt 98-Union Berlin,2023-08-26,15:30,Darmstadt 98,1–4,Union Berlin,17810,Merck-Stadion am Böllenfalltor,Patrick Ittrich,/en/matches/0fb64fd7/Darmstadt-98-Union-Berlin-August-26-2023-Bundesliga
GER-Bundesliga,2324,2023-08-26 Freiburg-Werder Bremen,2023-08-26,15:30,Freiburg,1–0,Werder Bremen,34700,Europa-Park Stadion,Benjamin Brand,/en/matches/4ffd6c40/Freiburg-Werder-Bremen-August-26-2023-Bundesliga
GER-Bundesliga,2324,2023-08-26 Gladbach-Leverkusen,2023-08-26,18:30,Gladbach,0–3,Leverkusen,54042,Stadion im Borussia-Park,Christian Dingert,/en/matches/3f7b87b9/Monchengladbach-Leverkusen-August-26-2023-Bundesliga
GER-Bundesliga,2324,2023-08-26 Heidenheim-Hoffenheim,2023-08-26,15:30,Heidenheim,2–3,Hoffenheim,15000,Voith-Arena,Robert Hartmann,/en/matches/95224afe/Heidenheim-Hoffenheim-August-26-2023-Bundesliga
GER-Bundesliga,2324,2023-08-26 Köln-Wolfsburg,2023-08-26,15:30,Köln,1–2,Wolfsburg,49500,RheinEnergieSTADION,Matthias Jöllenbeck,/en/matches/6ce17247/Koln-Wolfsburg-August-26-2023-Bundesliga
GER-Bundesliga,2324,2023-08-27 Bayern Munich-Augsburg,2023-08-27,17:30,Bayern Munich,3–1,Augsburg,75000,Allianz Arena,Daniel Siebert,/en/matches/f32bb54f/Bayern-Munich-Augsburg-August-27-2023-Bundesliga
GER-Bundesliga,2324,2023-08-27 Mainz 05-Eintracht Frankfurt,2023-08-27,15:30,Mainz 05,1–1,Eintracht Frankfurt,33305,Mewa Arena,Bastian Dankert,/en/matches/53e372dd/Mainz-05-Eintracht-Frankfurt-August-27-2023-Bundesliga
GER-Bundesliga,2324,2023-09-01 Dortmund-Heidenheim,2023-09-01,20:30,Dortmund,2–2,Heidenheim,81365,Signal Iduna Park,Tobias Reichel,/en/matches/6533d274/Dortmund-Heidenheim-September-1-2023-Bundesliga
GER-Bundesliga,2324,2023-09-02 Augsburg-Bochum,2023-09-02,15:30,Augsburg,2–2,Bochum,27424,WWK Arena,Martin Petersen,/en/matches/c8ab18c8/Augsburg-Bochum-September-2-2023-Bundesliga
GER-Bundesliga,2324,2023-09-02 Gladbach-Bayern Munich,2023-09-02,18:30,Gladbach,1–2,Bayern Munich,54042,Stadion im Borussia-Park,Deniz Aytekin,/en/matches/ffd6fa2f/Monchengladbach-Bayern-Munich-September-2-2023-Bundesliga
GER-Bundesliga,2324,2023-09-02 Hoffenheim-Wolfsburg,2023-09-02,15:30,Hoffenheim,3–1,Wolfsburg,17500,PreZero Arena,Felix Zwayer,/en/matches/10204eb8/Hoffenheim-Wolfsburg-September-2-2023-Bundesliga
GER-Bundesliga,2324,2023-09-02 Leverkusen-Darmstadt 98,2023-09-02,15:30,Leverkusen,5–1,Darmstadt 98,29653,BayArena,Sven Jablonski,/en/matches/949b0917/Leverkusen-Darmstadt-98-September-2-2023-Bundesliga
GER-Bundesliga,2324,2023-09-02 Stuttgart-Freiburg,2023-09-02,15:30,Stuttgart,5–0,Freiburg,54300,MHPArena,Felix Brych,/en/matches/fdd85186/Stuttgart-Freiburg-September-2-2023-Bundesliga
GER-Bundesliga,2324,2023-09-02 Werder Bremen-Mainz 05,2023-09-02,15:30,Werder Bremen,4–0,Mainz 05,41000,Wohninvest Weserstadion,Robert Schröder,/en/matches/0f06a162/Werder-Bremen-Mainz-05-September-2-2023-Bundesliga
GER-Bundesliga,2324,2023-09-03 Eintracht Frankfurt-Köln,2023-09-03,15:30,Eintracht Frankfurt,1–1,Köln,54000,Deutsche Bank Park,Florian Badstübner,/en/matches/3a3dcb35/Eintracht-Frankfurt-Koln-September-3-2023-Bundesliga
GER-Bundesliga,2324,2023-09-03 Union Berlin-RB Leipzig,2023-09-03,17:30,Union Berlin,0–3,RB Leipzig,22012,Stadion An der Alten Försterei,Daniel Schlager,/en/matches/7df62594/Union-Berlin-RB-Leipzig-September-3-2023-Bundesliga
GER-Bundesliga,2324,2023-09-15 Bayern Munich-Leverkusen,2023-09-15,20:30,Bayern Munich,2–2,Leverkusen,75000,Allianz Arena,Daniel Schlager,/en/matches/d6d922d0/Bayern-Munich-Leverkusen-September-15-2023-Bundesliga
GER-Bundesliga,2324,2023-09-16 Bochum-Eintracht Frankfurt,2023-09-16,18:30,Bochum,1–1,Eintracht Frankfurt,26000,Vonovia Ruhrstadion,Benjamin Brand,/en/matches/fffdfc41/Bochum-Eintracht-Frankfurt-September-16-2023-Bundesliga
GER-Bundesliga,2324,2023-09-16 Freiburg-Dortmund,2023-09-16,15:30,Freiburg,2–4,Dortmund,34700,Europa-Park Stadion,Tobias Stieler,/en/matches/363f8d87/Freiburg-Dortmund-September-16-2023-Bundesliga
GER-Bundesliga,2324,2023-09-16 Köln-Hoffenheim,2023-09-16,15:30,Köln,1–3,Hoffenheim,49300,RheinEnergieSTADION,Daniel Siebert,/en/matches/d121d2fe/Koln-Hoffenheim-September-16-2023-Bundesliga
GER-Bundesliga,2324,2023-09-16 Mainz 05-Stuttgart,2023-09-16,15:30,Mainz 05,1–3,Stuttgart,30500,Mewa Arena,Harm Osmers,/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga
GER-Bundesliga,2324,2023-09-16 RB Leipzig-Augsburg,2023-09-16,15:30,RB Leipzig,3–0,Augsburg,44746,Red Bull Arena,Sascha Stegemann,/en/matches/f3b2aa39/RB-Leipzig-Augsburg-September-16-2023-Bundesliga
GER-Bundesliga,2324,2023-09-16 Wolfsburg-Union Berlin,2023-09-16,15:30,Wolfsburg,2–1,Union Berlin,21917,Volkswagen Arena,Felix Brych,/en/matches/140f5fb4/Wolfsburg-Union-Berlin-September-16-2023-Bundesliga
GER-Bundesliga,2324,2023-09-17 Darmstadt 98-Gladbach,2023-09-17,17:30,Darmstadt 98,3–3,Gladbach,17810,Merck-Stadion am Böllenfalltor,Timo Gerach,/en/matches/d58f8b35/Darmstadt-98-Monchengladbach-September-17-2023-Bundesliga
GER-Bundesliga,2324,2023-09-17 Heidenheim-Werder Bremen,2023-09-17,15:30,Heidenheim,4–2,Werder Bremen,15000,Voith-Arena,Patrick Ittrich,/en/matches/2185c7f5/Heidenheim-Werder-Bremen-September-17-2023-Bundesliga
GER-Bundesliga,2324,2023-09-22 Stuttgart-Darmstadt 98,2023-09-22,20:30,Stuttgart,3–1,Darmstadt 98,54000,MHPArena,Matthias Jöllenbeck,/en/matches/9cc13e55/Stuttgart-Darmstadt-98-September-22-2023-Bundesliga
GER-Bundesliga,2324,2023-09-23 Augsburg-Mainz 05,2023-09-23,15:30,Augsburg,2–1,Mainz 05,27310,WWK Arena,Marco Fritz,/en/matches/6ac8a673/Augsburg-Mainz-05-September-23-2023-Bundesliga
GER-Bundesliga,2324,2023-09-23 Bayern Munich-Bochum,2023-09-23,15:30,Bayern Munich,7–0,Bochum,75000,Allianz Arena,Robert Hartmann,/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga
GER-Bundesliga,2324,2023-09-23 Dortmund-Wolfsburg,2023-09-23,15:30,Dortmund,1–0,Wolfsburg,81365,Signal Iduna Park,Sven Jablonski,/en/matches/ba296db6/Dortmund-Wolfsburg-September-23-2023-Bundesliga
GER-Bundesliga,2324,2023-09-23 Gladbach-RB Leipzig,2023-09-23,15:30,Gladbach,0–1,RB Leipzig,50122,Stadion im Borussia-Park,Robert Schröder,/en/matches/e0aca9dc/Monchengladbach-RB-Leipzig-September-23-2023-Bundesliga
GER-Bundesliga,2324,2023-09-23 Union Berlin-Hoffenheim,2023-09-23,15:30,Union Berlin,0–2,Hoffenheim,20000,Stadion An der Alten Försterei,Deniz Aytekin,/en/matches/3c776110/Union-Berlin-Hoffenheim-September-23-2023-Bundesliga
GER-Bundesliga,2324,2023-09-23 Werder Bremen-Köln,2023-09-23,18:30,Werder Bremen,2–1,Köln,42100,Wohninvest Weserstadion,Bastian Dankert,/en/matches/b15270e1/Werder-Bremen-Koln-September-23-2023-Bundesliga
GER-Bundesliga,2324,2023-09-24 Eintracht Frankfurt-Freiburg,2023-09-24,17:30,Eintracht Frankfurt,0–0,Freiburg,55800,Deutsche Bank Park,Felix Zwayer,/en/matches/04b49830/Eintracht-Frankfurt-Freiburg-September-24-2023-Bundesliga
GER-Bundesliga,2324,2023-09-24 Leverkusen-Heidenheim,2023-09-24,15:30,Leverkusen,4–1,Heidenheim,29557,BayArena,Christian Dingert,/en/matches/68a63295/Leverkusen-Heidenheim-September-24-2023-Bundesliga
