league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
ITA-Serie A,2425,2024-08-17 Empoli-Monza,2024-08-17,20:45,Empoli,0–0,Monza,7746,Stadio Carlo Castellani - Computer Gross...,Michael Fabbri,/en/matches/e1942888/Empoli-Monza-August-17-2024-Serie-A
ITA-Serie A,2425,2024-08-17 Genoa-Inter,2024-08-17,18:30,Genoa,2–2,Inter,33300,Stadio Comunale Luigi Ferraris,Ermanno Feliciani,/en/matches/5dd9a8ae/Genoa-Internazionale-August-17-2024-Serie-A
ITA-Serie A,2425,2024-08-17 Milan-Torino,2024-08-17,20:45,Milan,2–2,Torino,70742,Stadio Giuseppe Meazza,Fabio Maresca,/en/matches/6321e075/Milan-Torino-August-17-2024-Serie-A
ITA-Serie A,2425,2024-08-17 Parma-Fiorentina,2024-08-17,18:30,Parma,1–1,Fiorentina,21384,Stadio Ennio Tardini,Giovanni Ayroldi,/en/matches/99186416/Parma-Fiorentina-August-17-2024-Serie-A
ITA-Serie A,2425,2024-08-18 Bologna-Udinese,2024-08-18,18:30,Bologna,1–1,Udinese,26418,Stadio Renato Dall'Ara,Maria Sole Ferrieri Caputi,/en/matches/a538d1ae/Bologna-Udinese-August-18-2024-Serie-A
ITA-Serie A,2425,2024-08-18 Cagliari-Roma,2024-08-18,20:45,Cagliari,0–0,Roma,16261,Unipol Domus,Livio Marinelli,/en/matches/8314db9d/Cagliari-Roma-August-18-2024-Serie-A
ITA-Serie A,2425,2024-08-18 Hellas Verona-Napoli,2024-08-18,18:30,Hellas Verona,3–0,Napoli,20027,Stadio Marc'Antonio Bentegodi,Matteo Marchetti,/en/matches/6a1d7fbe/Hellas-Verona-Napoli-August-18-2024-Serie-A
ITA-Serie A,2425,2024-08-18 Lazio-Venezia,2024-08-18,20:45,Lazio,3–1,Venezia,42000,Stadio Olimpico,Paride Tremolada,/en/matches/8c25dfec/Lazio-Venezia-August-18-2024-Serie-A
ITA-Serie A,2425,2024-08-19 Juventus-Como,2024-08-19,20:45,Juventus,3–0,Como,40696,Allianz Stadium,Matteo Marcenaro,/en/matches/888690a6/Juventus-Como-August-19-2024-Serie-A
ITA-Serie A,2425,2024-08-19 Lecce-Atalanta,2024-08-19,18:30,Lecce,0–4,Atalanta,28719,Stadio Comunale Ettore Giardiniero,Davide Massa,/en/matches/5b248995/Lecce-Atalanta-August-19-2024-Serie-A
