league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
FRA-Ligue 1,2223,2022-08-21 Rennes-Ajaccio,2022-08-21,17:05,Rennes,2–1,Ajaccio,27592,Roazhon Park,Hakim Ben El Hadj Salem,/en/matches/9befca9a/Rennes-Ajaccio-August-21-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-21 Strasbourg-Reims,2022-08-21,13:00,Strasbourg,1–1,Reims,25175,Stade de la Meinau,Ruddy Buquet,/en/matches/be90ec61/Strasbourg-Reims-August-21-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-21 Toulouse-Lorient,2022-08-21,15:00,Toulouse,2–2,Lorient,23862,Stadium Municipal,Gustavo Correia,/en/matches/8fd476c8/Toulouse-Lorient-August-21-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-26 Ajaccio-Lille,2022-08-26,21:00,Ajaccio,1–3,Lille,9070,Stade François Coty,Thomas Léonard,/en/matches/d8aa49d4/Ajaccio-Lille-August-26-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-27 Auxerre-Strasbourg,2022-08-27,17:00,Auxerre,1–0,Strasbourg,16059,Stade de l'Abbé Deschamps,Johan Hamel,/en/matches/0bd45b22/Auxerre-Strasbourg-August-27-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-27 Lens-Rennes,2022-08-27,21:00,Lens,2–1,Rennes,37848,Stade Bollaert-Delelis,Jérôme Brisard,/en/matches/a46ef768/Lens-Rennes-August-27-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-28 Brest-Montpellier,2022-08-28,15:00,Brest,0–7,Montpellier,11546,Stade Francis-Le Blé,Marc Bollengier,/en/matches/1c7d2241/Brest-Montpellier-August-28-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-28 Lorient-Clermont Foot,2022-08-28,15:00,Lorient,2–1,Clermont Foot,10591,Stade du Moustoir,Willy Delajod,/en/matches/04e1e416/Lorient-Clermont-Foot-August-28-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-28 Nantes-Toulouse,2022-08-28,13:00,Nantes,3–1,Toulouse,26574,Stade de la Beaujoire - Louis Fonteneau,Mathieu Vernice,/en/matches/211a8d64/Nantes-Toulouse-August-28-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-28 Nice-Marseille,2022-08-28,15:00,Nice,0–3,Marseille,31418,Stade de Nice,François Letexier,/en/matches/89258f8f/Nice-Marseille-August-28-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-28 Paris Saint-Germain-Monaco,2022-08-28,20:45,Paris Saint-Germain,1–1,Monaco,46000,Parc des Princes,Benoît Bastien,/en/matches/6113a2a2/Paris-Saint-Germain-Monaco-August-28-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-28 Reims-Lyon,2022-08-28,17:05,Reims,1–1,Lyon,14930,Stade Auguste-Delaune,Jeremy Stinat,/en/matches/daa723a9/Reims-Lyon-August-28-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-28 Troyes-Angers,2022-08-28,15:00,Troyes,3–1,Angers,6673,Stade de l'Aube,Stéphanie Frappart,/en/matches/ccccf547/Troyes-Angers-August-28-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-31 Angers-Reims,2022-08-31,19:00,Angers,2–4,Reims,6500,Stade Raymond Kopa,Jérémie Pignard,/en/matches/d94a7d75/Angers-Reims-August-31-2022-Ligue-1
