league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,2021-08-06,21:00,Monaco,1–1,Nantes,7500,Stade Louis II,Antony Gautier,/en/matches/5a71bd1f/Monaco-Nantes-August-6-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-07 Lyon-Brest,2021-08-07,17:00,Lyon,1–1,Brest,29018,Groupama Stadium,Mikael Lesage,/en/matches/22f9fbae/Lyon-Brest-August-7-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-07 Troyes-Paris Saint-Germain,2021-08-07,21:00,Troyes,1–2,Paris Saint-Germain,15248,Stade de l'Aube,Amaury Delerue,/en/matches/081fcc93/Troyes-Paris-Saint-Germain-August-7-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-08 Bordeaux-Clermont Foot,2021-08-08,15:00,Bordeaux,0–2,Clermont Foot,18748,Stade Matmut-Atlantique,Florent Batta,/en/matches/3bd58e2c/Bordeaux-Clermont-Foot-August-8-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-08 Metz-Lille,2021-08-08,17:00,Metz,3–3,Lille,15551,Stade Saint-Symphorien,Eric Wattellier,/en/matches/95922902/Metz-Lille-August-8-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-08 Montpellier-Marseille,2021-08-08,20:45,Montpellier,2–3,Marseille,13500,Stade de la Mosson,Jérémie Pignard,/en/matches/2aa88717/Montpellier-Marseille-August-8-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-08 Nice-Reims,2021-08-08,15:00,Nice,0–0,Reims,18030,Stade de Nice,Johan Hamel,/en/matches/ed6f883d/Nice-Reims-August-8-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-08 Rennes-Lens,2021-08-08,13:00,Rennes,1–1,Lens,22567,Roazhon Park,Bastien Dechepy,/en/matches/efa9bd32/Rennes-Lens-August-8-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-08 Saint-Étienne-Lorient,2021-08-08,15:00,Saint-Étienne,1–1,Lorient,20461,Stade Geoffroy-Guichard,Thomas Léonard,/en/matches/ffb00ebc/Saint-Etienne-Lorient-August-8-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-08 Strasbourg-Angers,2021-08-08,15:00,Strasbourg,0–2,Angers,23250,Stade de la Meinau,Jeremy Stinat,/en/matches/d5c51de9/Strasbourg-Angers-August-8-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-13 Lorient-Monaco,2021-08-13,21:00,Lorient,1–0,Monaco,12149,Stade du Moustoir,Hakim Ben El Hadj Salem,/en/matches/6fa57b43/Lorient-Monaco-August-13-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-14 Lille-Nice,2021-08-14,17:00,Lille,0–4,Nice,30144,Stade Pierre-Mauroy,Jérôme Brisard,/en/matches/61344945/Lille-Nice-August-14-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-14 Paris Saint-Germain-Strasbourg,2021-08-14,21:00,Paris Saint-Germain,4–2,Strasbourg,46962,Parc des Princes,Willy Delajod,/en/matches/f49163bf/Paris-Saint-Germain-Strasbourg-August-14-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-15 Angers-Lyon,2021-08-15,13:00,Angers,3–0,Lyon,6154,Stade Raymond Kopa,Clément Turpin,/en/matches/90346ee2/Angers-Lyon-August-15-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-15 Brest-Rennes,2021-08-15,15:00,Brest,1–1,Rennes,14271,Stade Francis-Le Blé,Benoît Bastien,/en/matches/9f9b393f/Brest-Rennes-August-15-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-15 Clermont Foot-Troyes,2021-08-15,15:00,Clermont Foot,2–0,Troyes,11005,Stade Gabriel Montpied,Romain Lissorgue,/en/matches/1d01bf2a/Clermont-Foot-Troyes-August-15-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-15 Lens-Saint-Étienne,2021-08-15,17:00,Lens,2–2,Saint-Étienne,35541,Stade Bollaert-Delelis,Amaury Delerue,/en/matches/3143e787/Lens-Saint-Etienne-August-15-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-15 Marseille-Bordeaux,2021-08-15,20:45,Marseille,2–2,Bordeaux,50000,Orange Vélodrome,Ruddy Buquet,/en/matches/552186af/Marseille-Bordeaux-August-15-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-15 Nantes-Metz,2021-08-15,15:00,Nantes,2–0,Metz,12054,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,/en/matches/a7086303/Nantes-Metz-August-15-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-15 Reims-Montpellier,2021-08-15,15:00,Reims,3–3,Montpellier,8887,Stade Auguste-Delaune,Jeremy Stinat,/en/matches/f16c06c7/Reims-Montpellier-August-15-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-20 Brest-Paris Saint-Germain,2021-08-20,21:00,Brest,2–4,Paris Saint-Germain,14586,Stade Francis-Le Blé,Eric Wattellier,/en/matches/4f44b84a/Brest-Paris-Saint-Germain-August-20-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-21 Monaco-Lens,2021-08-21,17:00,Monaco,0–2,Lens,6483,Stade Louis II,Jérémie Pignard,/en/matches/1cff74e1/Monaco-Lens-August-21-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-21 Saint-Étienne-Lille,2021-08-21,21:00,Saint-Étienne,1–1,Lille,20673,Stade Geoffroy-Guichard,Mikael Lesage,/en/matches/0be209c9/Saint-Etienne-Lille-August-21-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-22 Bordeaux-Angers,2021-08-22,15:00,Bordeaux,1–1,Angers,18281,Stade Matmut-Atlantique,Pierre Gaillouste,/en/matches/c738e7e8/Bordeaux-Angers-August-22-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-22 Lyon-Clermont Foot,2021-08-22,13:00,Lyon,3–3,Clermont Foot,34713,Groupama Stadium,Thomas Léonard,/en/matches/6cf6252f/Lyon-Clermont-Foot-August-22-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-22 Metz-Reims,2021-08-22,15:00,Metz,1–1,Reims,14799,Stade Saint-Symphorien,Florent Batta,/en/matches/8a48654f/Metz-Reims-August-22-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-22 Montpellier-Lorient,2021-08-22,15:00,Montpellier,3–1,Lorient,6527,Stade de la Mosson,Bastien Dechepy,/en/matches/8f1d58b5/Montpellier-Lorient-August-22-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-22 Rennes-Nantes,2021-08-22,17:00,Rennes,1–0,Nantes,27569,Roazhon Park,Stéphanie Frappart,/en/matches/07e663ba/Rennes-Nantes-August-22-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-22 Strasbourg-Troyes,2021-08-22,15:00,Strasbourg,1–1,Troyes,22185,Stade de la Meinau,Jérôme Brisard,/en/matches/52adf64e/Strasbourg-Troyes-August-22-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-27 Nantes-Lyon,2021-08-27,21:00,Nantes,0–1,Lyon,23177,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,/en/matches/3215e7eb/Nantes-Lyon-August-27-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-28 Marseille-Saint-Étienne,2021-08-28,21:00,Marseille,3–1,Saint-Étienne,55039,Orange Vélodrome,Benoît Millot,/en/matches/35ab15f5/Marseille-Saint-Etienne-August-28-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-28 Nice-Bordeaux,2021-08-28,17:00,Nice,4–0,Bordeaux,,Stade de Nice,Jérémie Pignard,/en/matches/b43eb4eb/Nice-Bordeaux-August-28-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-29 Angers-Rennes,2021-08-29,15:00,Angers,2–0,Rennes,6473,Stade Raymond Kopa,Antony Gautier,/en/matches/36a6ccd9/Angers-Rennes-August-29-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-29 Clermont Foot-Metz,2021-08-29,15:00,Clermont Foot,2–2,Metz,11274,Stade Gabriel Montpied,Hakim Ben El Hadj Salem,/en/matches/77e3fedd/Clermont-Foot-Metz-August-29-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-29 Lens-Lorient,2021-08-29,15:00,Lens,2–2,Lorient,35029,Stade Bollaert-Delelis,Willy Delajod,/en/matches/65d88a74/Lens-Lorient-August-29-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-29 Lille-Montpellier,2021-08-29,17:00,Lille,2–1,Montpellier,28859,Stade Pierre-Mauroy,Amaury Delerue,/en/matches/2c5d987b/Lille-Montpellier-August-29-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-29 Reims-Paris Saint-Germain,2021-08-29,20:45,Reims,0–2,Paris Saint-Germain,20525,Stade Auguste-Delaune,François Letexier,/en/matches/c7e820e1/Reims-Paris-Saint-Germain-August-29-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-29 Strasbourg-Brest,2021-08-29,15:00,Strasbourg,3–1,Brest,22341,Stade de la Meinau,Romain Lissorgue,/en/matches/1a1bbbcb/Strasbourg-Brest-August-29-2021-Ligue-1
FRA-Ligue 1,2122,2021-08-29 Troyes-Monaco,2021-08-29,13:00,Troyes,1–2,Monaco,9866,Stade de l'Aube,Johan Hamel,/en/matches/fb82404e/Troyes-Monaco-August-29-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-10 Lorient-Lille,2021-09-10,21:00,Lorient,2–1,Lille,10271,Stade du Moustoir,Clément Turpin,/en/matches/93c6e3ef/Lorient-Lille-September-10-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-11 Monaco-Marseille,2021-09-11,21:00,Monaco,0–2,Marseille,8615,Stade Louis II,Stéphanie Frappart,/en/matches/ea1d5dc3/Monaco-Marseille-September-11-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-11 Paris Saint-Germain-Clermont Foot,2021-09-11,17:00,Paris Saint-Germain,4–0,Clermont Foot,47329,Parc des Princes,Mikael Lesage,/en/matches/c736ceaf/Paris-Saint-Germain-Clermont-Foot-September-11-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-12 Bordeaux-Lens,2021-09-12,15:00,Bordeaux,2–3,Lens,19763,Stade Matmut-Atlantique,Luís Godinho,/en/matches/985dfc7d/Bordeaux-Lens-September-12-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-12 Brest-Angers,2021-09-12,15:00,Brest,1–1,Angers,10982,Stade Francis-Le Blé,Jeremy Stinat,/en/matches/b526eae6/Brest-Angers-September-12-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-12 Lyon-Strasbourg,2021-09-12,20:45,Lyon,3–1,Strasbourg,33267,Groupama Stadium,Ruddy Buquet,/en/matches/aae0c87a/Lyon-Strasbourg-September-12-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-12 Metz-Troyes,2021-09-12,15:00,Metz,0–2,Troyes,15269,Stade Saint-Symphorien,Pierre Gaillouste,/en/matches/d32536c5/Metz-Troyes-September-12-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-12 Montpellier-Saint-Étienne,2021-09-12,13:00,Montpellier,2–0,Saint-Étienne,10402,Stade de la Mosson,Benoît Bastien,/en/matches/85dc6801/Montpellier-Saint-Etienne-September-12-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-12 Nantes-Nice,2021-09-12,17:00,Nantes,0–2,Nice,14597,Stade de la Beaujoire - Louis Fonteneau,Benoît Millot,/en/matches/3b874209/Nantes-Nice-September-12-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-12 Rennes-Reims,2021-09-12,15:00,Rennes,0–2,Reims,24486,Roazhon Park,Thomas Léonard,/en/matches/5daca06a/Rennes-Reims-September-12-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-17 Strasbourg-Metz,2021-09-17,21:00,Strasbourg,3–0,Metz,25437,Stade de la Meinau,Eric Wattellier,/en/matches/80a77175/Strasbourg-Metz-September-17-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-18 Lens-Lille,2021-09-18,17:00,Lens,1–0,Lille,36512,Stade Bollaert-Delelis,Benoît Millot,/en/matches/2cbdb5a0/Lens-Lille-September-18-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-18 Saint-Étienne-Bordeaux,2021-09-18,21:00,Saint-Étienne,1–2,Bordeaux,23869,Stade Geoffroy-Guichard,Antony Gautier,/en/matches/aa237faf/Saint-Etienne-Bordeaux-September-18-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-19 Angers-Nantes,2021-09-19,15:00,Angers,1–4,Nantes,9046,Stade Raymond Kopa,Amaury Delerue,/en/matches/cd8fca3e/Angers-Nantes-September-19-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-19 Clermont Foot-Brest,2021-09-19,15:00,Clermont Foot,1–1,Brest,11224,Stade Gabriel Montpied,Bastien Dechepy,/en/matches/7d34920d/Clermont-Foot-Brest-September-19-2021-Ligue-1
FRA-Ligue 1,2122,2021-09-19 Marseille-Rennes,2021-09-19,17:00,Marseille,2–0,Rennes,54188,Orange Vélodrome,Willy Delajod,/en/matches/5f984a37/Marseille-Rennes-September-19-2021-Ligue-1
