Jugador,Equipo,Liga,Temporada,Posicion,Goles,Asistencias,Tarjetas_Amarillas,Tarjetas_Rojas
Aaron Ramsdale,Arsenal,ENG-Premier League,2223,Portero,0,0,1,0
Albert Sambi Lokonga,Arsenal,ENG-Premier League,2223,Centrocampista / Suplente,0,0,2,0
Ben White,Arsenal,ENG-Premier League,2223,Defensa / Suplente,2,5,5,0
Bukayo Saka,Arsenal,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,14,11,6,0
Cédric Soares,Arsenal,ENG-Premier League,2223,Defensa / Suplente,0,0,0,0
Eddie Nketiah,Arsenal,ENG-Premier League,2223,Delantero / Suplente,4,1,3,0
Emile Smith-Rowe,Arsenal,ENG-Premier League,2223,Suplente,0,2,0,0
Ethan Nwaneri,Arsenal,ENG-Premier League,2223,Suplente,0,0,0,0
Fábio Vieira,Arsenal,ENG-Premier League,2223,Centrocampista / Suplente,1,2,0,0
Gabriel,Arsenal,ENG-Premier League,2223,Defensa,3,0,5,0
Gabriel Jesus,Arsenal,ENG-Premier League,2223,Delantero / Suplente,11,6,6,0
Gabriel Martinelli,Arsenal,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,15,5,3,0
Granit Xhaka,Arsenal,ENG-Premier League,2223,Centrocampista / Suplente,7,7,4,0
Jakub Kiwior,Arsenal,ENG-Premier League,2223,Defensa / Suplente,1,0,0,0
Jorginho,Arsenal,ENG-Premier League,2223,Centrocampista / Suplente,2,1,4,0
Kieran Tierney,Arsenal,ENG-Premier League,2223,Defensa / Suplente,0,1,0,0
Leandro Trossard,Arsenal,ENG-Premier League,2223,Defensa / Delantero / Centrocampista / Suplente,8,12,1,0
Marquinhos,Arsenal,ENG-Premier League,2223,Suplente,0,0,0,0
Martin Odegaard,Arsenal,ENG-Premier League,2223,Centrocampista,15,7,4,0
Mohamed Elneny,Arsenal,ENG-Premier League,2223,Centrocampista / Suplente,0,0,0,0
Oleksandr Zinchenko,Arsenal,ENG-Premier League,2223,Defensa / Suplente,1,2,3,0
Reiss Nelson,Arsenal,ENG-Premier League,2223,Suplente,3,2,0,0
Rob Holding,Arsenal,ENG-Premier League,2223,Defensa / Suplente,1,0,0,0
Takehiro Tomiyasu,Arsenal,ENG-Premier League,2223,Defensa / Suplente,0,1,2,0
Thomas Partey,Arsenal,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,3,0,5,0
William Saliba,Arsenal,ENG-Premier League,2223,Defensa,2,1,4,0
Ashley Young,Aston Villa,ENG-Premier League,2223,Defensa / Suplente,1,0,7,0
Bertrand Traoré,Aston Villa,ENG-Premier League,2223,Centrocampista / Suplente,2,0,1,0
Boubacar Kamara,Aston Villa,ENG-Premier League,2223,Centrocampista / Suplente,0,1,4,0
Calum Chambers,Aston Villa,ENG-Premier League,2223,Defensa / Suplente,0,0,2,0
Cameron Archer,Aston Villa,ENG-Premier League,2223,Suplente,0,0,0,0
Danny Ings,Aston Villa,ENG-Premier League,2223,Delantero / Suplente,8,2,4,0
Diego Carlos,Aston Villa,ENG-Premier League,2223,Defensa / Suplente,0,0,0,0
Douglas Luiz,Aston Villa,ENG-Premier League,2223,Centrocampista / Suplente,6,6,6,1
Emiliano Buendía,Aston Villa,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,5,2,0,0
Emiliano Martinez,Aston Villa,ENG-Premier League,2223,Portero,0,0,7,0
Ezri Konsa Ngoyo,Aston Villa,ENG-Premier League,2223,Defensa / Suplente,0,0,6,0
Jacob Ramsey,Aston Villa,ENG-Premier League,2223,Centrocampista / Suplente,6,7,5,0
Jan Bednarek,Aston Villa,ENG-Premier League,2223,Defensa / Suplente,0,0,5,0
Jhon Durán,Aston Villa,ENG-Premier League,2223,Suplente,0,0,1,0
John McGinn,Aston Villa,ENG-Premier League,2223,Centrocampista / Suplente,1,3,7,0
Leander Dendoncker,Aston Villa,ENG-Premier League,2223,Centrocampista / Suplente,0,0,0,0
Leon Bailey,Aston Villa,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,4,4,4,0
Lucas Digne,Aston Villa,ENG-Premier League,2223,Defensa / Suplente,1,0,5,0
Ludwig Augustinsson,Aston Villa,ENG-Premier League,2223,Defensa / Suplente,0,0,1,0
Matthew Cash,Aston Villa,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,0,1,4,0
Morgan Sanson,Aston Villa,ENG-Premier League,2223,Suplente,0,0,0,0
Ollie Watkins,Aston Villa,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,15,6,4,0
Philippe Coutinho,Aston Villa,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,1,0,3,0
Robin Olsen,Aston Villa,ENG-Premier League,2223,Portero / Suplente,0,0,0,0
Tyrone Mings,Aston Villa,ENG-Premier League,2223,Defensa,1,2,7,0
Álex Moreno,Aston Villa,ENG-Premier League,2223,Defensa / Suplente,0,3,3,0
Adam Smith,Bournemouth,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,0,1,11,0
Antoine Semenyo,Bournemouth,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,1,0,0,0
