Jugador,Equipo,Liga,Temporada,Posicion,Goles,Asistencias,Tarjetas_Amarillas,Tarjetas_Rojas
Aaron Ramsdale,Arsenal,ENG-Premier League,2324,Portero,0,0,0,0
Ben White,Arsenal,ENG-Premier League,2324,Defensa / Suplente,4,4,8,0
Bukayo Saka,Arsenal,ENG-Premier League,2324,Delantero,16,8,4,0
Cédric Soares,Arsenal,ENG-Premier League,2324,Suplente,0,0,0,0
David Raya,Arsenal,ENG-Premier League,2324,Portero,0,0,2,0
Declan Rice,Arsenal,ENG-Premier League,2324,Centrocampista / Suplente,7,8,5,0
Eddie Nketiah,Arsenal,ENG-Premier League,2324,Delantero / Suplente,5,2,3,0
Emile Smith-Rowe,Arsenal,ENG-Premier League,2324,Centrocampista / Suplente,0,1,0,0
Ethan Nwaneri,Arsenal,ENG-Premier League,2324,Suplente,0,0,0,0
Fábio Vieira,Arsenal,ENG-Premier League,2324,Centrocampista / Suplente,1,2,0,1
Gabriel,Arsenal,ENG-Premier League,2324,Defensa / Suplente,3,0,4,0
Gabriel Jesus,Arsenal,ENG-Premier League,2324,Delantero / Suplente,4,5,6,0
Gabriel Martinelli,Arsenal,ENG-Premier League,2324,Delantero / Suplente,6,4,1,0
Jakub Kiwior,Arsenal,ENG-Premier League,2324,Defensa / Suplente,1,3,1,0
Jorginho,Arsenal,ENG-Premier League,2324,Centrocampista / Suplente,0,2,1,0
Jurriën Timber,Arsenal,ENG-Premier League,2324,Defensa / Suplente,0,0,2,0
Kai Havertz,Arsenal,ENG-Premier League,2324,Delantero / Centrocampista / Suplente,13,7,11,0
Leandro Trossard,Arsenal,ENG-Premier League,2324,Delantero / Centrocampista / Suplente,12,1,2,0
Martin Odegaard,Arsenal,ENG-Premier League,2324,Centrocampista,8,10,2,0
Mohamed Elneny,Arsenal,ENG-Premier League,2324,Suplente,0,0,0,0
Oleksandr Zinchenko,Arsenal,ENG-Premier League,2324,Defensa / Suplente,1,2,2,0
Reiss Nelson,Arsenal,ENG-Premier League,2324,Delantero / Suplente,0,0,1,0
Takehiro Tomiyasu,Arsenal,ENG-Premier League,2324,Defensa / Suplente,2,1,0,1
Thomas Partey,Arsenal,ENG-Premier League,2324,Defensa / Centrocampista / Suplente,0,0,3,0
William Saliba,Arsenal,ENG-Premier League,2324,Defensa,2,1,4,0
Bertrand Traoré,Aston Villa,ENG-Premier League,2324,Suplente,0,0,0,0
Boubacar Kamara,Aston Villa,ENG-Premier League,2324,Centrocampista,0,1,7,1
Calum Chambers,Aston Villa,ENG-Premier League,2324,Centrocampista / Suplente,0,1,1,0
Cameron Archer,Aston Villa,ENG-Premier League,2324,Delantero / Centrocampista / Suplente,4,1,2,0
Clement Lenglet,Aston Villa,ENG-Premier League,2324,Defensa,0,1,3,0
Diego Carlos,Aston Villa,ENG-Premier League,2324,Defensa / Suplente,0,0,4,0
Douglas Luiz,Aston Villa,ENG-Premier League,2324,Centrocampista,9,5,12,0
Emiliano Martinez,Aston Villa,ENG-Premier League,2324,Portero,0,0,4,0
Ezri Konsa Ngoyo,Aston Villa,ENG-Premier League,2324,Defensa,1,0,5,0
Finley Munroe,Aston Villa,ENG-Premier League,2324,Suplente,0,0,0,0
Jacob Ramsey,Aston Villa,ENG-Premier League,2324,Centrocampista / Suplente,1,1,2,0
Jaden Philogene-Bidace,Aston Villa,ENG-Premier League,2324,Suplente,0,0,0,0
Jhon Durán,Aston Villa,ENG-Premier League,2324,Delantero / Suplente,5,0,5,0
John McGinn,Aston Villa,ENG-Premier League,2324,Centrocampista,6,4,9,1
Kaine Hayden,Aston Villa,ENG-Premier League,2324,Suplente,0,0,0,0
Leander Dendoncker,Aston Villa,ENG-Premier League,2324,Centrocampista / Suplente,1,0,0,0
Leon Bailey,Aston Villa,ENG-Premier League,2324,Delantero / Centrocampista / Suplente,10,9,5,0
Lucas Digne,Aston Villa,ENG-Premier League,2324,Defensa / Suplente,1,3,7,0
Matthew Cash,Aston Villa,ENG-Premier League,2324,Defensa / Centrocampista / Suplente,2,2,8,0
Morgan Rogers,Aston Villa,ENG-Premier League,2324,Centrocampista / Suplente,3,1,3,0
Moussa Diaby,Aston Villa,ENG-Premier League,2324,Delantero / Centrocampista / Suplente,6,8,1,0
Nicolo Zaniolo,Aston Villa,ENG-Premier League,2324,Delantero / Centrocampista / Suplente,2,0,7,0
Ollie Watkins,Aston Villa,ENG-Premier League,2324,Delantero,19,13,4,0
Omari Kellyman,Aston Villa,ENG-Premier League,2324,Suplente,0,0,0,0
Pau Torres,Aston Villa,ENG-Premier League,2324,Defensa / Suplente,2,0,1,0
Philippe Coutinho,Aston Villa,ENG-Premier League,2324,Suplente,0,0,0,0
Robin Olsen,Aston Villa,ENG-Premier League,2324,Portero / Suplente,0,0,0,0
Tim Iroegbunam,Aston Villa,ENG-Premier League,2324,Centrocampista / Suplente,0,0,0,0
Tyrone Mings,Aston Villa,ENG-Premier League,2324,Defensa,0,0,0,0
Youri Tielemans,Aston Villa,ENG-Premier League,2324,Delantero / Centrocampista / Suplente,2,6,3,0
Álex Moreno,Aston Villa,ENG-Premier League,2324,Defensa / Suplente,2,0,2,0
Adam Smith,Bournemouth,ENG-Premier League,2324,Defensa / Suplente,0,2,6,0
Alex Scott,Bournemouth,ENG-Premier League,2324,Centrocampista / Suplente,1,1,3,0
Antoine Semenyo,Bournemouth,ENG-Premier League,2324,Centrocampista / Suplente,8,2,7,0
Chris Mepham,Bournemouth,ENG-Premier League,2324,Defensa / Suplente,0,1,2,0
Dango Ouattara,Bournemouth,ENG-Premier League,2324,Defensa / Delantero / Centrocampista / Suplente,1,2,3,0
David Brooks,Bournemouth,ENG-Premier League,2324,Centrocampista / Suplente,1,1,1,0
Dominic Sadi,Bournemouth,ENG-Premier League,2324,Suplente,0,0,0,0
Dominic Solanke,Bournemouth,ENG-Premier League,2324,Delantero / Suplente,19,3,3,0
Enes Ünal,Bournemouth,ENG-Premier League,2324,Delantero / Suplente,2,2,1,0
Hamed Junior Traore,Bournemouth,ENG-Premier League,2324,Suplente,0,0,0,0
Illia Zabarnyi,Bournemouth,ENG-Premier League,2324,Defensa,1,0,5,0
Ionut Radu,Bournemouth,ENG-Premier League,2324,Portero,0,0,0,0
Jaidon Anthony,Bournemouth,ENG-Premier League,2324,Centrocampista / Suplente,0,0,1,0
James Hill,Bournemouth,ENG-Premier League,2324,Defensa / Suplente,0,0,0,0
Joe Rothwell,Bournemouth,ENG-Premier League,2324,Centrocampista / Suplente,0,0,0,0
