Jugador,Equipo,Liga,Temporada,Posicion,Goles,Asistencias,Tarjetas_Amarillas,Tarjetas_Rojas
Gary Cahill,Crystal Palace,ENG-Premier League,2021,Defensa,1,1,3,0
Jack Butland,Crystal Palace,ENG-Premier League,2021,Portero,0,0,0,0
Jairo Riedewald,Crystal Palace,ENG-Premier League,2021,Centrocampista / Suplente,2,0,4,0
James McArthur,Crystal Palace,ENG-Premier League,2021,Centrocampista / Suplente,0,2,3,0
James McCarthy,Crystal Palace,ENG-Premier League,2021,Centrocampista / Suplente,0,0,1,0
James Tomkins,Crystal Palace,ENG-Premier League,2021,Defensa / Suplente,0,0,1,0
Jean-Philippe Mateta,Crystal Palace,ENG-Premier League,2021,Delantero / Suplente,1,0,0,0
Jeffrey Schlupp,Crystal Palace,ENG-Premier League,2021,Centrocampista / Suplente,2,3,3,0
Joel Ward,Crystal Palace,ENG-Premier League,2021,Defensa / Suplente,0,1,5,0
Jordan Ayew,Crystal Palace,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,1,3,4,0
Luka Milivojevic,Crystal Palace,ENG-Premier League,2021,Centrocampista / Suplente,1,1,8,1
Mamadou Sakho,Crystal Palace,ENG-Premier League,2021,Defensa / Suplente,0,0,0,0
Martin Kelly,Crystal Palace,ENG-Premier League,2021,Suplente,0,0,0,0
Michy Batshuayi,Crystal Palace,ENG-Premier League,2021,Delantero / Suplente,2,1,0,0
Nathaniel Clyne,Crystal Palace,ENG-Premier League,2021,Defensa,0,1,2,0
Patrick van Aanholt,Crystal Palace,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,1,2,0
Scott Dann,Crystal Palace,ENG-Premier League,2021,Defensa,1,0,1,0
Tyrick Mitchell,Crystal Palace,ENG-Premier League,2021,Defensa,1,1,1,0
Vicente Guaita,Crystal Palace,ENG-Premier League,2021,Portero,0,0,2,0
Wilfried Zaha,Crystal Palace,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,11,2,6,0
Abdoulaye Doucouré,Everton,ENG-Premier League,2021,Centrocampista,2,3,6,0
Alex Iwobi,Everton,ENG-Premier League,2021,Defensa / Delantero / Centrocampista / Suplente,1,2,0,0
Allan,Everton,ENG-Premier League,2021,Centrocampista / Suplente,0,0,6,0
André Gomes,Everton,ENG-Premier League,2021,Centrocampista / Suplente,0,1,3,0
Anthony Gordon,Everton,ENG-Premier League,2021,Centrocampista / Suplente,0,0,0,0
Ben Godfrey,Everton,ENG-Premier League,2021,Defensa / Suplente,0,2,4,0
Bernard,Everton,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,1,0,2,0
Cenk Tosun,Everton,ENG-Premier League,2021,Suplente,0,0,2,0
Dominic Calvert-Lewin,Everton,ENG-Premier League,2021,Delantero / Suplente,16,0,3,0
Fabian Delph,Everton,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,0,1,0
Gylfi Sigurdsson,Everton,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,6,5,2,0
James Rodríguez,Everton,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,6,4,4,0
Jean-Philippe Gbamin,Everton,ENG-Premier League,2021,Suplente,0,0,0,0
Jonjoe Kenny,Everton,ENG-Premier League,2021,Defensa / Suplente,0,0,0,0
Jordan Pickford,Everton,ENG-Premier League,2021,Portero,0,0,1,0
Joshua King,Everton,ENG-Premier League,2021,Suplente,0,0,0,0
João Virgínia,Everton,ENG-Premier League,2021,Suplente,0,0,0,0
Lucas Digne,Everton,ENG-Premier League,2021,Defensa / Centrocampista,0,7,2,1
Mason Holgate,Everton,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,1,0,9,0
Michael Keane,Everton,ENG-Premier League,2021,Defensa / Suplente,3,1,4,0
Moise Kean,Everton,ENG-Premier League,2021,Suplente,0,0,0,0
Nathan Broadhead,Everton,ENG-Premier League,2021,Suplente,0,0,0,0
Niels Nkounkou,Everton,ENG-Premier League,2021,Defensa / Suplente,0,0,1,0
Richarlison,Everton,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,7,3,4,1
Robin Olsen,Everton,ENG-Premier League,2021,Portero,0,0,1,0
Seamus Coleman,Everton,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,3,0,0
Theo Walcott,Everton,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,3,3,0,0
Tom Davies,Everton,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,1,3,0
Yerry Mina,Everton,ENG-Premier League,2021,Defensa / Suplente,2,0,2,0
Aboubakar Kamara,Fulham,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,0,0,1,1
Ademola Lookman,Fulham,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,4,4,5,0
Aleksandar Mitrovic,Fulham,ENG-Premier League,2021,Delantero / Suplente,3,3,3,0
Alphonse Areola,Fulham,ENG-Premier League,2021,Portero,0,0,2,0
Antonee Robinson,Fulham,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,0,4,1
Bobby Reid,Fulham,ENG-Premier League,2021,Defensa / Delantero / Centrocampista / Suplente,5,2,7,0
Denis Odoi,Fulham,ENG-Premier League,2021,Defensa,0,0,1,0
Fabio Carvalho,Fulham,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,1,0,0,0
Franck Zambo,Fulham,ENG-Premier League,2021,Centrocampista / Suplente,0,3,6,0
Harrison Reed,Fulham,ENG-Premier League,2021,Centrocampista / Suplente,0,2,5,0
Ivan Cavaleiro,Fulham,ENG-Premier League,2021,Defensa / Delantero / Centrocampista / Suplente,3,0,2,0
Joachim Andersen,Fulham,ENG-Premier League,2021,Defensa / Suplente,1,1,7,1
Joe Bryan,Fulham,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,1,0,2,0
Josh Maja,Fulham,ENG-Premier League,2021,Delantero / Suplente,3,0,0,0
Josh Onomah,Fulham,ENG-Premier League,2021,Centrocampista / Suplente,0,0,1,0
Kenny Tete,Fulham,ENG-Premier League,2021,Defensa / Suplente,0,1,3,0
Marek Rodák,Fulham,ENG-Premier League,2021,Portero,0,0,0,0
Mario Lemina,Fulham,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,1,0,5,0
Maxime Le Marchand,Fulham,ENG-Premier League,2021,Defensa / Suplente,0,0,2,0
Michael Hector,Fulham,ENG-Premier League,2021,Defensa / Suplente,0,0,2,0
Neeskens Kebano,Fulham,ENG-Premier League,2021,Centrocampista / Suplente,0,0,0,0
Ola Aina,Fulham,ENG-Premier League,2021,Defensa / Centrocampista,2,1,3,0
Terence Kongolo,Fulham,ENG-Premier League,2021,Defensa,0,0,0,0
Tim Ream,Fulham,ENG-Premier League,2021,Defensa,0,0,0,0
Tom Cairney,Fulham,ENG-Premier League,2021,Centrocampista / Suplente,1,1,2,0
Tosin Adarabioyo,Fulham,ENG-Premier League,2021,Defensa,0,0,1,0
Tyrese Francois,Fulham,ENG-Premier League,2021,Suplente,0,0,0,0
Diego Llorente,Leeds,ENG-Premier League,2021,Defensa / Suplente,1,0,1,0
Ezgjan Alioski,Leeds,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,2,3,7,0
Gaetano Berardi,Leeds,ENG-Premier League,2021,Defensa / Suplente,0,0,0,0
Hélder Costa,Leeds,ENG-Premier League,2021,Centrocampista / Suplente,3,3,0,0
Ian Poveda-Ocampo,Leeds,ENG-Premier League,2021,Suplente,0,0,0,0
Illan Meslier,Leeds,ENG-Premier League,2021,Portero,0,0,0,0
Jack Harrison,Leeds,ENG-Premier League,2021,Centrocampista / Suplente,8,8,2,0
Jamie Shackleton,Leeds,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,0,0,0
Kalvin Phillips,Leeds,ENG-Premier League,2021,Centrocampista / Suplente,1,2,10,0
Kiko Casilla,Leeds,ENG-Premier League,2021,Portero,0,0,0,0
Leif Davis,Leeds,ENG-Premier League,2021,Suplente,0,0,0,0
Liam Cooper,Leeds,ENG-Premier League,2021,Defensa,1,0,4,1
Luke Ayling,Leeds,ENG-Premier League,2021,Defensa / Centrocampista,0,0,7,0
Mateusz Klich,Leeds,ENG-Premier League,2021,Centrocampista / Suplente,4,5,6,0
Niall Huggins,Leeds,ENG-Premier League,2021,Suplente,0,0,0,0
Pablo Hernández,Leeds,ENG-Premier League,2021,Centrocampista / Suplente,0,2,1,0
Pascal Struijk,Leeds,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,1,0,3,0
Patrick Bamford,Leeds,ENG-Premier League,2021,Delantero / Suplente,17,7,3,0
Raphinha,Leeds,ENG-Premier League,2021,Centrocampista / Suplente,6,9,3,0
Robin Koch,Leeds,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,0,1,0
Rodrigo,Leeds,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,7,2,3,0
Stuart Dallas,Leeds,ENG-Premier League,2021,Defensa / Centrocampista,8,2,7,0
Tyler Roberts,Leeds,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,1,2,3,0
Ayoze Pérez,Leicester,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,2,1,2,0
Caglar Söyüncü,Leicester,ENG-Premier League,2021,Defensa / Suplente,1,0,2,0
Cengiz Ünder,Leicester,ENG-Premier League,2021,Centrocampista / Suplente,0,2,0,0
Christian Fuchs,Leicester,ENG-Premier League,2021,Defensa / Suplente,0,0,4,0
Daniel Amartey,Leicester,ENG-Premier League,2021,Defensa / Suplente,1,0,2,0
Demarai Gray,Leicester,ENG-Premier League,2021,Suplente,0,0,0,0
Dennis Praet,Leicester,ENG-Premier League,2021,Centrocampista / Suplente,1,1,0,0
Hamza Choudhury,Leicester,ENG-Premier League,2021,Centrocampista / Suplente,0,0,1,0
Harvey Barnes,Leicester,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,9,4,0,0
Islam Slimani,Leicester,ENG-Premier League,2021,Suplente,0,0,0,0
James Justin,Leicester,ENG-Premier League,2021,Defensa,2,1,4,0
James Maddison,Leicester,ENG-Premier League,2021,Centrocampista / Suplente,8,5,4,0
Jamie Vardy,Leicester,ENG-Premier League,2021,Delantero / Suplente,15,9,1,0
Jonny Evans,Leicester,ENG-Premier League,2021,Defensa,2,2,7,0
Kasper Schmeichel,Leicester,ENG-Premier League,2021,Portero,0,0,0,0
Kelechi Iheanacho,Leicester,ENG-Premier League,2021,Delantero / Suplente,12,2,1,0
Luke Thomas,Leicester,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,1,0,2,0
Marc Albrighton,Leicester,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,1,5,2,0
Nampalys Mendy,Leicester,ENG-Premier League,2021,Centrocampista / Suplente,0,1,5,0
Ricardo Pereira,Leicester,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,1,3,0
Sidnei Tavares,Leicester,ENG-Premier League,2021,Centrocampista / Suplente,0,0,0,0
Thakgalo Leshabela,Leicester,ENG-Premier League,2021,Suplente,0,0,0,0
Timothy Castagne,Leicester,ENG-Premier League,2021,Defensa / Centrocampista,2,3,1,0
Wes Morgan,Leicester,ENG-Premier League,2021,Suplente,0,0,0,0
Wesley Fofana,Leicester,ENG-Premier League,2021,Defensa / Suplente,0,0,7,0
Wilfred Ndidi,Leicester,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,1,4,6,0
Youri Tielemans,Leicester,ENG-Premier League,2021,Centrocampista / Suplente,6,4,6,0
Adrián,Liverpool,ENG-Premier League,2021,Portero,0,0,0,0
Alex Oxlade-Chamberlain,Liverpool,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,1,1,0,0
Alisson,Liverpool,ENG-Premier League,2021,Portero,1,0,1,0
Andrew Robertson,Liverpool,ENG-Premier League,2021,Defensa,1,7,2,0
Caoimhin Kelleher,Liverpool,ENG-Premier League,2021,Portero,0,0,0,0
Curtis Jones,Liverpool,ENG-Premier League,2021,Centrocampista / Suplente,1,2,2,0
Diogo Jota,Liverpool,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,9,0,2,0
Divock Origi,Liverpool,ENG-Premier League,2021,Delantero / Suplente,0,0,0,0
Fabinho,Liverpool,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,0,6,0
Georginio Wijnaldum,Liverpool,ENG-Premier League,2021,Centrocampista / Suplente,2,0,1,0
James Milner,Liverpool,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,1,3,0
Joel Matip,Liverpool,ENG-Premier League,2021,Defensa / Suplente,1,2,2,0
Jordan Henderson,Liverpool,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,1,1,0,0
Joseph Gomez,Liverpool,ENG-Premier League,2021,Defensa / Suplente,0,0,0,0
Konstantinos Tsimikas,Liverpool,ENG-Premier League,2021,Suplente,0,0,0,0
Mohamed Salah,Liverpool,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,22,5,0,0
Naby Keita,Liverpool,ENG-Premier League,2021,Centrocampista / Suplente,0,0,1,0
Nathaniel Phillips,Liverpool,ENG-Premier League,2021,Defensa / Suplente,1,1,2,0
Neco Williams,Liverpool,ENG-Premier League,2021,Defensa / Suplente,0,0,1,0
Ozan Kabak,Liverpool,ENG-Premier League,2021,Defensa,0,0,3,0
Rhys Williams,Liverpool,ENG-Premier League,2021,Defensa / Suplente,0,0,0,0
Roberto Firmino,Liverpool,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,9,7,2,0
Sadio Mané,Liverpool,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,11,7,3,0
Takumi Minamino,Liverpool,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,3,0,1,0
Thiago Alcántara,Liverpool,ENG-Premier League,2021,Centrocampista / Suplente,1,0,4,0
Trent Alexander-Arnold,Liverpool,ENG-Premier League,2021,Defensa / Suplente,2,7,2,0
Virgil van Dijk,Liverpool,ENG-Premier League,2021,Defensa,1,0,1,0
Xherdan Shaqiri,Liverpool,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,0,2,2,0
Aymeric Laporte,Manchester City,ENG-Premier League,2021,Defensa / Suplente,0,0,1,0
Benjamin Mendy,Manchester City,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,2,1,2,0
Bernardo Silva,Manchester City,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,2,6,5,0
Ederson,Manchester City,ENG-Premier League,2021,Portero,0,1,3,0
Eric Garcia,Manchester City,ENG-Premier League,2021,Defensa / Suplente,0,0,0,0
Fernandinho,Manchester City,ENG-Premier League,2021,Centrocampista / Suplente,0,2,6,0
Ferrán Torres,Manchester City,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,7,2,1,0
Gabriel Jesus,Manchester City,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,9,4,2,0
Ilkay Gündogan,Manchester City,ENG-Premier League,2021,Centrocampista / Suplente,13,2,1,0
John Stones,Manchester City,ENG-Premier League,2021,Defensa,4,0,0,1
João Cancelo,Manchester City,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,2,3,5,1
Kevin De Bruyne,Manchester City,ENG-Premier League,2021,Centrocampista / Suplente,6,12,1,0
Kyle Walker,Manchester City,ENG-Premier League,2021,Defensa / Suplente,1,1,1,0
Liam Delap,Manchester City,ENG-Premier League,2021,Suplente,0,0,0,0
Nathan Aké,Manchester City,ENG-Premier League,2021,Defensa / Suplente,1,0,4,0
Oleksandr Zinchenko,Manchester City,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,0,0,0
