Jugador,Equipo,Liga,Temporada,Posicion,Goles,Asistencias,Tarjetas_Amarillas,Tarjetas_Rojas
Ainsley Maitland-Niles,Arsenal,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,0,2,0
Alexandre Lacazette,Arsenal,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,13,2,3,0
Bernd Leno,Arsenal,ENG-Premier League,2021,Portero,0,0,0,1
Bukayo Saka,Arsenal,ENG-Premier League,2021,Defensa / Delantero / Centrocampista / Suplente,5,3,1,0
Calum Chambers,Arsenal,ENG-Premier League,2021,Defensa / Suplente,0,2,0,0
Cédric Soares,Arsenal,ENG-Premier League,2021,Defensa / Suplente,0,1,1,0
Dani Ceballos,Arsenal,ENG-Premier League,2021,Centrocampista / Suplente,0,3,4,0
David Luiz,Arsenal,ENG-Premier League,2021,Defensa / Suplente,1,0,1,1
Eddie Nketiah,Arsenal,ENG-Premier League,2021,Delantero / Suplente,2,1,0,0
Emile Smith-Rowe,Arsenal,ENG-Premier League,2021,Centrocampista / Suplente,2,4,0,0
Gabriel,Arsenal,ENG-Premier League,2021,Defensa / Suplente,2,0,2,1
Gabriel Martinelli,Arsenal,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,2,1,0,0
Granit Xhaka,Arsenal,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,1,2,7,1
Héctor Bellerín,Arsenal,ENG-Premier League,2021,Defensa / Suplente,1,2,8,0
Joe Willock,Arsenal,ENG-Premier League,2021,Centrocampista / Suplente,8,0,1,0
Kieran Tierney,Arsenal,ENG-Premier League,2021,Defensa / Suplente,1,3,4,0
Martin Odegaard,Arsenal,ENG-Premier League,2021,Centrocampista / Suplente,1,2,0,0
Mat Ryan,Arsenal,ENG-Premier League,2021,Portero,0,0,1,0
Mohamed Elneny,Arsenal,ENG-Premier League,2021,Centrocampista / Suplente,1,0,3,0
Nicolas Pepe,Arsenal,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,10,1,1,1
Pablo Marí,Arsenal,ENG-Premier League,2021,Defensa,0,0,2,0
Pierre-Emerick Aubameyang,Arsenal,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,10,3,2,0
Reiss Nelson,Arsenal,ENG-Premier League,2021,Suplente,0,0,0,0
Rob Holding,Arsenal,ENG-Premier League,2021,Defensa / Suplente,0,1,2,0
Rúnar Alex Rúnarsson,Arsenal,ENG-Premier League,2021,Suplente,0,0,0,0
Sead Kolasinac,Arsenal,ENG-Premier League,2021,Defensa,0,0,0,0
Shkodran Mustafi,Arsenal,ENG-Premier League,2021,Suplente,0,0,0,0
Thomas Partey,Arsenal,ENG-Premier League,2021,Centrocampista / Suplente,0,2,5,0
Willian,Arsenal,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,1,5,0,0
Ahmed Elmohamady,Aston Villa,ENG-Premier League,2021,Defensa / Suplente,0,0,2,0
Anwar El Ghazi,Aston Villa,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,10,0,2,0
Bertrand Traoré,Aston Villa,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,7,6,1,0
Carney Chukwuemeka,Aston Villa,ENG-Premier League,2021,Suplente,0,0,0,0
Conor Hourihane,Aston Villa,ENG-Premier League,2021,Centrocampista / Suplente,1,1,0,0
Douglas Luiz,Aston Villa,ENG-Premier League,2021,Centrocampista / Suplente,0,2,8,1
Emiliano Martinez,Aston Villa,ENG-Premier League,2021,Portero,0,0,1,0
Ezri Konsa Ngoyo,Aston Villa,ENG-Premier League,2021,Defensa / Suplente,2,0,3,0
Jack Grealish,Aston Villa,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,6,10,5,0
Jacob Ramsey,Aston Villa,ENG-Premier League,2021,Centrocampista / Suplente,0,0,0,0
Jaden Philogene-Bidace,Aston Villa,ENG-Premier League,2021,Suplente,0,0,0,0
John McGinn,Aston Villa,ENG-Premier League,2021,Centrocampista,3,5,12,0
Keinan Davis,Aston Villa,ENG-Premier League,2021,Delantero / Suplente,1,1,0,0
Kortney Hause,Aston Villa,ENG-Premier League,2021,Defensa,1,0,2,0
Marvelous Nakamba,Aston Villa,ENG-Premier League,2021,Centrocampista / Suplente,0,0,3,0
Matt Targett,Aston Villa,ENG-Premier League,2021,Defensa,0,2,7,0
Matthew Cash,Aston Villa,ENG-Premier League,2021,Defensa,0,2,6,1
Morgan Sanson,Aston Villa,ENG-Premier League,2021,Centrocampista / Suplente,0,0,3,0
Neil Taylor,Aston Villa,ENG-Premier League,2021,Suplente,0,0,1,0
Ollie Watkins,Aston Villa,ENG-Premier League,2021,Delantero,14,5,2,1
Ross Barkley,Aston Villa,ENG-Premier League,2021,Centrocampista / Suplente,3,1,0,0
Trézéguet,Aston Villa,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,2,1,0,0
Tyrone Mings,Aston Villa,ENG-Premier League,2021,Defensa,2,2,4,1
Wesley,Aston Villa,ENG-Premier League,2021,Suplente,0,0,0,0
Aaron Connolly,Brighton,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,2,1,0,0
Adam Lallana,Brighton,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,1,1,0,0
Adam Webster,Brighton,ENG-Premier League,2021,Defensa,1,0,4,0
Alexis Mac Allister,Brighton,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,1,1,1,0
Alireza Jahanbakhsh,Brighton,ENG-Premier League,2021,Defensa / Delantero / Centrocampista / Suplente,0,1,3,0
Andi Zeqiri,Brighton,ENG-Premier League,2021,Suplente,0,0,0,0
Ben White,Brighton,ENG-Premier League,2021,Defensa / Centrocampista,0,0,3,1
Bernardo,Brighton,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,0,0,0
Dan Burn,Brighton,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,1,0,5,0
Danny Welbeck,Brighton,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,6,1,0,0
Davy Pröpper,Brighton,ENG-Premier League,2021,Centrocampista / Suplente,0,0,0,0
Jakub Moder,Brighton,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,0,0,0
Jayson Molumby,Brighton,ENG-Premier League,2021,Suplente,0,0,0,0
José Izquierdo,Brighton,ENG-Premier League,2021,Suplente,0,0,0,0
Joël Veltman,Brighton,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,1,1,3,0
Leandro Trossard,Brighton,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,5,5,2,0
Lewis Dunk,Brighton,ENG-Premier League,2021,Defensa,5,0,5,2
Neal Maupay,Brighton,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,8,2,1,1
Pascal Groß,Brighton,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,3,8,3,0
Percy Tau,Brighton,ENG-Premier League,2021,Centrocampista / Suplente,0,1,0,0
Reda Khadra,Brighton,ENG-Premier League,2021,Suplente,0,0,0,0
Robert Sánchez,Brighton,ENG-Premier League,2021,Portero,0,0,2,0
Solly March,Brighton,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,2,1,0,0
Steven Alzate,Brighton,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,1,0,2,0
Tariq Lamptey,Brighton,ENG-Premier League,2021,Defensa / Centrocampista,1,1,2,1
Yves Bissouma,Brighton,ENG-Premier League,2021,Centrocampista / Suplente,1,0,8,1
Ashley Barnes,Burnley,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,3,0,4,0
Ashley Westwood,Burnley,ENG-Premier League,2021,Centrocampista,3,3,7,0
Bailey Peacock-Farrell,Burnley,ENG-Premier League,2021,Portero,0,0,0,0
Ben Mee,Burnley,ENG-Premier League,2021,Defensa,2,0,3,0
Charlie Taylor,Burnley,ENG-Premier League,2021,Defensa / Suplente,0,1,1,0
Chris Wood,Burnley,ENG-Premier League,2021,Delantero / Suplente,12,3,0,0
Dale Stephens,Burnley,ENG-Premier League,2021,Centrocampista / Suplente,0,0,1,0
Dwight McNeil,Burnley,ENG-Premier League,2021,Centrocampista / Suplente,2,5,1,0
Erik Pieters,Burnley,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,0,1,1,0
Jack Cork,Burnley,ENG-Premier League,2021,Centrocampista / Suplente,0,0,2,0
James Tarkowski,Burnley,ENG-Premier League,2021,Defensa,1,0,6,0
Jay Rodriguez,Burnley,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,1,2,3,0
Jimmy Dunne,Burnley,ENG-Premier League,2021,Defensa,1,0,1,0
Joel Mumbongo,Burnley,ENG-Premier League,2021,Suplente,0,0,1,0
Johann Berg Gudmundsson,Burnley,ENG-Premier League,2021,Centrocampista / Suplente,2,0,2,0
Josh Benson,Burnley,ENG-Premier League,2021,Centrocampista / Suplente,0,0,0,0
Josh Brownhill,Burnley,ENG-Premier League,2021,Centrocampista / Suplente,0,1,2,0
Kevin Long,Burnley,ENG-Premier League,2021,Defensa / Suplente,0,0,2,0
Lewis Richardson,Burnley,ENG-Premier League,2021,Suplente,0,0,0,0
Matej Vydra,Burnley,ENG-Premier League,2021,Delantero / Suplente,3,2,0,0
Matthew Lowton,Burnley,ENG-Premier League,2021,Defensa,1,1,5,0
Nick Pope,Burnley,ENG-Premier League,2021,Portero,0,0,1,0
Phil Bardsley,Burnley,ENG-Premier League,2021,Defensa / Suplente,0,0,2,0
Robbie Brady,Burnley,ENG-Premier League,2021,Centrocampista / Suplente,1,1,3,0
Will Norris,Burnley,ENG-Premier League,2021,Portero,0,0,0,0
Andreas Christensen,Chelsea,ENG-Premier League,2021,Defensa / Suplente,0,0,2,1
Antonio Rüdiger,Chelsea,ENG-Premier League,2021,Defensa,1,0,0,0
Ben Chilwell,Chelsea,ENG-Premier League,2021,Defensa / Centrocampista,3,5,3,0
Billy Gilmour,Chelsea,ENG-Premier League,2021,Centrocampista / Suplente,0,0,0,0
Callum Hudson-Odoi,Chelsea,ENG-Premier League,2021,Defensa / Delantero / Centrocampista / Suplente,2,3,0,0
Christian Pulisic,Chelsea,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,4,2,2,0
César Azpilicueta,Chelsea,ENG-Premier League,2021,Defensa / Suplente,1,2,5,1
Edouard Mendy,Chelsea,ENG-Premier League,2021,Portero,0,0,2,0
Emerson,Chelsea,ENG-Premier League,2021,Suplente,0,0,0,0
Fikayo Tomori,Chelsea,ENG-Premier League,2021,Suplente,0,0,0,0
Hakim Ziyech,Chelsea,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,2,3,3,0
Jorginho,Chelsea,ENG-Premier League,2021,Centrocampista / Suplente,7,1,2,0
Kai Havertz,Chelsea,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,4,3,2,0
Kepa,Chelsea,ENG-Premier League,2021,Portero / Suplente,0,0,1,0
Kurt Zouma,Chelsea,ENG-Premier League,2021,Defensa / Suplente,5,0,3,0
Marcos Alonso,Chelsea,ENG-Premier League,2021,Defensa / Suplente,2,0,2,0
Mason Mount,Chelsea,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,6,5,2,0
Mateo Kovacic,Chelsea,ENG-Premier League,2021,Centrocampista / Suplente,0,1,4,0
N'Golo Kanté,Chelsea,ENG-Premier League,2021,Centrocampista / Suplente,0,2,7,0
Olivier Giroud,Chelsea,ENG-Premier League,2021,Delantero / Suplente,4,0,1,0
Reece James,Chelsea,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,1,2,3,0
Ruben Loftus-Cheek,Chelsea,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,1,0,3,0
Tammy Abraham,Chelsea,ENG-Premier League,2021,Delantero / Suplente,6,1,0,0
Thiago Silva,Chelsea,ENG-Premier League,2021,Defensa,2,0,3,1
Timo Werner,Chelsea,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,6,8,2,0
Willy Caballero,Chelsea,ENG-Premier League,2021,Portero,0,0,0,0
Andros Townsend,Crystal Palace,ENG-Premier League,2021,Delantero / Centrocampista / Suplente,1,5,0,0
Cheikhou Kouyaté,Crystal Palace,ENG-Premier League,2021,Defensa / Centrocampista / Suplente,1,0,4,0
Christian Benteke,Crystal Palace,ENG-Premier League,2021,Delantero / Suplente,10,1,1,1
Eberechi Eze,Crystal Palace,ENG-Premier League,2021,Centrocampista / Suplente,4,6,3,0
