date,time,home_team,score,away_team,attendance,venue,referee,match_report
2022-08-05,20:30,Eintracht Frankfurt,1–6,Bayern Munich,51500,Deutsche Bank Park,Deniz Aytekin,https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga
2022-08-06,15:30,Augsburg,0–4,Freiburg,25310,WWK Arena,Bastian Dankert,https://fbref.com/en/matches/3c5c48d7/Augsburg-Freiburg-August-6-2022-Bundesliga
2022-08-06,15:30,Bochum,1–2,Mainz 05,24110,Vonovia Ruhrstadion,Felix Zwayer,https://fbref.com/en/matches/b9e40750/Bochum-Mainz-05-August-6-2022-Bundesliga
2022-08-06,18:30,Dortmund,1–0,Leverkusen,81365,Signal Iduna Park,Felix Brych,https://fbref.com/en/matches/db9b4ee2/Dortmund-Leverkusen-August-6-2022-Bundesliga
2022-08-06,15:30,Gladbach,3–1,Hoffenheim,49659,Stadion im Borussia-Park,Daniel Siebert,https://fbref.com/en/matches/aeed6604/Monchengladbach-Hoffenheim-August-6-2022-Bundesliga
2022-08-06,15:30,Union Berlin,3–1,Hertha BSC,22012,Stadion An der Alten Försterei,Marco Fritz,https://fbref.com/en/matches/58e704e1/Union-Berlin-Hertha-BSC-August-6-2022-Bundesliga
2022-08-06,15:30,Wolfsburg,2–2,Werder Bremen,28015,Volkswagen Arena,Sascha Stegemann,https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga
2022-08-07,17:30,Köln,3–1,Schalke 04,50000,RheinEnergieSTADION,Robert Schröder,https://fbref.com/en/matches/6ba18904/Koln-Schalke-04-August-7-2022-Bundesliga
2022-08-07,15:30,Stuttgart,1–1,RB Leipzig,46000,Mercedes-Benz Arena,Tobias Stieler,https://fbref.com/en/matches/d0ce6f1a/Stuttgart-RB-Leipzig-August-7-2022-Bundesliga
2022-08-12,20:30,Freiburg,1–3,Dortmund,34700,Europa-Park Stadion,Tobias Welz,https://fbref.com/en/matches/ba444a3a/Freiburg-Dortmund-August-12-2022-Bundesliga
2022-08-13,15:30,Hertha BSC,1–1,Eintracht Frankfurt,45000,Olympiastadion Berlin,Frank Willenborg,https://fbref.com/en/matches/ce54d618/Hertha-BSC-Eintracht-Frankfurt-August-13-2022-Bundesliga
2022-08-13,15:30,Hoffenheim,3–2,Bochum,17005,PreZero Arena,Patrick Ittrich,https://fbref.com/en/matches/25d41fa1/Hoffenheim-Bochum-August-13-2022-Bundesliga
2022-08-13,15:30,Leverkusen,1–2,Augsburg,22903,BayArena,Benjamin Cortus,https://fbref.com/en/matches/593a6bbe/Leverkusen-Augsburg-August-13-2022-Bundesliga
2022-08-13,15:30,RB Leipzig,2–2,Köln,49579,Red Bull Arena,Benjamin Brand,https://fbref.com/en/matches/9db4ecbc/RB-Leipzig-Koln-August-13-2022-Bundesliga
2022-08-13,18:30,Schalke 04,2–2,Gladbach,62271,Veltins-Arena,Sven Jablonski,https://fbref.com/en/matches/b799281f/Schalke-04-Monchengladbach-August-13-2022-Bundesliga
2022-08-13,15:30,Werder Bremen,2–2,Stuttgart,41000,Wohninvest Weserstadion,Robert Hartmann,https://fbref.com/en/matches/46fbabbf/Werder-Bremen-Stuttgart-August-13-2022-Bundesliga
2022-08-14,17:30,Bayern Munich,2–0,Wolfsburg,75000,Allianz Arena,Harm Osmers,https://fbref.com/en/matches/1a9bb65b/Bayern-Munich-Wolfsburg-August-14-2022-Bundesliga
2022-08-14,15:30,Mainz 05,0–0,Union Berlin,25009,Mewa Arena,Daniel Schlager,https://fbref.com/en/matches/ff6b65cd/Mainz-05-Union-Berlin-August-14-2022-Bundesliga
2022-08-19,20:30,Gladbach,1–0,Hertha BSC,48411,Stadion im Borussia-Park,Matthias Jöllenbeck,https://fbref.com/en/matches/e0d55038/Monchengladbach-Hertha-BSC-August-19-2022-Bundesliga
2022-08-20,15:30,Augsburg,1–2,Mainz 05,23755,WWK Arena,Sascha Stegemann,https://fbref.com/en/matches/5c135cd8/Augsburg-Mainz-05-August-20-2022-Bundesliga
2022-08-20,15:30,Dortmund,2–3,Werder Bremen,81365,Signal Iduna Park,Florian Badstübner,https://fbref.com/en/matches/7c429f46/Dortmund-Werder-Bremen-August-20-2022-Bundesliga
2022-08-20,15:30,Leverkusen,0–3,Hoffenheim,26300,BayArena,Tobias Reichel,https://fbref.com/en/matches/10b88c11/Leverkusen-Hoffenheim-August-20-2022-Bundesliga
2022-08-20,15:30,Stuttgart,0–1,Freiburg,47500,Mercedes-Benz Arena,Felix Brych,https://fbref.com/en/matches/6600ea4e/Stuttgart-Freiburg-August-20-2022-Bundesliga
2022-08-20,18:30,Union Berlin,2–1,RB Leipzig,21056,Stadion An der Alten Försterei,Deniz Aytekin,https://fbref.com/en/matches/5a91233f/Union-Berlin-RB-Leipzig-August-20-2022-Bundesliga
2022-08-20,15:30,Wolfsburg,0–0,Schalke 04,26959,Volkswagen Arena,Felix Zwayer,https://fbref.com/en/matches/8bced063/Wolfsburg-Schalke-04-August-20-2022-Bundesliga
2022-08-21,17:30,Bochum,0–7,Bayern Munich,26000,Vonovia Ruhrstadion,Daniel Siebert,https://fbref.com/en/matches/0df447e7/Bochum-Bayern-Munich-August-21-2022-Bundesliga
2022-08-21,15:30,Eintracht Frankfurt,1–1,Köln,50800,Deutsche Bank Park,Martin Petersen,https://fbref.com/en/matches/ede68248/Eintracht-Frankfurt-Koln-August-21-2022-Bundesliga
