date,time,home_team,score,away_team,attendance,venue,referee,match_report
2021-08-06,21:00,Monaco,1–1,Nantes,7500,Stade Louis II,Antony Gautier,https://fbref.com/en/matches/5a71bd1f/Monaco-Nantes-August-6-2021-Ligue-1
2021-08-07,17:00,Lyon,1–1,Brest,29018,Groupama Stadium,Mikael Lesage,https://fbref.com/en/matches/22f9fbae/Lyon-Brest-August-7-2021-Ligue-1
2021-08-07,21:00,Troyes,1–2,Paris Saint-Germain,15248,Stade de l'Aube,Amaury Delerue,https://fbref.com/en/matches/081fcc93/Troyes-Paris-Saint-Germain-August-7-2021-Ligue-1
2021-08-08,15:00,Bordeaux,0–2,Clermont Foot,18748,Stade Matmut-Atlantique,Florent Batta,https://fbref.com/en/matches/3bd58e2c/Bordeaux-Clermont-Foot-August-8-2021-Ligue-1
2021-08-08,17:00,Metz,3–3,Lille,15551,Stade Saint-Symphorien,Eric Wattellier,https://fbref.com/en/matches/95922902/Metz-Lille-August-8-2021-Ligue-1
2021-08-08,20:45,Montpellier,2–3,Marseille,13500,Stade de la Mosson,Jérémie Pignard,https://fbref.com/en/matches/2aa88717/Montpellier-Marseille-August-8-2021-Ligue-1
2021-08-08,15:00,Nice,0–0,Reims,18030,Stade de Nice,Johan Hamel,https://fbref.com/en/matches/ed6f883d/Nice-Reims-August-8-2021-Ligue-1
2021-08-08,13:00,Rennes,1–1,Lens,22567,Roazhon Park,Bastien Dechepy,https://fbref.com/en/matches/efa9bd32/Rennes-Lens-August-8-2021-Ligue-1
2021-08-08,15:00,Saint-Étienne,1–1,Lorient,20461,Stade Geoffroy-Guichard,Thomas Léonard,https://fbref.com/en/matches/ffb00ebc/Saint-Etienne-Lorient-August-8-2021-Ligue-1
2021-08-08,15:00,Strasbourg,0–2,Angers,23250,Stade de la Meinau,Jeremy Stinat,https://fbref.com/en/matches/d5c51de9/Strasbourg-Angers-August-8-2021-Ligue-1
2021-08-13,21:00,Lorient,1–0,Monaco,12149,Stade du Moustoir,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/6fa57b43/Lorient-Monaco-August-13-2021-Ligue-1
2021-08-14,17:00,Lille,0–4,Nice,30144,Stade Pierre-Mauroy,Jérôme Brisard,https://fbref.com/en/matches/61344945/Lille-Nice-August-14-2021-Ligue-1
2021-08-14,21:00,Paris Saint-Germain,4–2,Strasbourg,46962,Parc des Princes,Willy Delajod,https://fbref.com/en/matches/f49163bf/Paris-Saint-Germain-Strasbourg-August-14-2021-Ligue-1
