date,time,home_team,score,away_team,attendance,venue,referee,match_report
17/08,20:45,Empoli,0–0,Monza,7746,Stadio Carlo Castellani - Computer Gross...,Michael Fabbri,https://fbref.com/en/matches/e1942888/Empoli-Monza-August-17-2024-Serie-A
17/08,18:30,Genoa,2–2,Inter,33300,Stadio Comunale Luigi Ferraris,Ermanno Feliciani,https://fbref.com/en/matches/5dd9a8ae/Genoa-Internazionale-August-17-2024-Serie-A
17/08,20:45,Milan,2–2,Torino,70742,Stadio Giuseppe Meazza,Fabio Maresca,https://fbref.com/en/matches/6321e075/Milan-Torino-August-17-2024-Serie-A
17/08,18:30,Parma,1–1,Fiorentina,21384,Stadio Ennio Tardini,Giovanni Ayroldi,https://fbref.com/en/matches/99186416/Parma-Fiorentina-August-17-2024-Serie-A
18/08,18:30,Bologna,1–1,Udinese,26418,Stadio Renato Dall'Ara,Maria Sole Ferrieri Caputi,https://fbref.com/en/matches/a538d1ae/Bologna-Udinese-August-18-2024-Serie-A
18/08,20:45,Cagliari,0–0,Roma,16261,Unipol Domus,Livio Marinelli,https://fbref.com/en/matches/8314db9d/Cagliari-Roma-August-18-2024-Serie-A
18/08,18:30,Hellas Verona,3–0,Napoli,20027,Stadio Marc'Antonio Bentegodi,Matteo Marchetti,https://fbref.com/en/matches/6a1d7fbe/Hellas-Verona-Napoli-August-18-2024-Serie-A
18/08,20:45,Lazio,3–1,Venezia,42000,Stadio Olimpico,Paride Tremolada,https://fbref.com/en/matches/8c25dfec/Lazio-Venezia-August-18-2024-Serie-A
19/08,20:45,Juventus,3–0,Como,40696,Allianz Stadium,Matteo Marcenaro,https://fbref.com/en/matches/888690a6/Juventus-Como-August-19-2024-Serie-A
19/08,18:30,Lecce,0–4,Atalanta,28719,Stadio Comunale Ettore Giardiniero,Davide Massa,https://fbref.com/en/matches/5b248995/Lecce-Atalanta-August-19-2024-Serie-A
24/08,20:45,Inter,2–0,Lecce,70921,Stadio Giuseppe Meazza,Davide Di Marco,https://fbref.com/en/matches/bf16fd3f/Internazionale-Lecce-August-24-2024-Serie-A
