date,time,home_team,score,away_team,attendance,venue,referee,match_report
19/08,18:30,Empoli,0–1,Hellas Verona,7940,Stadio Carlo Castellani,Luca Massimi,https://fbref.com/en/matches/b787871d/Empoli-Hellas-Verona-August-19-2023-Serie-A
19/08,18:30,Frosinone,1–3,Napoli,15822,Stadio Benito Stirpe,Matteo Marcenaro,https://fbref.com/en/matches/305afcf5/Frosinone-Napoli-August-19-2023-Serie-A
19/08,20:45,Genoa,1–4,Fiorentina,33045,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,https://fbref.com/en/matches/8260e428/Genoa-Fiorentina-August-19-2023-Serie-A
19/08,20:45,Inter,2–0,Monza,72509,Stadio Giuseppe Meazza,Andrea Colombo,https://fbref.com/en/matches/254420f7/Internazionale-Monza-August-19-2023-Serie-A
20/08,20:45,Lecce,2–1,Lazio,29081,Stadio Comunale Via Del Mare,Federico Dionisi,https://fbref.com/en/matches/3e38d727/Lecce-Lazio-August-20-2023-Serie-A
20/08,18:30,Roma,2–2,Salernitana,62050,Stadio Olimpico,Ermanno Feliciani,https://fbref.com/en/matches/9191f715/Roma-Salernitana-August-20-2023-Serie-A
20/08,18:30,Sassuolo,0–2,Atalanta,12298,Mapei Stadium - Città del Tricolore,Matteo Marchetti,https://fbref.com/en/matches/32dc37db/Sassuolo-Atalanta-August-20-2023-Serie-A
20/08,20:45,Udinese,0–3,Juventus,24911,Bluenergy Stadium,Antonio Rapuano,https://fbref.com/en/matches/8b6e8a62/Udinese-Juventus-August-20-2023-Serie-A
21/08,20:45,Bologna,0–2,Milan,30203,Stadio Renato Dall'Ara,Luca Pairetto,https://fbref.com/en/matches/93dccf6e/Bologna-Milan-August-21-2023-Serie-A
21/08,18:30,Torino,0–0,Cagliari,20296,Stadio Olimpico di Torino,Francesco Cosso,https://fbref.com/en/matches/fdc03e7f/Torino-Cagliari-August-21-2023-Serie-A
26/08,18:30,Frosinone,2–1,Atalanta,13426,Stadio Benito Stirpe,Juan Sacchi,https://fbref.com/en/matches/0b355cdd/Frosinone-Atalanta-August-26-2023-Serie-A
26/08,20:45,Hellas Verona,2–1,Roma,23147,Stadio Marc'Antonio Bentegodi,Daniele Doveri,https://fbref.com/en/matches/3c6a9d3d/Hellas-Verona-Roma-August-26-2023-Serie-A
26/08,20:45,Milan,4–1,Torino,72013,Stadio Giuseppe Meazza,Maurizio Mariani,https://fbref.com/en/matches/4cc2731e/Milan-Torino-August-26-2023-Serie-A
26/08,18:30,Monza,2–0,Empoli,8155,U-Power Stadium,Gianluca Aureliano,https://fbref.com/en/matches/3d880bc3/Monza-Empoli-August-26-2023-Serie-A
27/08,18:30,Fiorentina,2–2,Lecce,34604,Stadio Artemio Franchi,Maria Sole Ferrieri Caputi,https://fbref.com/en/matches/d179c57a/Fiorentina-Lecce-August-27-2023-Serie-A
27/08,18:30,Juventus,1–1,Bologna,36107,Allianz Stadium,Marco Di Bello,https://fbref.com/en/matches/6992283e/Juventus-Bologna-August-27-2023-Serie-A
27/08,20:45,Lazio,0–1,Genoa,40000,Stadio Olimpico,Livio Marinelli,https://fbref.com/en/matches/e7878318/Lazio-Genoa-August-27-2023-Serie-A
27/08,20:45,Napoli,2–0,Sassuolo,46925,Stadio Diego Armando Maradona,Antonio Giua,https://fbref.com/en/matches/4401df22/Napoli-Sassuolo-August-27-2023-Serie-A
28/08,20:45,Cagliari,0–2,Inter,16412,Unipol Domus,Michael Fabbri,https://fbref.com/en/matches/631e94b3/Cagliari-Internazionale-August-28-2023-Serie-A
28/08,18:30,Salernitana,1–1,Udinese,20000,Stadio Arechi,Davide Massa,https://fbref.com/en/matches/767c80b3/Salernitana-Udinese-August-28-2023-Serie-A
01/09,20:45,Roma,1–2,Milan,61690,Stadio Olimpico,Antonio Rapuano,https://fbref.com/en/matches/03e9b7f3/Roma-Milan-September-1-2023-Serie-A
01/09,18:30,Sassuolo,3–1,Hellas Verona,10356,Mapei Stadium - Città del Tricolore,Marco Piccinini,https://fbref.com/en/matches/ebe46174/Sassuolo-Hellas-Verona-September-1-2023-Serie-A
02/09,20:45,Atalanta,3–0,Monza,14985,Gewiss Stadium,Matteo Marcenaro,https://fbref.com/en/matches/6e72c38b/Atalanta-Monza-September-2-2023-Serie-A
02/09,18:30,Bologna,2–1,Cagliari,22818,Stadio Renato Dall'Ara,Daniele Orsato,https://fbref.com/en/matches/1b8aeae3/Bologna-Cagliari-September-2-2023-Serie-A
02/09,20:45,Napoli,1–2,Lazio,42000,Stadio Diego Armando Maradona,Andrea Colombo,https://fbref.com/en/matches/2c2145a0/Napoli-Lazio-September-2-2023-Serie-A
02/09,18:30,Udinese,0–0,Frosinone,20116,Bluenergy Stadium,Marco Guida,https://fbref.com/en/matches/6a639449/Udinese-Frosinone-September-2-2023-Serie-A
03/09,20:45,Empoli,0–2,Juventus,15702,Stadio Carlo Castellani,Giovanni Ayroldi,https://fbref.com/en/matches/b14694a6/Empoli-Juventus-September-3-2023-Serie-A
03/09,18:30,Inter,4–0,Fiorentina,72739,Stadio Giuseppe Meazza,Matteo Marchetti,https://fbref.com/en/matches/c59bb445/Internazionale-Fiorentina-September-3-2023-Serie-A
03/09,20:45,Lecce,2–0,Salernitana,28052,Stadio Comunale Via Del Mare,Luca Massimi,https://fbref.com/en/matches/79dc2417/Lecce-Salernitana-September-3-2023-Serie-A
03/09,18:30,Torino,1–0,Genoa,24433,Stadio Olimpico di Torino,Daniele Chiffi,https://fbref.com/en/matches/83d4ffcd/Torino-Genoa-September-3-2023-Serie-A
16/09,20:45,Genoa,2–2,Napoli,33275,Stadio Comunale Luigi Ferraris,Michael Fabbri,https://fbref.com/en/matches/528f1128/Genoa-Napoli-September-16-2023-Serie-A
16/09,18:00,Inter,5–1,Milan,75571,Stadio Giuseppe Meazza,Simone Sozza,https://fbref.com/en/matches/10a39d69/Derby-della-Madonnina-Internazionale-Milan-September-16-2023-Serie-A
16/09,15:00,Juventus,3–1,Lazio,40652,Allianz Stadium,Fabio Maresca,https://fbref.com/en/matches/b3226234/Juventus-Lazio-September-16-2023-Serie-A
17/09,12:30,Cagliari,0–0,Udinese,15121,Unipol Domus,Daniele Doveri,https://fbref.com/en/matches/3ac89aa7/Cagliari-Udinese-September-17-2023-Serie-A
17/09,18:00,Fiorentina,3–2,Atalanta,32100,Stadio Artemio Franchi,Luca Pairetto,https://fbref.com/en/matches/2a18afe9/Fiorentina-Atalanta-September-17-2023-Serie-A
17/09,15:00,Frosinone,4–2,Sassuolo,13133,Stadio Benito Stirpe,Alessandro Prontera,https://fbref.com/en/matches/f3fd4b8a/Frosinone-Sassuolo-September-17-2023-Serie-A
17/09,15:00,Monza,1–1,Lecce,13074,U-Power Stadium,Livio Marinelli,https://fbref.com/en/matches/3cf257a0/Monza-Lecce-September-17-2023-Serie-A
17/09,20:45,Roma,7–0,Empoli,61443,Stadio Olimpico,Juan Sacchi,https://fbref.com/en/matches/f164bc78/Roma-Empoli-September-17-2023-Serie-A
18/09,20:45,Hellas Verona,0–0,Bologna,18863,Stadio Marc'Antonio Bentegodi,Federico La Penna,https://fbref.com/en/matches/2e114c4b/Hellas-Verona-Bologna-September-18-2023-Serie-A
18/09,18:30,Salernitana,0–3,Torino,15480,Stadio Arechi,Antonio Giua,https://fbref.com/en/matches/a9334418/Salernitana-Torino-September-18-2023-Serie-A
22/09,20:45,Lecce,1–0,Genoa,27000,Stadio Comunale Via Del Mare,Antonio Rapuano,https://fbref.com/en/matches/c66e200a/Lecce-Genoa-September-22-2023-Serie-A
22/09,18:30,Salernitana,1–1,Frosinone,16217,Stadio Arechi,Marco Piccinini,https://fbref.com/en/matches/da7586b5/Salernitana-Frosinone-September-22-2023-Serie-A
23/09,20:45,Lazio,1–1,Monza,36000,Stadio Olimpico,Rosario Abisso,https://fbref.com/en/matches/5778b5c6/Lazio-Monza-September-23-2023-Serie-A
23/09,15:00,Milan,1–0,Hellas Verona,71070,Stadio Giuseppe Meazza,Fabio Maresca,https://fbref.com/en/matches/bbc5eb68/Milan-Hellas-Verona-September-23-2023-Serie-A
23/09,18:00,Sassuolo,4–2,Juventus,20141,Mapei Stadium - Città del Tricolore,Andrea Colombo,https://fbref.com/en/matches/14cf8fd1/Sassuolo-Juventus-September-23-2023-Serie-A
24/09,15:00,Atalanta,2–0,Cagliari,14739,Gewiss Stadium,Ermanno Feliciani,https://fbref.com/en/matches/915c6bb6/Atalanta-Cagliari-September-24-2023-Serie-A
24/09,18:00,Bologna,0–0,Napoli,26621,Stadio Renato Dall'Ara,Giovanni Ayroldi,https://fbref.com/en/matches/17137b70/Bologna-Napoli-September-24-2023-Serie-A
24/09,12:30,Empoli,0–1,Inter,15651,Stadio Carlo Castellani,Matteo Marcenaro,https://fbref.com/en/matches/8d6212de/Empoli-Internazionale-September-24-2023-Serie-A
24/09,20:45,Torino,1–1,Roma,23299,Stadio Olimpico di Torino,Marco Guida,https://fbref.com/en/matches/fdd625ef/Torino-Roma-September-24-2023-Serie-A
24/09,15:00,Udinese,0–2,Fiorentina,21229,Bluenergy Stadium,Daniele Chiffi,https://fbref.com/en/matches/a7ffc8e0/Udinese-Fiorentina-September-24-2023-Serie-A
26/09,20:45,Juventus,1–0,Lecce,37498,Allianz Stadium,Antonio Giua,https://fbref.com/en/matches/eb1af48a/Juventus-Lecce-September-26-2023-Serie-A
27/09,18:30,Cagliari,1–3,Milan,16348,Unipol Domus,Federico La Penna,https://fbref.com/en/matches/520c6833/Cagliari-Milan-September-27-2023-Serie-A
27/09,18:30,Empoli,1–0,Salernitana,7979,Stadio Carlo Castellani,Antonio Rapuano,https://fbref.com/en/matches/46a8983c/Empoli-Salernitana-September-27-2023-Serie-A
27/09,18:30,Hellas Verona,0–1,Atalanta,15936,Stadio Marc'Antonio Bentegodi,Federico Dionisi,https://fbref.com/en/matches/3e492e66/Hellas-Verona-Atalanta-September-27-2023-Serie-A
27/09,20:45,Inter,1–2,Sassuolo,70864,Stadio Giuseppe Meazza,Luca Massimi,https://fbref.com/en/matches/e70ac4b1/Internazionale-Sassuolo-September-27-2023-Serie-A
27/09,20:45,Lazio,2–0,Torino,35100,Stadio Olimpico,Michael Fabbri,https://fbref.com/en/matches/69d105e3/Lazio-Torino-September-27-2023-Serie-A
27/09,20:45,Napoli,4–1,Udinese,45305,Stadio Diego Armando Maradona,Gianluca Manganiello,https://fbref.com/en/matches/464aa9ae/Napoli-Udinese-September-27-2023-Serie-A
28/09,18:30,Frosinone,1–1,Fiorentina,14755,Stadio Benito Stirpe,Francesco Fourneau,https://fbref.com/en/matches/c8e4b03a/Frosinone-Fiorentina-September-28-2023-Serie-A
28/09,20:45,Genoa,4–1,Roma,32961,Stadio Comunale Luigi Ferraris,Daniele Orsato,https://fbref.com/en/matches/44c33847/Genoa-Roma-September-28-2023-Serie-A
28/09,18:30,Monza,0–0,Bologna,8930,U-Power Stadium,Ivan Pezzuto,https://fbref.com/en/matches/9a8e6c44/Monza-Bologna-September-28-2023-Serie-A
30/09,15:00,Lecce,0–4,Napoli,27588,Stadio Comunale Via Del Mare,Luca Pairetto,https://fbref.com/en/matches/4c10f199/Lecce-Napoli-September-30-2023-Serie-A
30/09,18:00,Milan,2–0,Lazio,72035,Stadio Giuseppe Meazza,Davide Massa,https://fbref.com/en/matches/a315e1cc/Milan-Lazio-September-30-2023-Serie-A
