date,time,home_team,score,away_team,attendance,venue,referee,match_report
2022-08-05,21:00,Lyon,2–1,Ajaccio,48516,Groupama Stadium,Benoît Bastien,https://fbref.com/en/matches/47ab569b/Lyon-Ajaccio-August-5-2022-Ligue-1
2022-08-06,21:00,Clermont Foot,0–5,Paris Saint-Germain,12203,Stade Gabriel Montpied,Jeremy Stinat,https://fbref.com/en/matches/d99d9161/Clermont-Foot-Paris-Saint-Germain-August-6-2022-Ligue-1
2022-08-06,17:00,Strasbourg,1–2,Monaco,25359,Stade de la Meinau,François Letexier,https://fbref.com/en/matches/b9e7f94c/Strasbourg-Monaco-August-6-2022-Ligue-1
2022-08-07,15:00,Angers,0–0,Nantes,12000,Stade Raymond Kopa,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/136d5cbe/Angers-Nantes-August-7-2022-Ligue-1
2022-08-07,15:00,Lens,3–2,Brest,37015,Stade Bollaert-Delelis,Thomas Léonard,https://fbref.com/en/matches/058c83eb/Lens-Brest-August-7-2022-Ligue-1
2022-08-07,15:00,Lille,4–1,Auxerre,32292,Stade Pierre-Mauroy,Eric Wattellier,https://fbref.com/en/matches/cbdc95fe/Lille-Auxerre-August-7-2022-Ligue-1
2022-08-07,20:45,Marseille,4–1,Reims,62738,Orange Vélodrome,Jérôme Brisard,https://fbref.com/en/matches/534ab8ff/Marseille-Reims-August-7-2022-Ligue-1
2022-08-07,15:00,Montpellier,3–2,Troyes,12003,Stade de la Mosson,Pierre Gaillouste,https://fbref.com/en/matches/e3e9b9b5/Montpellier-Troyes-August-7-2022-Ligue-1
2022-08-07,17:05,Rennes,0–1,Lorient,28177,Roazhon Park,Bastien Dechepy,https://fbref.com/en/matches/8ff3f9dd/Rennes-Lorient-August-7-2022-Ligue-1
2022-08-07,13:00,Toulouse,1–1,Nice,20567,Stadium Municipal,Johan Hamel,https://fbref.com/en/matches/8f2f241b/Toulouse-Nice-August-7-2022-Ligue-1
2022-08-12,21:00,Nantes,1–1,Lille,30689,Stade de la Beaujoire - Louis Fonteneau,Bastien Dechepy,https://fbref.com/en/matches/00173ae0/Nantes-Lille-August-12-2022-Ligue-1
2022-08-13,17:00,Monaco,1–1,Rennes,8000,Stade Louis II,Jérémie Pignard,https://fbref.com/en/matches/86562a7e/Monaco-Rennes-August-13-2022-Ligue-1
2022-08-13,21:00,Paris Saint-Germain,5–2,Montpellier,46000,Parc des Princes,Willy Delajod,https://fbref.com/en/matches/63a572a1/Paris-Saint-Germain-Montpellier-August-13-2022-Ligue-1
2022-08-14,15:00,Ajaccio,0–0,Lens,9070,Stade François Coty,Stéphanie Frappart,https://fbref.com/en/matches/8b559e8f/Ajaccio-Lens-August-14-2022-Ligue-1
2022-08-14,15:00,Auxerre,2–2,Angers,15577,Stade de l'Abbé Deschamps,Ruddy Buquet,https://fbref.com/en/matches/f5a2eb8d/Auxerre-Angers-August-14-2022-Ligue-1
2022-08-14,20:45,Brest,1–1,Marseille,13709,Stade Francis-Le Blé,Jeremy Stinat,https://fbref.com/en/matches/4a5a2571/Brest-Marseille-August-14-2022-Ligue-1
2022-08-14,17:05,Nice,1–1,Strasbourg,24707,Stade de Nice,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/d1bb8afd/Nice-Strasbourg-August-14-2022-Ligue-1
2022-08-14,15:00,Reims,2–4,Clermont Foot,9456,Stade Auguste-Delaune,Johan Hamel,https://fbref.com/en/matches/ed6b4245/Reims-Clermont-Foot-August-14-2022-Ligue-1
2022-08-14,15:00,Troyes,0–3,Toulouse,6000,Stade de l'Aube,Marc Bollengier,https://fbref.com/en/matches/f60d97c0/Troyes-Toulouse-August-14-2022-Ligue-1
2022-08-19,21:00,Lyon,4–1,Troyes,43000,Groupama Stadium,Eric Wattellier,https://fbref.com/en/matches/a1baf3a5/Lyon-Troyes-August-19-2022-Ligue-1
2022-08-20,21:00,Marseille,2–1,Nantes,63147,Orange Vélodrome,Jérémie Pignard,https://fbref.com/en/matches/44e18f81/Marseille-Nantes-August-20-2022-Ligue-1
2022-08-20,17:00,Monaco,1–4,Lens,8700,Stade Louis II,Willy Delajod,https://fbref.com/en/matches/579dbb9f/Monaco-Lens-August-20-2022-Ligue-1
2022-08-21,15:00,Angers,1–3,Brest,8735,Stade Raymond Kopa,Jérôme Brisard,https://fbref.com/en/matches/2bc4aa01/Angers-Brest-August-21-2022-Ligue-1
