date,time,home_team,score,away_team,attendance,venue,referee,match_report
2025-09-20,15:30,Werder Bremen,0–3,Freiburg,40500,Weserstadion,Timo Gerach,https://fbref.com/en/matches/a7e96019/Werder-Bremen-Freiburg-September-20-2025-Bundesliga
2025-09-21,19:30,Dortmund,1–0,Wolfsburg,81365,Signal Iduna Park,Daniel Siebert,https://fbref.com/en/matches/d3e98705/Dortmund-Wolfsburg-September-21-2025-Bundesliga
2025-09-21,15:30,Eintracht Frankfurt,3–4,Union Berlin,59500,Deutsche Bank Park,Sven Jablonski,https://fbref.com/en/matches/448ea72f/Eintracht-Frankfurt-Union-Berlin-September-21-2025-Bundesliga
2025-09-21,17:30,Leverkusen,1–1,Gladbach,30210,BayArena,Felix Zwayer,https://fbref.com/en/matches/9d5112e8/Leverkusen-Monchengladbach-September-21-2025-Bundesliga
2025-09-26,20:30,Bayern Munich,4–0,Werder Bremen,75000,Allianz Arena,Frank Willenborg,https://fbref.com/en/matches/a50ce74d/Bayern-Munich-Werder-Bremen-September-26-2025-Bundesliga
2025-09-27,18:30,Gladbach,4–6,Eintracht Frankfurt,54042,Stadion im Borussia-Park,Florian Exner,https://fbref.com/en/matches/5212aa89/Monchengladbach-Eintracht-Frankfurt-September-27-2025-Bundesliga
2025-09-27,15:30,Heidenheim,2–1,Augsburg,15000,Voith-Arena,Tobias Welz,https://fbref.com/en/matches/d445268d/Heidenheim-Augsburg-September-27-2025-Bundesliga
2025-09-27,15:30,Mainz 05,0–2,Dortmund,33305,Mewa Arena,Tobias Reichel,https://fbref.com/en/matches/92fc78f1/Mainz-05-Dortmund-September-27-2025-Bundesliga
2025-09-27,15:30,St Pauli,1–2,Leverkusen,29546,Millerntor-Stadion,Martin Petersen,https://fbref.com/en/matches/a35c04e4/St-Pauli-Leverkusen-September-27-2025-Bundesliga
2025-09-27,15:30,Wolfsburg,0–1,RB Leipzig,23236,Volkswagen Arena,Robin Braun,https://fbref.com/en/matches/914fabb2/Wolfsburg-RB-Leipzig-September-27-2025-Bundesliga
2025-09-28,15:30,Freiburg,1–1,Hoffenheim,33700,Europa-Park Stadion,Bastian Dankert,https://fbref.com/en/matches/a20222e0/Freiburg-Hoffenheim-September-28-2025-Bundesliga
2025-09-28,17:30,Köln,1–2,Stuttgart,50000,RheinEnergieSTADION,Matthias Jöllenbeck,https://fbref.com/en/matches/00e4ff0d/Koln-Stuttgart-September-28-2025-Bundesliga
2025-09-28,19:30,Union Berlin,0–0,Hamburger SV,22012,Stadion An der Alten Försterei,Deniz Aytekin,https://fbref.com/en/matches/1c8580bc/Union-Berlin-Hamburger-SV-September-28-2025-Bundesliga
2025-10-03,20:30,Hoffenheim,0–1,Köln,30150,PreZero Arena,Felix Zwayer,https://fbref.com/en/matches/a3d6d7e4/Hoffenheim-Koln-October-3-2025-Bundesliga
2025-10-04,15:30,Augsburg,3–1,Wolfsburg,28200,WWK Arena,Benjamin Brand,https://fbref.com/en/matches/30d2fc3a/Augsburg-Wolfsburg-October-4-2025-Bundesliga
2025-10-04,15:30,Dortmund,1–1,RB Leipzig,81365,Signal Iduna Park,Sascha Stegemann,https://fbref.com/en/matches/76f8a93f/Dortmund-RB-Leipzig-October-4-2025-Bundesliga
2025-10-04,18:30,Eintracht Frankfurt,0–3,Bayern Munich,59500,Deutsche Bank Park,Daniel Siebert,https://fbref.com/en/matches/96ea3861/Eintracht-Frankfurt-Bayern-Munich-October-4-2025-Bundesliga
2025-10-04,15:30,Leverkusen,2–0,Union Berlin,30210,BayArena,Christian Dingert,https://fbref.com/en/matches/a88c0cfc/Leverkusen-Union-Berlin-October-4-2025-Bundesliga
2025-10-04,15:30,Werder Bremen,1–0,St Pauli,42100,Weserstadion,Sören Storks,https://fbref.com/en/matches/86cee779/Werder-Bremen-St-Pauli-October-4-2025-Bundesliga
2025-10-05,19:30,Gladbach,0–0,Freiburg,44709,Stadion im Borussia-Park,Daniel Schlager,https://fbref.com/en/matches/bacd63d5/Monchengladbach-Freiburg-October-5-2025-Bundesliga
2025-10-05,17:30,Hamburger SV,4–0,Mainz 05,57000,Volksparkstadion,Robert Hartmann,https://fbref.com/en/matches/5fa2c71d/Hamburger-SV-Mainz-05-October-5-2025-Bundesliga
2025-10-05,15:30,Stuttgart,1–0,Heidenheim,60000,MHPArena,Tobias Stieler,https://fbref.com/en/matches/a0f25ade/Stuttgart-Heidenheim-October-5-2025-Bundesliga
2025-10-17,20:30,Union Berlin,3–1,Gladbach,22012,Stadion An der Alten Försterei,Tobias Reichel,https://fbref.com/en/matches/ff4f138c/Union-Berlin-Monchengladbach-October-17-2025-Bundesliga
2025-10-18,18:30,Bayern Munich,2–1,Dortmund,75000,Allianz Arena,Bastian Dankert,https://fbref.com/en/matches/2b1ceae8/Der-Klassiker-Bayern-Munich-Dortmund-October-18-2025-Bundesliga
2025-10-18,15:30,Heidenheim,2–2,Werder Bremen,15000,Voith-Arena,Patrick Ittrich,https://fbref.com/en/matches/cbbd67c2/Heidenheim-Werder-Bremen-October-18-2025-Bundesliga
2025-10-18,15:30,Köln,1–1,Augsburg,50000,RheinEnergieSTADION,Timo Gerach,https://fbref.com/en/matches/cc14e577/Koln-Augsburg-October-18-2025-Bundesliga
