date,time,home_team,score,away_team,attendance,venue,referee,match_report
23/08,20:30,Gladbach,2–3,Leverkusen,54042,Stadion im Borussia-Park,Robert Schröder,https://fbref.com/en/matches/d42e53df/Monchengladbach-Leverkusen-August-23-2024-Bundesliga
24/08,15:30,Augsburg,2–2,Werder Bremen,30660,WWK Arena,Sascha Stegemann,https://fbref.com/en/matches/967de8db/Augsburg-Werder-Bremen-August-24-2024-Bundesliga
24/08,18:30,Dortmund,2–0,Eintracht Frankfurt,81365,Signal Iduna Park,Felix Zwayer,https://fbref.com/en/matches/3750f4ea/Dortmund-Eintracht-Frankfurt-August-24-2024-Bundesliga
24/08,15:30,Freiburg,3–1,Stuttgart,34700,Europa-Park Stadion,Tobias Welz,https://fbref.com/en/matches/a64e4ea4/Freiburg-Stuttgart-August-24-2024-Bundesliga
24/08,15:30,Hoffenheim,3–2,Holstein Kiel,18503,PreZero Arena,Tobias Stieler,https://fbref.com/en/matches/b549a198/Hoffenheim-Holstein-Kiel-August-24-2024-Bundesliga
24/08,15:30,Mainz 05,1–1,Union Berlin,31500,Mewa Arena,Harm Osmers,https://fbref.com/en/matches/02dc2f7e/Mainz-05-Union-Berlin-August-24-2024-Bundesliga
24/08,15:30,RB Leipzig,1–0,Bochum,44611,Red Bull Arena,Benjamin Brand,https://fbref.com/en/matches/cd173a0a/RB-Leipzig-Bochum-August-24-2024-Bundesliga
25/08,17:30,St Pauli,0–2,Heidenheim,29157,Millerntor-Stadion,Sven Jablonski,https://fbref.com/en/matches/26a137cc/St-Pauli-Heidenheim-August-25-2024-Bundesliga
25/08,15:30,Wolfsburg,2–3,Bayern Munich,30000,Volkswagen Arena,Daniel Siebert,https://fbref.com/en/matches/48886f11/Wolfsburg-Bayern-Munich-August-25-2024-Bundesliga
30/08,20:30,Union Berlin,1–0,St Pauli,22012,Stadion An der Alten Försterei,Bastian Dankert,https://fbref.com/en/matches/ce5d1374/Union-Berlin-St-Pauli-August-30-2024-Bundesliga
31/08,15:30,Bochum,0–2,Gladbach,26000,Vonovia Ruhrstadion,Sören Storks,https://fbref.com/en/matches/d31a8f27/Bochum-Monchengladbach-August-31-2024-Bundesliga
31/08,15:30,Eintracht Frankfurt,3–1,Hoffenheim,57100,Deutsche Bank Park,Florian Badstübner,https://fbref.com/en/matches/20afc3a6/Eintracht-Frankfurt-Hoffenheim-August-31-2024-Bundesliga
31/08,15:30,Holstein Kiel,0–2,Wolfsburg,15034,Holstein-Stadion,Florian Exner,https://fbref.com/en/matches/7e2bdec0/Holstein-Kiel-Wolfsburg-August-31-2024-Bundesliga
31/08,18:30,Leverkusen,2–3,RB Leipzig,29615,BayArena,Matthias Jöllenbeck,https://fbref.com/en/matches/20df1da5/Leverkusen-RB-Leipzig-August-31-2024-Bundesliga
31/08,15:30,Stuttgart,3–3,Mainz 05,59000,MHPArena,Timo Gerach,https://fbref.com/en/matches/378509f5/Stuttgart-Mainz-05-August-31-2024-Bundesliga
31/08,15:30,Werder Bremen,0–0,Dortmund,42100,Weserstadion,Robert Hartmann,https://fbref.com/en/matches/0f6a93b4/Werder-Bremen-Dortmund-August-31-2024-Bundesliga
01/09,17:30,Bayern Munich,2–0,Freiburg,75000,Allianz Arena,Christian Dingert,https://fbref.com/en/matches/c11acc1b/Bayern-Munich-Freiburg-September-1-2024-Bundesliga
01/09,15:30,Heidenheim,4–0,Augsburg,15000,Voith-Arena,Martin Petersen,https://fbref.com/en/matches/19bab96c/Heidenheim-Augsburg-September-1-2024-Bundesliga
13/09,20:30,Dortmund,4–2,Heidenheim,81365,Signal Iduna Park,Robert Schröder,https://fbref.com/en/matches/c19c18dc/Dortmund-Heidenheim-September-13-2024-Bundesliga
14/09,15:30,Freiburg,2–1,Bochum,34100,Europa-Park Stadion,Daniel Siebert,https://fbref.com/en/matches/5ad7fdc3/Freiburg-Bochum-September-14-2024-Bundesliga
14/09,15:30,Gladbach,1–3,Stuttgart,53756,Stadion im Borussia-Park,Felix Brych,https://fbref.com/en/matches/571e17c9/Monchengladbach-Stuttgart-September-14-2024-Bundesliga
14/09,15:30,Hoffenheim,1–4,Leverkusen,30150,PreZero Arena,Daniel Schlager,https://fbref.com/en/matches/e7b9f373/Hoffenheim-Leverkusen-September-14-2024-Bundesliga
14/09,18:30,Holstein Kiel,1–6,Bayern Munich,15034,Holstein-Stadion,Tobias Reichel,https://fbref.com/en/matches/728afee1/Holstein-Kiel-Bayern-Munich-September-14-2024-Bundesliga
14/09,15:30,RB Leipzig,0–0,Union Berlin,47800,Red Bull Arena,Sven Jablonski,https://fbref.com/en/matches/5496aa43/RB-Leipzig-Union-Berlin-September-14-2024-Bundesliga
14/09,15:30,Wolfsburg,1–2,Eintracht Frankfurt,26281,Volkswagen Arena,Harm Osmers,https://fbref.com/en/matches/c0bc9354/Wolfsburg-Eintracht-Frankfurt-September-14-2024-Bundesliga
15/09,15:30,Augsburg,3–1,St Pauli,30660,WWK Arena,Felix Zwayer,https://fbref.com/en/matches/d0ee2c59/Augsburg-St-Pauli-September-15-2024-Bundesliga
15/09,17:30,Mainz 05,1–2,Werder Bremen,32000,Mewa Arena,Benjamin Brand,https://fbref.com/en/matches/253ece9e/Mainz-05-Werder-Bremen-September-15-2024-Bundesliga
20/09,20:30,Augsburg,2–3,Mainz 05,28913,WWK Arena,Sören Storks,https://fbref.com/en/matches/72461171/Augsburg-Mainz-05-September-20-2024-Bundesliga
21/09,15:30,Bochum,2–2,Holstein Kiel,26000,Vonovia Ruhrstadion,Martin Petersen,https://fbref.com/en/matches/b8e02820/Bochum-Holstein-Kiel-September-21-2024-Bundesliga
21/09,18:30,Eintracht Frankfurt,2–0,Gladbach,58000,Deutsche Bank Park,Tobias Welz,https://fbref.com/en/matches/71024b44/Eintracht-Frankfurt-Monchengladbach-September-21-2024-Bundesliga
21/09,15:30,Heidenheim,0–3,Freiburg,15000,Voith-Arena,Benjamin Brand,https://fbref.com/en/matches/157d560f/Heidenheim-Freiburg-September-21-2024-Bundesliga
