date,time,home_team,score,away_team,attendance,venue,referee,match_report
13/08,20:45,Lecce,1–2,Inter,25353,Stadio Comunale Via Del Mare,Alessandro Prontera,https://fbref.com/en/matches/6b610c5c/Lecce-Internazionale-August-13-2022-Serie-A
13/08,18:30,Milan,4–2,Udinese,70197,Stadio Giuseppe Meazza,Livio Marinelli,https://fbref.com/en/matches/bb758ef8/Milan-Udinese-August-13-2022-Serie-A
13/08,20:45,Monza,1–2,Torino,10739,U-Power Stadium,Maurizio Mariani,https://fbref.com/en/matches/5f0a8b10/Monza-Torino-August-13-2022-Serie-A
13/08,18:30,Sampdoria,0–2,Atalanta,20047,Stadio Comunale Luigi Ferraris,Federico Dionisi,https://fbref.com/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A
14/08,18:30,Fiorentina,3–2,Cremonese,34461,Stadio Artemio Franchi,Juan Sacchi,https://fbref.com/en/matches/3ed8bdff/Fiorentina-Cremonese-August-14-2022-Serie-A
14/08,18:30,Lazio,2–1,Bologna,45000,Stadio Olimpico,Luca Massimi,https://fbref.com/en/matches/c5003e68/Lazio-Bologna-August-14-2022-Serie-A
14/08,20:45,Salernitana,0–1,Roma,26006,Stadio Arechi,Simone Sozza,https://fbref.com/en/matches/ff9838f3/Salernitana-Roma-August-14-2022-Serie-A
14/08,20:45,Spezia,1–0,Empoli,8360,Stadio Alberto Picco,Daniele Chiffi,https://fbref.com/en/matches/26520b87/Spezia-Empoli-August-14-2022-Serie-A
15/08,18:30,Hellas Verona,2–5,Napoli,16967,Stadio Marc'Antonio Bentegodi,Michael Fabbri,https://fbref.com/en/matches/3e0bda8d/Hellas-Verona-Napoli-August-15-2022-Serie-A
15/08,20:45,Juventus,3–0,Sassuolo,38725,Allianz Stadium,Antonio Rapuano,https://fbref.com/en/matches/59f4c84f/Juventus-Sassuolo-August-15-2022-Serie-A
20/08,20:45,Inter,3–0,Spezia,71212,Stadio Giuseppe Meazza,Davide Ghersini,https://fbref.com/en/matches/33ff40ce/Internazionale-Spezia-August-20-2022-Serie-A
20/08,20:45,Sassuolo,1–0,Lecce,9219,Mapei Stadium - Città del Tricolore,Andrea Colombo,https://fbref.com/en/matches/4dbb8f95/Sassuolo-Lecce-August-20-2022-Serie-A
20/08,18:30,Torino,0–0,Lazio,16530,Stadio Olimpico di Torino,Marco Piccinini,https://fbref.com/en/matches/a1ed12f1/Torino-Lazio-August-20-2022-Serie-A
20/08,18:30,Udinese,0–0,Salernitana,17054,Dacia Arena,Gianluca Aureliano,https://fbref.com/en/matches/c0a89a83/Udinese-Salernitana-August-20-2022-Serie-A
21/08,20:45,Atalanta,1–1,Milan,19216,Gewiss Stadium,Fabio Maresca,https://fbref.com/en/matches/dbd39404/Atalanta-Milan-August-21-2022-Serie-A
21/08,20:45,Bologna,1–1,Hellas Verona,17725,Stadio Renato Dall'Ara,Matteo Marcenaro,https://fbref.com/en/matches/aa8df669/Bologna-Hellas-Verona-August-21-2022-Serie-A
21/08,18:30,Empoli,0–0,Fiorentina,10411,Stadio Carlo Castellani,Matteo Marchetti,https://fbref.com/en/matches/39edb8e7/Empoli-Fiorentina-August-21-2022-Serie-A
21/08,18:30,Napoli,4–0,Monza,36559,Stadio Diego Armando Maradona,Francesco Fourneau,https://fbref.com/en/matches/a61a4534/Napoli-Monza-August-21-2022-Serie-A
22/08,18:30,Roma,1–0,Cremonese,60859,Stadio Olimpico,Luca Massimi,https://fbref.com/en/matches/836b2832/Roma-Cremonese-August-22-2022-Serie-A
22/08,20:45,Sampdoria,0–0,Juventus,27573,Stadio Comunale Luigi Ferraris,Rosario Abisso,https://fbref.com/en/matches/3181dd80/Sampdoria-Juventus-August-22-2022-Serie-A
26/08,20:45,Lazio,3–1,Inter,52500,Stadio Olimpico,Michael Fabbri,https://fbref.com/en/matches/e5be6a0a/Lazio-Internazionale-August-26-2022-Serie-A
26/08,18:30,Monza,1–2,Udinese,9955,U-Power Stadium,Marco Di Bello,https://fbref.com/en/matches/0210ca9e/Monza-Udinese-August-26-2022-Serie-A
27/08,18:30,Cremonese,1–2,Torino,11572,Stadio Giovanni Zini,Paolo Valeri,https://fbref.com/en/matches/ff16ac21/Cremonese-Torino-August-27-2022-Serie-A
27/08,18:30,Juventus,1–1,Roma,41003,Allianz Stadium,Massimiliano Irrati,https://fbref.com/en/matches/23a2abe6/Juventus-Roma-August-27-2022-Serie-A
27/08,20:45,Milan,2–0,Bologna,70430,Stadio Giuseppe Meazza,Gianluca Manganiello,https://fbref.com/en/matches/04907750/Milan-Bologna-August-27-2022-Serie-A
27/08,20:45,Spezia,2–2,Sassuolo,6500,Stadio Alberto Picco,Francesco Cosso,https://fbref.com/en/matches/c4e3939b/Spezia-Sassuolo-August-27-2022-Serie-A
28/08,20:45,Fiorentina,0–0,Napoli,32286,Stadio Artemio Franchi,Livio Marinelli,https://fbref.com/en/matches/e2bb77f0/Fiorentina-Napoli-August-28-2022-Serie-A
28/08,18:30,Hellas Verona,0–1,Atalanta,16106,Stadio Marc'Antonio Bentegodi,Alessandro Prontera,https://fbref.com/en/matches/c5d6e8c5/Hellas-Verona-Atalanta-August-28-2022-Serie-A
28/08,20:45,Lecce,1–1,Empoli,23941,Stadio Comunale Via Del Mare,Alberto Santoro,https://fbref.com/en/matches/b39f604a/Lecce-Empoli-August-28-2022-Serie-A
28/08,18:30,Salernitana,4–0,Sampdoria,19116,Stadio Arechi,Davide Massa,https://fbref.com/en/matches/3aeb5a7a/Salernitana-Sampdoria-August-28-2022-Serie-A
30/08,20:45,Inter,3–1,Cremonese,70750,Stadio Giuseppe Meazza,Francesco Fourneau,https://fbref.com/en/matches/20916b65/Internazionale-Cremonese-August-30-2022-Serie-A
30/08,20:45,Roma,3–0,Monza,60669,Stadio Olimpico,Marco Piccinini,https://fbref.com/en/matches/707c399a/Roma-Monza-August-30-2022-Serie-A
30/08,18:30,Sassuolo,0–0,Milan,18053,Mapei Stadium - Città del Tricolore,Giovanni Ayroldi,https://fbref.com/en/matches/0341a612/Sassuolo-Milan-August-30-2022-Serie-A
31/08,18:30,Empoli,1–1,Hellas Verona,7269,Stadio Carlo Castellani,Marco Serra,https://fbref.com/en/matches/523392a5/Empoli-Hellas-Verona-August-31-2022-Serie-A
31/08,20:45,Juventus,2–0,Spezia,35709,Allianz Stadium,Andrea Colombo,https://fbref.com/en/matches/467ad271/Juventus-Spezia-August-31-2022-Serie-A
31/08,20:45,Napoli,1–1,Lecce,37573,Stadio Diego Armando Maradona,Matteo Marcenaro,https://fbref.com/en/matches/d2dba35c/Napoli-Lecce-August-31-2022-Serie-A
31/08,18:30,Sampdoria,1–1,Lazio,18499,Stadio Comunale Luigi Ferraris,Gianluca Aureliano,https://fbref.com/en/matches/22235a4e/Sampdoria-Lazio-August-31-2022-Serie-A
31/08,18:30,Udinese,1–0,Fiorentina,19684,Dacia Arena,Maurizio Mariani,https://fbref.com/en/matches/3b87ef37/Udinese-Fiorentina-August-31-2022-Serie-A
01/09,20:45,Atalanta,3–1,Torino,17928,Gewiss Stadium,Marco Di Bello,https://fbref.com/en/matches/a8d5d5fc/Atalanta-Torino-September-1-2022-Serie-A
01/09,20:45,Bologna,1–1,Salernitana,19787,Stadio Renato Dall'Ara,Davide Ghersini,https://fbref.com/en/matches/df30d258/Bologna-Salernitana-September-1-2022-Serie-A
03/09,15:00,Fiorentina,1–1,Juventus,36550,Stadio Artemio Franchi,Daniele Doveri,https://fbref.com/en/matches/cc24f0a1/Fiorentina-Juventus-September-3-2022-Serie-A
03/09,20:45,Lazio,1–2,Napoli,39000,Stadio Olimpico,Simone Sozza,https://fbref.com/en/matches/59d945a1/Lazio-Napoli-September-3-2022-Serie-A
03/09,18:00,Milan,3–2,Inter,75475,Stadio Giuseppe Meazza,Daniele Chiffi,https://fbref.com/en/matches/32e63a16/Derby-della-Madonnina-Milan-Internazionale-September-3-2022-Serie-A
04/09,12:30,Cremonese,0–0,Sassuolo,9105,Stadio Giovanni Zini,Luca Pairetto,https://fbref.com/en/matches/923a83e0/Cremonese-Sassuolo-September-4-2022-Serie-A
04/09,18:00,Hellas Verona,2–1,Sampdoria,16675,Stadio Marc'Antonio Bentegodi,Paolo Valeri,https://fbref.com/en/matches/c8543255/Hellas-Verona-Sampdoria-September-4-2022-Serie-A
04/09,15:00,Spezia,2–2,Bologna,7555,Stadio Alberto Picco,Antonio Giua,https://fbref.com/en/matches/250097f3/Spezia-Bologna-September-4-2022-Serie-A
04/09,20:45,Udinese,4–0,Roma,24108,Dacia Arena,Fabio Maresca,https://fbref.com/en/matches/7de0fe74/Udinese-Roma-September-4-2022-Serie-A
05/09,18:30,Monza,0–2,Atalanta,11970,U-Power Stadium,Juan Sacchi,https://fbref.com/en/matches/c859cc09/Monza-Atalanta-September-5-2022-Serie-A
05/09,18:30,Salernitana,2–2,Empoli,18173,Stadio Arechi,Rosario Abisso,https://fbref.com/en/matches/36c3d84d/Salernitana-Empoli-September-5-2022-Serie-A
05/09,20:45,Torino,1–0,Lecce,19087,Stadio Olimpico di Torino,Manuel Volpi,https://fbref.com/en/matches/def4d163/Torino-Lecce-September-5-2022-Serie-A
10/09,18:00,Inter,1–0,Torino,69134,Stadio Giuseppe Meazza,Giovanni Ayroldi,https://fbref.com/en/matches/c85b25b5/Internazionale-Torino-September-10-2022-Serie-A
10/09,15:00,Napoli,1–0,Spezia,32839,Stadio Diego Armando Maradona,Alberto Santoro,https://fbref.com/en/matches/b8081607/Napoli-Spezia-September-10-2022-Serie-A
10/09,20:45,Sampdoria,1–2,Milan,23049,Stadio Comunale Luigi Ferraris,Michael Fabbri,https://fbref.com/en/matches/4faaa6ec/Sampdoria-Milan-September-10-2022-Serie-A
11/09,12:30,Atalanta,1–1,Cremonese,18252,Gewiss Stadium,Andrea Colombo,https://fbref.com/en/matches/38a5cf6c/Atalanta-Cremonese-September-11-2022-Serie-A
11/09,15:00,Bologna,2–1,Fiorentina,18901,Stadio Renato Dall'Ara,Daniele Orsato,https://fbref.com/en/matches/14c086eb/Derby-dellAppennino-Bologna-Fiorentina-September-11-2022-Serie-A
11/09,20:45,Juventus,2–2,Salernitana,35097,Allianz Stadium,Matteo Marcenaro,https://fbref.com/en/matches/d30f4885/Juventus-Salernitana-September-11-2022-Serie-A
11/09,18:00,Lazio,2–0,Hellas Verona,38000,Stadio Olimpico,Massimiliano Irrati,https://fbref.com/en/matches/b372a1ce/Lazio-Hellas-Verona-September-11-2022-Serie-A
11/09,15:00,Lecce,1–1,Monza,23391,Stadio Comunale Via Del Mare,Luca Pairetto,https://fbref.com/en/matches/1a32ed3c/Lecce-Monza-September-11-2022-Serie-A
11/09,15:00,Sassuolo,1–3,Udinese,8694,Mapei Stadium - Città del Tricolore,Giacomo Camplone,https://fbref.com/en/matches/b76dac48/Sassuolo-Udinese-September-11-2022-Serie-A
12/09,20:45,Empoli,1–2,Roma,4560,Stadio Carlo Castellani,Livio Marinelli,https://fbref.com/en/matches/6c06536f/Empoli-Roma-September-12-2022-Serie-A
16/09,20:45,Salernitana,1–2,Lecce,19488,Stadio Arechi,Daniele Doveri,https://fbref.com/en/matches/e289cc52/Salernitana-Lecce-September-16-2022-Serie-A
17/09,15:00,Bologna,0–1,Empoli,15670,Stadio Renato Dall'Ara,Manuel Volpi,https://fbref.com/en/matches/be773055/Bologna-Empoli-September-17-2022-Serie-A
17/09,18:00,Spezia,2–1,Sampdoria,10000,Stadio Alberto Picco,Simone Sozza,https://fbref.com/en/matches/4005dac1/Spezia-Sampdoria-September-17-2022-Serie-A
17/09,20:45,Torino,0–1,Sassuolo,14822,Stadio Olimpico di Torino,Niccolò Baroni,https://fbref.com/en/matches/a7f11ac3/Torino-Sassuolo-September-17-2022-Serie-A
18/09,15:00,Cremonese,0–4,Lazio,12991,Stadio Giovanni Zini,Daniele Orsato,https://fbref.com/en/matches/1c27f475/Cremonese-Lazio-September-18-2022-Serie-A
18/09,15:00,Fiorentina,2–0,Hellas Verona,32216,Stadio Artemio Franchi,Antonio Rapuano,https://fbref.com/en/matches/c48d99be/Fiorentina-Hellas-Verona-September-18-2022-Serie-A
