date,time,home_team,score,away_team,attendance,venue,referee,match_report
15/08,20:45,Rennes,1–0,Marseille,28360,Roazhon Park,Jérémie Pignard,https://fbref.com/en/matches/fbd5fc84/Rennes-Marseille-August-15-2025-Ligue-1
16/08,17:00,Lens,0–1,Lyon,38137,Stade Bollaert-Delelis,Romain Lissorgue,https://fbref.com/en/matches/5959d3ad/Lens-Lyon-August-16-2025-Ligue-1
16/08,19:00,Monaco,3–1,Le Havre,11734,Stade Louis II,Ruddy Buquet,https://fbref.com/en/matches/772d8629/Monaco-Le-Havre-August-16-2025-Ligue-1
16/08,21:05,Nice,0–1,Toulouse,23212,Allianz Riviera,Thomas Léonard,https://fbref.com/en/matches/086666a1/Nice-Toulouse-August-16-2025-Ligue-1
17/08,17:15,Angers,1–0,Paris FC,12168,Stade Raymond Kopa,François Letexier,https://fbref.com/en/matches/c69996e3/Angers-Paris-FC-August-17-2025-Ligue-1
17/08,17:15,Auxerre,1–0,Lorient,16090,Stade de l'Abbé Deschamps,Abdelatif Kherradji,https://fbref.com/en/matches/460d3465/Auxerre-Lorient-August-17-2025-Ligue-1
17/08,15:00,Brest,3–3,Lille,14840,Stade Francis-Le Blé,Clément Turpin,https://fbref.com/en/matches/d26fb352/Brest-Lille-August-17-2025-Ligue-1
17/08,17:15,Metz,0–1,Strasbourg,25009,Stade Saint-Symphorien,Mathieu Vernice,https://fbref.com/en/matches/df64d32a/Metz-Strasbourg-August-17-2025-Ligue-1
17/08,20:45,Nantes,0–1,Paris Saint-Germain,34053,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,https://fbref.com/en/matches/8ed2fa41/Nantes-Paris-Saint-Germain-August-17-2025-Ligue-1
22/08,20:45,Paris Saint-Germain,1–0,Angers,47401,Parc des Princes,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/d1b5836d/Paris-Saint-Germain-Angers-August-22-2025-Ligue-1
23/08,21:05,Lyon,3–0,Metz,49853,Groupama Stadium,Eric Wattellier,https://fbref.com/en/matches/6df797c8/Lyon-Metz-August-23-2025-Ligue-1
23/08,17:00,Marseille,5–2,Paris FC,64074,Orange Vélodrome,Marc Bollengier,https://fbref.com/en/matches/7c56af85/Marseille-Paris-FC-August-23-2025-Ligue-1
23/08,19:00,Nice,3–1,Auxerre,22175,Allianz Riviera,Jeremy Stinat,https://fbref.com/en/matches/1a63326e/Nice-Auxerre-August-23-2025-Ligue-1
24/08,17:15,Le Havre,1–2,Lens,19375,Stade Océane,Guillaume Paradis,https://fbref.com/en/matches/ecb4ebba/Le-Havre-Lens-August-24-2025-Ligue-1
24/08,20:45,Lille,1–0,Monaco,43549,Decathlon Arena - Stade Pierre-Mauroy,Willy Delajod,https://fbref.com/en/matches/1c61c286/Lille-Monaco-August-24-2025-Ligue-1
24/08,15:00,Lorient,4–0,Rennes,12343,Stade Yves Allainmat,Jérôme Brisard,https://fbref.com/en/matches/c085ae64/Lorient-Rennes-August-24-2025-Ligue-1
24/08,17:15,Strasbourg,1–0,Nantes,22468,Stade de la Meinau,Bastien Dechepy,https://fbref.com/en/matches/f5b0aa33/Strasbourg-Nantes-August-24-2025-Ligue-1
24/08,17:15,Toulouse,2–0,Brest,23158,Stadium de Toulouse,Benoît Millot,https://fbref.com/en/matches/d9a23dcd/Toulouse-Brest-August-24-2025-Ligue-1
