date,time,home_team,score,away_team,attendance,venue,referee,match_report
17/10,12:30,Cagliari,3–1,Sampdoria,9923,Unipol Domus,Matteo Marchetti,https://fbref.com/en/matches/492ec747/Cagliari-Sampdoria-October-17-2021-Serie-A
17/10,15:00,Empoli,1–4,Atalanta,6214,Stadio Carlo Castellani,Marco Serra,https://fbref.com/en/matches/18b9df17/Empoli-Atalanta-October-17-2021-Serie-A
17/10,15:00,Genoa,2–2,Sassuolo,10370,Stadio Comunale Luigi Ferraris,Daniele Chiffi,https://fbref.com/en/matches/0ef1ccc2/Genoa-Sassuolo-October-17-2021-Serie-A
17/10,20:45,Juventus,1–0,Roma,20239,Allianz Stadium,Daniele Orsato,https://fbref.com/en/matches/cba24703/Juventus-Roma-October-17-2021-Serie-A
17/10,18:00,Napoli,1–0,Torino,27579,Stadio Diego Armando Maradona,Juan Sacchi,https://fbref.com/en/matches/a09f18f7/Napoli-Torino-October-17-2021-Serie-A
17/10,15:00,Udinese,1–1,Bologna,10627,Dacia Arena,Rosario Abisso,https://fbref.com/en/matches/d1238df8/Udinese-Bologna-October-17-2021-Serie-A
18/10,20:45,Venezia,1–0,Fiorentina,8043,Stadio Pierluigi Penzo,Luca Massimi,https://fbref.com/en/matches/e079b59a/Venezia-Fiorentina-October-18-2021-Serie-A
22/10,20:45,Sampdoria,2–1,Spezia,7493,Stadio Comunale Luigi Ferraris,Michael Fabbri,https://fbref.com/en/matches/84765ee6/Sampdoria-Spezia-October-22-2021-Serie-A
22/10,18:30,Torino,3–2,Genoa,9881,Stadio Olimpico di Torino,Piero Giacomelli,https://fbref.com/en/matches/c6cd35a7/Torino-Genoa-October-22-2021-Serie-A
23/10,20:45,Bologna,2–4,Milan,22167,Stadio Renato Dall'Ara,Paolo Valeri,https://fbref.com/en/matches/03c04ac9/Bologna-Milan-October-23-2021-Serie-A
23/10,15:00,Salernitana,2–4,Empoli,11142,Stadio Arechi,Daniele Doveri,https://fbref.com/en/matches/4d087c25/Salernitana-Empoli-October-23-2021-Serie-A
23/10,18:00,Sassuolo,3–1,Venezia,4482,Mapei Stadium - Città del Tricolore,Antonio Di Martino,https://fbref.com/en/matches/80a08dab/Sassuolo-Venezia-October-23-2021-Serie-A
24/10,12:30,Atalanta,1–1,Udinese,9951,Stadio Atleti Azzurri d'Italia,Livio Marinelli,https://fbref.com/en/matches/884003bc/Atalanta-Udinese-October-24-2021-Serie-A
24/10,15:00,Fiorentina,3–0,Cagliari,20290,Stadio Artemio Franchi,Antonio Rapuano,https://fbref.com/en/matches/055736cf/Fiorentina-Cagliari-October-24-2021-Serie-A
24/10,15:00,Hellas Verona,4–1,Lazio,13953,Stadio Marc'Antonio Bentegodi,Marco Piccinini,https://fbref.com/en/matches/451d86ac/Hellas-Verona-Lazio-October-24-2021-Serie-A
24/10,20:45,Inter,1–1,Juventus,56532,Stadio Giuseppe Meazza,Maurizio Mariani,https://fbref.com/en/matches/6b095912/Derby-dItalia-Internazionale-Juventus-October-24-2021-Serie-A
24/10,18:00,Roma,0–0,Napoli,47801,Stadio Olimpico,Davide Massa,https://fbref.com/en/matches/a99dbfea/Derby-del-Sole-Roma-Napoli-October-24-2021-Serie-A
26/10,20:45,Milan,1–0,Torino,35929,Stadio Giuseppe Meazza,Gianluca Aureliano,https://fbref.com/en/matches/c3a5ed16/Milan-Torino-October-26-2021-Serie-A
26/10,18:30,Spezia,1–1,Genoa,7283,Stadio Alberto Picco,Simone Sozza,https://fbref.com/en/matches/e477f7a6/Spezia-Genoa-October-26-2021-Serie-A
26/10,18:30,Venezia,1–2,Salernitana,5103,Stadio Pierluigi Penzo,Marco Di Bello,https://fbref.com/en/matches/40261e2f/Venezia-Salernitana-October-26-2021-Serie-A
27/10,20:45,Cagliari,1–2,Roma,8547,Unipol Domus,Ivan Pezzuto,https://fbref.com/en/matches/c2bd0034/Cagliari-Roma-October-27-2021-Serie-A
27/10,20:45,Empoli,0–2,Inter,9335,Stadio Carlo Castellani,Daniele Chiffi,https://fbref.com/en/matches/6f2b0b60/Empoli-Internazionale-October-27-2021-Serie-A
27/10,18:30,Juventus,1–2,Sassuolo,18288,Allianz Stadium,Juan Sacchi,https://fbref.com/en/matches/0b43e330/Juventus-Sassuolo-October-27-2021-Serie-A
27/10,20:45,Lazio,1–0,Fiorentina,7000,Stadio Olimpico,Giovanni Ayroldi,https://fbref.com/en/matches/00bd9193/Lazio-Fiorentina-October-27-2021-Serie-A
27/10,18:30,Sampdoria,1–3,Atalanta,5462,Stadio Comunale Luigi Ferraris,Alessandro Prontera,https://fbref.com/en/matches/af5eee1e/Sampdoria-Atalanta-October-27-2021-Serie-A
27/10,18:30,Udinese,1–1,Hellas Verona,8751,Dacia Arena,Matteo Marchetti,https://fbref.com/en/matches/fef41792/Udinese-Hellas-Verona-October-27-2021-Serie-A
28/10,20:45,Napoli,3–0,Bologna,20000,Stadio Diego Armando Maradona,Marco Serra,https://fbref.com/en/matches/d1e97c1f/Napoli-Bologna-October-28-2021-Serie-A
30/10,15:00,Atalanta,2–2,Lazio,11981,Stadio Atleti Azzurri d'Italia,Marco Guida,https://fbref.com/en/matches/a2dcd280/Atalanta-Lazio-October-30-2021-Serie-A
30/10,18:00,Hellas Verona,2–1,Juventus,22314,Stadio Marc'Antonio Bentegodi,Livio Marinelli,https://fbref.com/en/matches/f91a95ea/Hellas-Verona-Juventus-October-30-2021-Serie-A
30/10,20:45,Torino,3–0,Sampdoria,13137,Stadio Olimpico di Torino,Francesco Fourneau,https://fbref.com/en/matches/9941470f/Torino-Sampdoria-October-30-2021-Serie-A
31/10,15:00,Fiorentina,3–0,Spezia,19511,Stadio Artemio Franchi,Antonio Giua,https://fbref.com/en/matches/7d77c7d2/Fiorentina-Spezia-October-31-2021-Serie-A
31/10,15:00,Genoa,0–0,Venezia,7920,Stadio Comunale Luigi Ferraris,Maurizio Mariani,https://fbref.com/en/matches/8cf97f48/Genoa-Venezia-October-31-2021-Serie-A
31/10,12:30,Inter,2–0,Udinese,48076,Stadio Giuseppe Meazza,Juan Sacchi,https://fbref.com/en/matches/fc09dd93/Internazionale-Udinese-October-31-2021-Serie-A
31/10,20:45,Roma,1–2,Milan,51001,Stadio Olimpico,Fabio Maresca,https://fbref.com/en/matches/7d80fa2c/Roma-Milan-October-31-2021-Serie-A
31/10,18:00,Salernitana,0–1,Napoli,17043,Stadio Arechi,Michael Fabbri,https://fbref.com/en/matches/bef6bffd/Salernitana-Napoli-October-31-2021-Serie-A
31/10,15:00,Sassuolo,1–2,Empoli,3539,Mapei Stadium - Città del Tricolore,Luca Massimi,https://fbref.com/en/matches/742c034b/Sassuolo-Empoli-October-31-2021-Serie-A
01/11,20:45,Bologna,2–0,Cagliari,10126,Stadio Renato Dall'Ara,Davide Massa,https://fbref.com/en/matches/22c2e561/Bologna-Cagliari-November-1-2021-Serie-A
05/11,20:45,Empoli,2–2,Genoa,5631,Stadio Carlo Castellani,Luca Pairetto,https://fbref.com/en/matches/a60bbf85/Empoli-Genoa-November-5-2021-Serie-A
06/11,20:45,Cagliari,1–2,Atalanta,6976,Unipol Domus,Marco Piccinini,https://fbref.com/en/matches/df78a1fa/Cagliari-Atalanta-November-6-2021-Serie-A
06/11,18:00,Juventus,1–0,Fiorentina,6953,Allianz Stadium,Simone Sozza,https://fbref.com/en/matches/4c7bc2f8/Juventus-Fiorentina-November-6-2021-Serie-A
06/11,15:00,Spezia,1–0,Torino,6953,Stadio Alberto Picco,Daniele Orsato,https://fbref.com/en/matches/e52702fc/Spezia-Torino-November-6-2021-Serie-A
07/11,18:00,Lazio,3–0,Salernitana,25000,Stadio Olimpico,Antonio Rapuano,https://fbref.com/en/matches/9dc65c23/Lazio-Salernitana-November-7-2021-Serie-A
07/11,20:45,Milan,1–1,Inter,56608,Stadio Giuseppe Meazza,Daniele Doveri,https://fbref.com/en/matches/0dd97be1/Derby-della-Madonnina-Milan-Internazionale-November-7-2021-Serie-A
07/11,18:00,Napoli,1–1,Hellas Verona,28000,Stadio Diego Armando Maradona,Giovanni Ayroldi,https://fbref.com/en/matches/ba0b7a5a/Napoli-Hellas-Verona-November-7-2021-Serie-A
07/11,15:00,Sampdoria,1–2,Bologna,5694,Stadio Comunale Luigi Ferraris,Gianluca Manganiello,https://fbref.com/en/matches/bc9af903/Sampdoria-Bologna-November-7-2021-Serie-A
07/11,15:00,Udinese,3–2,Sassuolo,8322,Dacia Arena,Federico Dionisi,https://fbref.com/en/matches/f30249c5/Udinese-Sassuolo-November-7-2021-Serie-A
07/11,12:30,Venezia,3–2,Roma,8263,Stadio Pierluigi Penzo,Gianluca Aureliano,https://fbref.com/en/matches/b0977f10/Venezia-Roma-November-7-2021-Serie-A
20/11,15:00,Atalanta,5–2,Spezia,10744,Stadio Atleti Azzurri d'Italia,Rosario Abisso,https://fbref.com/en/matches/70ac2ffb/Atalanta-Spezia-November-20-2021-Serie-A
20/11,20:45,Fiorentina,4–3,Milan,32567,Stadio Artemio Franchi,Marco Guida,https://fbref.com/en/matches/fc389008/Fiorentina-Milan-November-20-2021-Serie-A
20/11,18:00,Lazio,0–2,Juventus,45000,Stadio Olimpico,Marco Di Bello,https://fbref.com/en/matches/c79685ce/Lazio-Juventus-November-20-2021-Serie-A
21/11,15:00,Bologna,0–1,Venezia,15255,Stadio Renato Dall'Ara,Daniele Chiffi,https://fbref.com/en/matches/acfcf469/Bologna-Venezia-November-21-2021-Serie-A
21/11,20:45,Genoa,0–2,Roma,14667,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,https://fbref.com/en/matches/d0eafd28/Genoa-Roma-November-21-2021-Serie-A
21/11,18:00,Inter,3–2,Napoli,56649,Stadio Giuseppe Meazza,Paolo Valeri,https://fbref.com/en/matches/4ddb85ae/Internazionale-Napoli-November-21-2021-Serie-A
21/11,15:00,Salernitana,0–2,Sampdoria,11849,Stadio Arechi,Piero Giacomelli,https://fbref.com/en/matches/c5af2be5/Salernitana-Sampdoria-November-21-2021-Serie-A
21/11,12:30,Sassuolo,2–2,Cagliari,4135,Mapei Stadium - Città del Tricolore,Niccolò Baroni,https://fbref.com/en/matches/6c31cc2b/Sassuolo-Cagliari-November-21-2021-Serie-A
22/11,18:30,Hellas Verona,2–1,Empoli,13797,Stadio Marc'Antonio Bentegodi,Matteo Gariglio,https://fbref.com/en/matches/00d5d4d8/Hellas-Verona-Empoli-November-22-2021-Serie-A
22/11,20:45,Torino,2–1,Udinese,7034,Stadio Olimpico di Torino,Ivan Pezzuto,https://fbref.com/en/matches/57e23d41/Torino-Udinese-November-22-2021-Serie-A
26/11,20:45,Cagliari,1–1,Salernitana,9700,Unipol Domus,Daniele Doveri,https://fbref.com/en/matches/6b41ba10/Cagliari-Salernitana-November-26-2021-Serie-A
27/11,15:00,Empoli,2–1,Fiorentina,7878,Stadio Carlo Castellani,Juan Sacchi,https://fbref.com/en/matches/5441a41d/Empoli-Fiorentina-November-27-2021-Serie-A
27/11,18:00,Juventus,0–1,Atalanta,29886,Allianz Stadium,Giovanni Ayroldi,https://fbref.com/en/matches/1ed35e03/Juventus-Atalanta-November-27-2021-Serie-A
27/11,15:00,Sampdoria,3–1,Hellas Verona,6813,Stadio Comunale Luigi Ferraris,Lorenzo Maggioni,https://fbref.com/en/matches/32755e49/Sampdoria-Hellas-Verona-November-27-2021-Serie-A
27/11,20:45,Venezia,0–2,Inter,8303,Stadio Pierluigi Penzo,Livio Marinelli,https://fbref.com/en/matches/da139c2b/Venezia-Internazionale-November-27-2021-Serie-A
28/11,15:00,Milan,1–3,Sassuolo,52824,Stadio Giuseppe Meazza,Gianluca Manganiello,https://fbref.com/en/matches/02ecaf9e/Milan-Sassuolo-November-28-2021-Serie-A
28/11,20:45,Napoli,4–0,Lazio,36000,Stadio Diego Armando Maradona,Daniele Orsato,https://fbref.com/en/matches/880095c6/Napoli-Lazio-November-28-2021-Serie-A
28/11,18:00,Roma,1–0,Torino,46728,Stadio Olimpico,Daniele Chiffi,https://fbref.com/en/matches/30401495/Roma-Torino-November-28-2021-Serie-A
28/11,15:00,Spezia,0–1,Bologna,6265,Stadio Alberto Picco,Luca Massimi,https://fbref.com/en/matches/13817595/Spezia-Bologna-November-28-2021-Serie-A
28/11,12:30,Udinese,0–0,Genoa,11537,Dacia Arena,Francesco Meraviglia,https://fbref.com/en/matches/6a982c11/Udinese-Genoa-November-28-2021-Serie-A
30/11,18:30,Atalanta,4–0,Venezia,8667,Stadio Atleti Azzurri d'Italia,Alberto Santoro,https://fbref.com/en/matches/23d2f4ee/Atalanta-Venezia-November-30-2021-Serie-A
30/11,18:30,Fiorentina,3–1,Sampdoria,17913,Stadio Artemio Franchi,Federico Dionisi,https://fbref.com/en/matches/a7574d94/Fiorentina-Sampdoria-November-30-2021-Serie-A
30/11,20:45,Hellas Verona,0–0,Cagliari,12188,Stadio Marc'Antonio Bentegodi,Matteo Marcenaro,https://fbref.com/en/matches/816fa570/Hellas-Verona-Cagliari-November-30-2021-Serie-A
30/11,20:45,Salernitana,0–2,Juventus,19500,Stadio Arechi,Francesco Fourneau,https://fbref.com/en/matches/a8be50d4/Salernitana-Juventus-November-30-2021-Serie-A
01/12,18:30,Bologna,1–0,Roma,15780,Stadio Renato Dall'Ara,Luca Pairetto,https://fbref.com/en/matches/a1d2e757/Bologna-Roma-December-1-2021-Serie-A
