date,time,home_team,score,away_team,attendance,venue,referee,match_report
2025-05-10,21:00,Rennes,2–0,Nice,26118,Roazhon Park,Jeremy Stinat,https://fbref.com/en/matches/db5269b6/Rennes-Nice-May-10-2025-Ligue-1
2025-05-10,21:00,Toulouse,1–1,Lens,27890,Stadium de Toulouse,Bastien Dechepy,https://fbref.com/en/matches/4ef097b0/Toulouse-Lens-May-10-2025-Ligue-1
2025-05-17,21:00,Lens,4–0,Monaco,38160,Stade Bollaert-Delelis,François Letexier,https://fbref.com/en/matches/d2408c01/Lens-Monaco-May-17-2025-Ligue-1
2025-05-17,21:00,Lille,2–1,Reims,45599,Decathlon Arena - Stade Pierre-Mauroy,Willy Delajod,https://fbref.com/en/matches/788e598c/Lille-Reims-May-17-2025-Ligue-1
2025-05-17,21:00,Lyon,2–0,Angers,56517,Groupama Stadium,Stéphanie Frappart,https://fbref.com/en/matches/5042cc91/Lyon-Angers-May-17-2025-Ligue-1
2025-05-17,21:00,Marseille,4–2,Rennes,57274,Orange Vélodrome,Jérémie Pignard,https://fbref.com/en/matches/36fee283/Marseille-Rennes-May-17-2025-Ligue-1
2025-05-17,21:00,Nantes,3–0,Montpellier,34780,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,https://fbref.com/en/matches/9b0e5db4/Nantes-Montpellier-May-17-2025-Ligue-1
2025-05-17,21:00,Nice,6–0,Brest,30298,Allianz Riviera,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/4ff4d64e/Nice-Brest-May-17-2025-Ligue-1
2025-05-17,21:00,Paris Saint-Germain,3–1,Auxerre,47926,Parc des Princes,Abdelatif Kherradji,https://fbref.com/en/matches/695f3d84/Paris-Saint-Germain-Auxerre-May-17-2025-Ligue-1
2025-05-17,21:00,Saint-Étienne,2–3,Toulouse,38725,Stade Geoffroy-Guichard,Thomas Léonard,https://fbref.com/en/matches/2eb36838/Saint-Etienne-Toulouse-May-17-2025-Ligue-1
2025-05-17,21:00,Strasbourg,2–3,Le Havre,19280,Stade de la Meinau,Jérôme Brisard,https://fbref.com/en/matches/51aaa97c/Strasbourg-Le-Havre-May-17-2025-Ligue-1
2025-05-21,20:00,Metz,1–1,Reims,27767,Stade Saint-Symphorien,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/111651be/Metz-Reims-May-21-2025-French-12-RelegationPromotion-play-offs
2025-05-29,20:30,Reims,1–3,Metz,20392,Stade Auguste-Delaune,Eric Wattellier,https://fbref.com/en/matches/5e063c64/Reims-Metz-May-29-2025-French-12-RelegationPromotion-play-offs
